Rk,Player,Team,Conf,G,Rush,Rec,PRTD,KRTD,FRTD,IntTD,OthTD,TD,XPM,XPA,FGM,FGA,2PM,Sfty,Pts,Pts/G,Awards,-9999
1,Najee Harris*,Alabama,SEC,13,26,4,0,0,0,0,0,30,0,0,0,0,0,0,180,13.8,H-5AA,najee-harris-1
2,DeVonta Smith*,Alabama,SEC,13,1,23,1,0,0,0,0,25,0,0,0,0,0,0,144,11.1,H-1MaxwellAACamp,devonta-smith-1
3,Breece Hall*,Iowa State,Big 12,12,21,2,0,0,0,0,0,23,0,0,0,0,0,0,138,11.5,H-6AA,breece-hall-1
4,Javonte Williams*,North Carolina,ACC,11,19,3,0,0,0,0,0,22,0,0,0,0,0,0,132,12.0,,javonte-williams-1
5,Will Reichard*,Alabama,SEC,13,0,0,0,0,0,0,0,0,84,84,14,14,0,0,126,9.7,,will-reichard-1
6,B.T. Potter*,Clemson,ACC,12,0,0,0,0,0,0,0,0,61,62,18,23,0,0,115,9.6,,bt-potter-1
7,Jaelon Darden*,North Texas,CUSA,9,0,19,0,0,0,0,0,19,0,0,0,0,0,0,114,12.7,,jaelon-darden-1
8,Jaret Patterson*,Buffalo,MAC,6,19,0,0,0,0,0,0,19,0,0,0,0,0,0,114,19.0,,jaret-patterson-1
9,C.J. Marable*,Coastal Carolina,Sun Belt,12,12,7,0,0,0,0,0,19,0,0,0,0,0,0,114,9.5,,torrance-marable-1
10,Gabe Brkic*,Oklahoma,Big 12,10,0,0,0,0,0,0,0,0,49,49,20,26,0,0,109,10.9,,gabe-brkic-1
11,Evan McPherson*,Florida,SEC,11,0,0,0,0,0,0,0,0,52,52,17,22,0,0,103,9.4,,evan-mcpherson-1
12,Alex Kessman,Pitt,ACC,11,0,0,0,0,0,0,0,0,31,32,23,29,0,0,100,9.1,,alex-kessman-1
13,Grayson Atkins*,North Carolina,ACC,12,0,0,0,0,0,0,0,0,63,63,12,18,0,0,99,8.3,,grayson-atkins-1
14,Jake Oldroyd*,BYU,Ind,11,0,0,0,0,0,0,0,0,60,62,13,13,0,0,99,9.0,,jake-oldroyd-1
15,Jose Borregales*,Miami (FL),ACC,11,0,0,0,0,0,0,0,0,37,37,20,22,0,0,97,8.8,AA,jose-borregales-1
16,Kevin Harris,South Carolina,SEC,10,15,1,0,0,0,0,0,16,0,0,0,0,0,0,96,9.6,,kevin-harris-5
17,Travis Etienne*,Clemson,ACC,12,14,2,0,0,0,0,0,16,0,0,0,0,0,0,96,8.0,AA,travis-etienne-1
18,Cameron Dicker*,Texas,Big 12,10,0,0,0,0,0,0,0,0,50,51,15,21,0,0,95,9.5,,cameron-dicker-2
19,Alex Raynor*,Georgia Southern,Sun Belt,13,0,0,0,0,0,0,0,0,40,41,18,25,0,0,94,7.2,,alex-raynor-1
20,Brian Johnson,Virginia Tech,ACC,11,0,0,0,0,0,0,0,0,34,34,20,26,0,0,94,8.5,,brian-johnson-11
21,Chris Naggar,SMU,American,10,0,0,0,0,0,0,0,0,43,46,17,21,0,0,94,9.4,,chris-naggar-1
22,Jonathan Doerer*,Notre Dame,ACC,12,0,0,0,0,0,0,0,0,48,48,15,23,0,0,93,7.8,,jonathan-doerer-1
23,Hunter Duplessis*,UTSA,CUSA,12,0,0,0,0,0,0,0,0,40,41,17,20,0,0,91,7.6,,hunter-duplessis-1
24,Cade York,LSU,SEC,10,0,0,0,0,0,0,0,0,36,36,18,21,0,0,90,9.0,,cade-york-1
25,Chandler Staton*,Appalachian State,Sun Belt,12,0,0,0,0,0,0,0,0,51,52,13,19,0,0,90,7.5,,chandler-staton-1
26,Mohamed Ibrahim,Minnesota,Big Ten,7,15,0,0,0,0,0,0,15,0,0,0,0,0,0,90,12.9,,mohamed-ibrahim-1
27,Alex Barbir*,Liberty,Ind,11,0,0,0,0,0,0,0,0,50,52,13,20,0,0,89,8.1,,alex-barbir-1
28,Connor Assalley*,Iowa State,Big 12,12,0,0,0,0,0,0,0,0,48,49,13,19,0,0,87,7.3,,connor-assalley-1
29,Anders Carlson*,Auburn,SEC,11,0,0,0,0,0,0,0,0,24,25,20,22,0,0,84,7.6,,anders-carlson-1
30,Kyren Williams*,Notre Dame,ACC,12,13,1,0,0,0,0,0,14,0,0,0,0,0,0,84,7.0,,kyren-williams-1
31,Larry Rountree III,Missouri,SEC,10,14,0,0,0,0,0,0,14,0,0,0,0,0,0,84,8.4,,larry-rountree-iii-1
32,Malik Willis*,Liberty,Ind,10,14,0,0,0,0,0,0,14,0,0,0,0,0,0,84,8.4,,malik-willis-1
33,Daniel Obarski*,UCF,American,10,0,0,0,0,0,0,0,0,46,49,12,17,0,0,82,8.2,,daniel-obarski-1
34,Massimo Biscardi*,Coastal Carolina,Sun Belt,12,0,0,0,0,0,0,0,0,48,52,11,13,0,0,81,6.8,,massimo-biscardi-1
