Rk,Player,Team,Conf,G,XPM,XPA,XP%,FGM,FGA,FG%,Pts,Awards,Player-additional
1,Alex McPherson*,Auburn,SEC,13,40,40,100.0,13,13,100.0,79,,alex-mcpherson-1
2,Caden Costa*,Ole Miss,SEC,3,6,6,100.0,1,1,100.0,9,,caden-costa-1
3,Evan Johnson*,Maryland,Big Ten,1,0,0,,1,1,100.0,3,,evan-johnson-5
4,Gabriel Plascencia,San Diego State,MWC,4,2,2,100.0,4,4,100.0,14,,gabriel-plascencia-1
5,Garrison Rippa*,Jacksonville State,CUSA,2,4,4,100.0,2,2,100.0,10,,garrison-rippa-1
6,Josh Turbyville*,Tennessee,SEC,13,1,1,100.0,1,1,100.0,4,,josh-turbyville-1
7,Kenyon Bowyer*,Eastern Michigan,MAC,7,4,4,100.0,1,1,100.0,7,,kenyon-bowyer-1
8,Marshall Meeder*,Iowa,Big Ten,1,0,0,,1,1,100.0,3,,marshall-meeder-1
9,Mason Shipley*,Texas State,Sun Belt,13,58,59,98.3,15,15,100.0,103,,mason-shipley-1
10,Nicholas Barr-Mira,Mississippi State,SEC,8,2,2,100.0,1,1,100.0,5,,nicholas-barr-mira-1
11,Nick Lopez*,Louisville,ACC,4,11,11,100.0,1,1,100.0,14,,nick-lopez-2
12,Nicolas Radicic,Indiana,Big Ten,1,2,2,100.0,1,1,100.0,5,,nicolas-radicic-1
13,Reagan Tubbs*,Air Force,MWC,13,8,8,100.0,1,1,100.0,11,,reagan-tubbs-1
14,Graham Nicholson*,Miami (OH),MAC,14,35,37,94.6,27,28,96.4,116,AA,graham-nicholson-1
15,Noah Burnette*,North Carolina,ACC,11,43,43,100.0,19,20,95.0,100,,noah-burnette-1
16,Atticus Sappington*,Oregon State,Pac-12,12,49,50,98.0,13,14,92.9,88,,atticus-sappington-1
17,John Love*,Virginia Tech,ACC,13,44,44,100.0,22,24,91.7,110,,john-love-2
18,Alex Raynor*,Kentucky,SEC,13,48,49,98.0,10,11,90.9,78,,alex-raynor-1
