Rk,Player,Team,Conf,G,Pnt,Yds,Y/P,Awards,Player-additional
1,Brady Denaburg*,Syracuse,ACC,13,1,54,54.0,,brady-denaburg-1
2,James Ferguson-Reynolds*,Boise State,MWC,14,55,2735,49.7,,james-ferguson-reynolds-1
3,Jeremy Crawshaw,Florida,SEC,12,42,2052,48.9,,jeremy-crawshaw-1
4,Ross James*,Oregon,Pac-12,14,27,1307,48.4,,ross-james-1
5,Ryan Rehkow,BYU,Big 12,12,68,3289,48.4,,ryan-rehkow-1
6,Tory Taylor*,Iowa,Big Ten,14,93,4479,48.2,AA,tory-taylor-1
7,James Burnip*,Alabama,SEC,14,59,2806,47.6,,james-burnip-1
8,Matt Hayball,Vanderbilt,SEC,12,57,2713,47.6,,matt-hayball-1
9,Marshall Nichols*,Nevada-Las Vegas,MWC,14,51,2400,47.1,,marshall-nichols-1
10,Keegan Shoemaker,Sam Houston,CUSA,11,2,94,47.0,,keegan-shoemaker-1
11,Max Fletcher,Arkansas,SEC,12,59,2770,46.9,,max-fletcher-1
12,Ryan Eckley,Michigan State,Big Ten,12,55,2576,46.8,,ryan-eckley-1
13,Porter Wilson*,Duke,ACC,13,54,2519,46.6,,porter-wilson-1
14,Austin McNamara*,Texas Tech,Big 12,13,55,2548,46.3,,austin-mcnamara-1
15,AJ Winsor*,Oregon State,Pac-12,1,4,184,46.0,,aj-winsor-1
16,James Evans,Indiana,Big Ten,12,57,2612,45.8,,james-evans-2
17,Riley Thompson*,Penn State,Big Ten,13,50,2290,45.8,,riley-thompson-1
18,Blake Ochsendorf,Louisiana Tech,CUSA,12,53,2423,45.7,,blake-ochsendorf-1
19,Mitchell Tomasek*,Eastern Michigan,MAC,13,67,3060,45.7,,mitchell-tomasek-1
20,Ryan Sanborn*,Texas,Big 12,14,40,1828,45.7,,ryan-sanborn-1
21,Alex Mastromanno*,Florida State,ACC,14,66,3004,45.5,,alex-mastromanno-1
22,Jack Bouwmeester*,Utah,Pac-12,13,55,2503,45.5,,jack-bouwmeester-1
23,Jack Browning,San Diego State,MWC,12,54,2449,45.4,,jack-browning-1
24,Archer Trafford,East Carolina,American,12,7,317,45.3,,archer-trafford-1
25,Bryce McFerson*,Notre Dame,Ind,12,38,1712,45.1,,bryce-mcferson-1
26,George Caratan,Connecticut,Ind,12,61,2752,45.1,,george-caratan-2
