Player,Class,Pos,Summary,Player-additional
Haaziq Daniels,SO,QB,30 Cmp 54 Att 433 Yds 3 TD,haaziq-daniels-1
Warren Bryan,JR,QB,3 Cmp 6 Att 38 Yds 0 TD,warren-bryan-1
Ben Brittain,FR,QB,1 Cmp 1 Att 31 Yds 0 TD,ben-brittain-1
Jensen Jones,,QB,,jensen-jones-1
Zachar Larrier,SO,QB,,zachar-larrier-1
C Stevenson,JR,QB,,c-stevenson-1
Brad Roberts,SO,RB,64 Att 461 Yds 7.2 Avg,brad-roberts-1
Kadin Remsberg,SR,RB,25 Att 146 Yds 5.8 Avg,kadin-remsberg-1
Elija Robinson,FR,RB,19 Att 128 Yds 6.7 Avg,elija-robinson-1
Jordan Gidrey,FR,RB,11 Att 19 Yds 1.7 Avg,jordan-gidrey-1
Joshua Stoner,SR,RB,11 Att 61 Yds 5.5 Avg,joshua-stoner-1
CJ McNeal,JR,RB,5 Att 54 Yds 10.8 Avg,cj-mcneal-1
Owen Burk,FR,RB,2 Att 1 Yds 0.5 Avg,owen-burk-1
Trey Taylor,SO,RB,,trey-taylor-1
Jacob Trach,SO,RB,,jacob-trach-1
Brandon Lewis,JR,WR,9 Rec 79 Yds 8.8 Avg,brandon-lewis-4
Ben Peterson,SR,WR,3 Rec 95 Yds 31.7 Avg,ben-peterson-1
Micah Davis,FR,WR,,micah-davis-1
Daniel Morris,SR,WR,7 Rec 73 Yds 10.4 Avg,daniel-morris-2
Jake Spiewak,JR,WR,1 Rec 7 Yds 7.0 Avg,jake-spiewak-1
Corbin Blanchard,SR,WR,,corbin-blanchard-1
David Cormier,JR,WR,,david-cormier-1
DeAndre Hughes,JR,WR,,deandre-hughes-1
Ben Jefferson,SO,WR,,ben-jefferson-1
Logan Mann,JR,WR,,logan-mann-1
Amari Terry,JR,WR,,amari-terry-1
Kyle Patterson,SO,TE,12 Rec 205 Yds 17.1 Avg,kyle-patterson-1
Rhett Harms,SR,TE,1 Rec 31 Yds 31.0 Avg,rhett-harms-1
Dalton King,JR,TE,1 Rec 12 Yds 12.0 Avg,dalton-king-1
Luke Miller,SR,TE,,luke-miller-1
Nolan Laufenberg,SR,OL,,nolan-laufenberg-1
Britton Beasley,SR,OL,,britton-beasley-1
Kris Campbell,JR,OL,,kris-campbell-1
Isaac Cochran,JR,OL,,isaac-cochran-1
Adam Jewell,SR,OL,,adam-jewell-1
Kyle Krepsz,SR,OL,,kyle-krepsz-1
Joe Moore,JR,OL,,joe-moore-4
Anth Rodriguez,,K,,anth-rodriguez-1
Kupono Blake,,DL,,kupono-blake-1
Kolby Barker,SR,DL,,kolby-barker-1
Christopher Herrera,JR,DL,,christopher-herrera-1
Nokoa Pauole,JR,DL,,nokoa-pauole-1
Noah Bush,JR,LB,,noah-bush-2
Grant Donaldson,SR,LB,,grant-donaldson-1
Ethan Erickson,JR,LB,,ethan-erickson-2
Brandon Gooding,JR,LB,,brandon-gooding-1
Caleb Humphrey,JR,LB,,caleb-humphrey-1
Matthew Malloy,,LB,,matthew-malloy-1
Timothy McClendon,SO,LB,,timothy-mcclendon-1
Alec Mock,FR,LB,,alec-mock-1
Parker Noren,SR,LB,,parker-noren-1
PJ Ramsey,,LB,,pj-ramsey-1
Will Trawick,SR,LB,,will-trawick-1
Jace Waters,SO,LB,,jace-waters-1
Thadius Blackmon,JR,LB,,thadius-blackmon-1
Koby Hauser,JR,LB,,koby-hauser-1
Demonte Meeks,SR,LB,,demonte-meeks-1
Isaiah Nunez,SO,LB,,isaiah-nunez-1
Colby Raphiel,JR,LB,,colby-raphiel-1
Vince Sanford,JR,LB,,vince-sanford-1
Lakota Wills,SR,LB,,lakota-wills-1
Grant Young,JR,LB,,grant-young-1
Matthew Anderson,SR,DB,,matthew-anderson-1
Patrick Dahlen,,DB,,patrick-dahlen-1
David Eure,JR,DB,,david-eure-1
Camby Goff,FR,DB,,camby-goff-1
Jayden Goodwin,FR,DB,,jayden-goodwin-1
Corvan Taylor,JR,DB,,corvan-taylor-1
Tre Bugg III,SR,DB,,milton-bugg-iii-1
James Jones,SR,DB,,james-jones-15
Michael Mack II,FR,DB,,michael-mack-ii-1
Charles Bein,FR,P,,charles-bein-1
Timothy Jackson,JR,FB,,timothy-jackson-1
Matthew Murla,SR,FB,,matthew-murla-1
Bo Gross,JR,FB,,bo-gross-1
Brenden Bentley,SO,LS,,brenden-bentley-1
Joseph Carlson,SR,PK,,joseph-carlson-1
Demani Hansford,SR,CB,,demani-hansford-1
Hayden Isenhart,SO,DE,,hayden-isenhart-1
Zion Kelly,SO,CB,,zion-kelly-1
McKinley O'Neal,JR,DT,,mckinley-oneal-1
Elisha Palm,SR,CB,,elisha-palm-1
Jadon Pearson,FR,S,,jadon-pearson-1
Kalawai'a Pescaia,SO,G,,kalawaia-pescaia-1
Michael Purcell,SR,DE,,michael-purcell-2
Tevye Schuettpelz-Rohl,JR,UT,,tevye-schuettpelz-rohl-1
George Silvanic,SR,DT,,george-silvanic-1
Jake Stern,,DE,,jake-stern-1
Jayd Thiergood,,DE,,jayd-thiergood-1
Joey Woodring,SR,G,,joey-woodring-1
Johnathan Youngblood,FR,FB,,johnathan-youngblood-1
Brock Assel,JR,LS,,brock-assel-1
Ryan Booth,JR,T,,ryan-booth-1
Elijah Brockman,JR,G,,elijah-brockman-1
Eian Castonguay,SO,CB,,eian-castonguay-1
David Chapeau,SO,PK,,david-chapeau-1
Nicholas DeWolf,SR,G,,nicholas-dewolf-1
Omar Fattah,JR,FB,,omar-fattah-1
Parker Ferguson,SR,T,,parker-ferguson-1
Jacob Goldberg,JR,LS,,jacob-goldberg-1
Luke Hallstrom,SO,G,,luke-hallstrom-1
Mark Heistand,SO,T,,mark-heistand-1
Ben Hoffner,SR,G,,ben-hoffner-1
Kaleb Holcomb,SO,T,,kaleb-holcomb-1
Brice Honaker,JR,PK,,brice-honaker-1
Jordan Jackson,SR,DT,,jordan-jackson-5
Jordan Jackson,SR,DT,,jordan-jackson-5
Christopher Kane,SO,DE,,christopher-kane-1
Ryan Keating,SO,G,,ryan-keating-1
Conner Kirkegaard,SR,LS,,conner-kirkegaard-1
TJ Love,SO,DT,,tj-love-1
Alesandro Maxwell,JR,DE,,alesandro-maxwell-1
Jason Medeiros,SO,C,,jason-medeiros-1
Jalen Mergerson,SO,S,,jalen-mergerson-1
Kenny Ngaima,JR,G,,kenny-ngaima-1
Nicholas Noyen,SR,C,,nicholas-noyen-1
Kaleb Nunez,SR,G,,kaleb-nunez-1
Jack Roesch,SO,DE,,jack-roesch-1
Ethan Schofield,SO,T,,ethan-schofield-1
Hawk Wimmer,JR,G,,hawk-wimmer-1
