Player,Class,Pos,Summary,Player-additional
Logan Bonner,JR,QB,156 Cmp 262 Att 1863 Yds 18 TD,logan-bonner-1
Layne Hatcher,SO,QB,116 Cmp 194 Att 2058 Yds 19 TD,layne-hatcher-1
Coltin Clark,FR,QB,0 Cmp 2 Att 0 Yds 0 TD,coltin-clark-1
Seth Courtney,FR,QB,,seth-courtney-1
Brett Nezat,FR,QB,,brett-nezat-1
Jamal Jones,SR,RB,132 Att 578 Yds 4.4 Avg,jamal-jones-4
Lincoln Pare,FR,RB,72 Att 450 Yds 6.3 Avg,lincoln-pare-1
Marcel Murray,JR,RB,47 Att 158 Yds 3.4 Avg,marcel-murray-1
Ryan Graham,JR,RB,28 Att 110 Yds 3.9 Avg,ryan-graham-2
Isaiah Azubuike,SO,RB,18 Att 57 Yds 3.2 Avg,isaiah-azubuike-1
Josh Edwards,FR,RB,6 Att 28 Yds 4.7 Avg,josh-edwards-1
Logan McPherson,FR,RB,,logan-mcpherson-2
Donovan Marshall,SO,RB,,donovan-marshall-1
Roshauud Paul,JR,WR,15 Rec 166 Yds 11.1 Avg,roshauud-paul-1
Jeff Foreman,SO,WR,13 Rec 439 Yds 33.8 Avg,jeff-foreman-1
Leroy Deshazor,JR,WR,1 Rec 7 Yds 7.0 Avg,leroy-deshazor-1
Jonathan Adams Jr.,SR,WR,79 Rec 1111 Yds 14.1 Avg,jonathan-adams-jr-1
Brandon Bowling,SR,WR,39 Rec 507 Yds 13.0 Avg,brandon-bowling-1
Dahu Green,SR,WR,32 Rec 542 Yds 16.9 Avg,dahu-green-1
Corey Rucker,FR,WR,16 Rec 453 Yds 28.3 Avg,corey-rucker-1
Bubba Ogbebor,SR,WR,6 Rec 71 Yds 11.8 Avg,bubba-ogbebor-1
Javan Hawes,JR,WR,2 Rec 17 Yds 8.5 Avg,javan-hawes-1
Seth Hayes,FR,WR,,seth-hayes-1
Jackson Jarvis,SO,WR,,jackson-jarvis-1
David Clayton,FR,WR,,david-clayton-1
