Player,Class,Pos,Summary,Player-additional
Charlie Brewer,SR,QB,198 Cmp 321 Att 1958 Yds 14 TD,charlie-brewer-1
Jacob Zeno,FR,QB,5 Cmp 8 Att 18 Yds 0 TD,jacob-zeno-1
Gerry Bohanon,SO,QB,1 Cmp 1 Att 7 Yds 0 TD,gerry-bohanon-1
Brandon Bass,SO,QB,,brandon-bass-1
Garret McGuire,JR,QB,,garret-mcguire-1
Blake Shapen,FR,QB,,blake-shapen-1
Trestan Ebner,SR,RB,50 Att 107 Yds 2.1 Avg,trestan-ebner-1
John Lovett,SR,RB,45 Att 130 Yds 2.9 Avg,john-lovett-1
Qualan Jones,FR,RB,34 Att 124 Yds 3.6 Avg,qualan-jones-1
Craig Williams,FR,RB,26 Att 197 Yds 7.6 Avg,craig-williams-2
Taye McWilliams,FR,RB,13 Att 68 Yds 5.2 Avg,taye-mcwilliams-1
Jonah White,FR,RB,9 Rec 63 Yds 7.0 Avg,jonah-white-1
Jacoby Clarke,FR,RB,2 Rec 2 Yds 1.0 Avg,jacoby-clarke-1
Cam Haller,JR,RB,,cam-haller-1
Josh Fleeks,JR,WR,21 Rec 181 Yds 8.6 Avg,josh-fleeks-1
Gavin Holmes,SO,WR,33 Rec 244 Yds 7.4 Avg,gavin-holmes-1
R.J. Sneed,JR,WR,39 Rec 497 Yds 12.7 Avg,rj-sneed-1
Tyquan Thornton,JR,WR,16 Rec 158 Yds 9.9 Avg,tyquan-thornton-1
Yusuf Terry,FR,WR,6 Rec 69 Yds 11.5 Avg,yusuf-terry-1
Jared Atkinson,SR,WR,2 Rec 68 Yds 34.0 Avg,jared-atkinson-1
Jaylen Ellis,FR,WR,2 Rec 41 Yds 20.5 Avg,jaylen-ellis-1
Davis Baucum,SO,WR,,davis-baucum-1
Jonathan Davidson,FR,WR,,jonathan-davidson-1
Jackson Gleeson,SO,WR,,jackson-gleeson-1
Seth Jones,FR,WR,,seth-jones-1
Tripp Mitchell,FR,WR,,tripp-mitchell-1
Ty Moore,FR,WR,,ty-moore-1
Blake Perdue,SO,WR,,blake-perdue-1
Kolby White,FR,WR,,kolby-white-1
Ben Sims,SO,TE,14 Rec 164 Yds 11.7 Avg,ben-sims-1
Drake Dabney,FR,TE,6 Rec 57 Yds 9.5 Avg,drake-dabney-1
Tyler Henderson,SO,TE,4 Rec 22 Yds 5.5 Avg,tyler-henderson-3
Christoph Henle,JR,TE,1 Rec 4 Yds 4.0 Avg,christoph-henle-1
Logan Compton,FR,TE,,logan-compton-1
Sam Snyder,FR,TE,,sam-snyder-1
Mose Jeffery,JR,OL,,mose-jeffery-1
Xavier Newman,SR,OL,,xavier-newman-1
Casey Phillips,SO,OL,,casey-phillips-1
Blake Bedier,SR,OL,,blake-bedier-1
Jake Burton,SR,OL,,jake-burton-1
Gavin Byers,FR,OL,,gavin-byers-1
Davis Divall,FR,OL,,davis-divall-1
Elijah Ellis,FR,OL,,elijah-ellis-1
Connor Galvin,JR,OL,,connor-galvin-1
Colby Johnston,FR,OL,,colby-johnston-1
Khalil Keith,JR,OL,,khalil-keith-1
Jackson Kimble,SO,OL,,jackson-kimble-1
Henry Klinge III,JR,OL,,henry-klinge-iii-1
Micah Mazzccua,FR,OL,,micah-mazzccua-1
Jason Moore,JR,OL,,jason-moore-4
Johncarlo Valentin,SR,OL,,johncarlo-valentin-1
John Mayers,SO,K,,john-mayers-1
Noah Rauschenberg,SO,K,,noah-rauschenberg-1
Bryce Boland,FR,K,,bryce-boland-1
Josh Grant,JR,K,,josh-grant-1
Jay Sedwick,SR,K,,jay-sedwick-1
Rob Saulin,JR,DL,,rob-saulin-1
Tony Anyanwu,FR,LB,,tony-anyanwu-1
Terrel Bernard,JR,LB,,terrel-bernard-1
William Bradley-King,SR,LB,,william-bradley-king-1
Tyrone Brown,FR,LB,,tyrone-brown-5
Dillon Doyle,SO,LB,,dillon-doyle-1
Bryson Jackson,JR,LB,,bryson-jackson-1
Matt Jones,FR,LB,,matt-jones-8
Ashton Logan,JR,LB,,ashton-logan-1
Michael McNair,SR,LB,,michael-mcnair-1
Victor Obi,SO,LB,,victor-obi-1
Trystan Slinker,SR,LB,,trystan-slinker-1
Abram Smith,JR,LB,,abram-smith-1
Will Garner,FR,LB,,will-garner-1
Ben Hamilton,FR,LB,,ben-hamilton-2
Brooks Miller,FR,LB,,brooks-miller-1
Solomon Turner,FR,LB,,solomon-turner-1
Hakeem Vance,FR,LB,,hakeem-vance-1
Isaac Power,SO,P,,isaac-power-1
Kalon Barnes,JR,CB,,kalon-barnes-1
Ezekiel Brown,SR,S,,ezekiel-brown-1
TJ Franklin,SO,DE,,tj-franklin-1
Gabe Hall,SO,DT,,gabe-hall-3
Byron Hanspard Jr.,SO,CB,,byron-hanspard-jr-1
Josh Landry,SO,DT,,josh-landry-1
Cole Maxwell,SO,DT,,cole-maxwell-1
Aj McCarty,FR,CB,,aj-mccarty-1
Jairon McVea,SR,S,,jairon-mcvea-1
Ryan Miller,JR,DT,,ryan-miller-3
Mark Milton,SO,CB,,mark-milton-1
Christian Morgan,JR,S,,christian-morgan-3
Devin Neal,FR,S,,devin-neal-2
Chidi Ogbonnaya,JR,DT,,chidi-ogbonnaya-1
Jalen Pitre,JR,S,,jalen-pitre-1
Garmon Randolph,FR,DE,,garmon-randolph-1
Gunnar Royer,SR,LS,,gunnar-royer-1
Jackson Shupp,SO,DE,,jackson-shupp-1
Raleigh Texada,SR,CB,,raleigh-texada-1
Brayden Utley,SO,DE,,brayden-utley-1
Al Walcott,SO,S,,al-walcott-1
Skyler Wetzel,SR,S,,skyler-wetzel-1
Will Williams,FR,S,,will-williams-1
J.T. Woods,JR,S,,jt-woods-1
Brock Bakich,FR,S,,brock-bakich-1
Will Baxter,SO,S,,will-baxter-1
Ricardo Benitez,SO,CB,,ricardo-benitez-1
Colby Delashaw,SO,S,,colby-delashaw-1
Mike Harris,FR,S,,mike-harris-12
Lorando Johnson,FR,CB,,lorando-johnson-1
Collin Losack,FR,S,,collin-losack-1
Chateau Reed,FR,S,,chateau-reed-1
Thor Rodoni,SR,LS,,thor-rodoni-1
Shevin Smith,FR,CB,,shevin-smith-2
Griffiin Speaks,FR,S,,griffiin-speaks-1
James Sylvester,FR,DE,,james-sylvester-1
Brandon White,FR,CB,,brandon-white-4
Harrison White,FR,DE,,harrison-white-1
