Player,Class,Pos,Summary,Player-additional
Hank Bachmeier,SO,QB,96 Cmp 157 Att 1150 Yds 6 TD,hank-bachmeier-1
Cade Fennegan,FR,QB,15 Cmp 28 Att 182 Yds 2 TD,cade-fennegan-1
Jack Sears,JR,QB,23 Cmp 27 Att 332 Yds 3 TD,jack-sears-1
Andy Peters,FR,QB,4 Cmp 8 Att 26 Yds 0 TD,andy-peters-2
Chase Cord,JR,QB,,chase-cord-1
Zach Matlock,SO,QB,,zach-matlock-1
Andrew Van Buren,JR,RB,111 Att 382 Yds 3.4 Avg,andrew-van-buren-1
George Holani,SO,RB,19 Att 108 Yds 5.7 Avg,george-holani-1
Danny Smith,SO,RB,12 Att 38 Yds 3.2 Avg,danny-smith-5
Tyler Crowe,FR,RB,5 Att 20 Yds 4.0 Avg,tyler-crowe-1
Obi Gee,FR,RB,,obi-gee-1
Robert Mahone,SR,RB,,robert-mahone-1
Taeguan Tyler,SO,RB,,taeguan-tyler-1
CT Thomas,SR,WR,20 Rec 347 Yds 17.4 Avg,ct-thomas-1
Khalil Shakir,JR,WR,52 Rec 719 Yds 13.8 Avg,khalil-shakir-1
Stefan Cobbs,SO,WR,4 Rec 72 Yds 18.0 Avg,stefan-cobbs-1
Connor Riddle,SO,WR,,connor-riddle-1
Billy Bowens,SO,WR,5 Rec 39 Yds 7.8 Avg,billy-bowens-1
Octavius Evans,SR,WR,4 Rec 53 Yds 13.3 Avg,octavius-evans-1
MacLaine Griffin,SO,WR,2 Rec 12 Yds 6.0 Avg,maclaine-griffin-1
Khyheem Waleed,FR,WR,,khyheem-waleed-1
Latrell Caples,FR,WR,,latrell-caples-1
Trevor Cole,FR,WR,,trevor-cole-2
Matt Greenwald,FR,WR,,matt-greenwald-1
Shea Whiting,FR,WR,,shea-whiting-1
Cole Wright,FR,WR,,cole-wright-3
Riley Smith,SO,TE,15 Rec 155 Yds 10.3 Avg,riley-smith-2
John Bates,SR,TE,12 Rec 117 Yds 9.8 Avg,john-bates-1
Tyneil Hopper,SO,TE,2 Rec 19 Yds 9.5 Avg,tyneil-hopper-1
Tyler Eiguren,FR,TE,,tyler-eiguren-1
Austin Bolt,FR,TE,,austin-bolt-1
Russell Corrigan,FR,TE,,russell-corrigan-1
Kaden Deluna,SO,TE,,kaden-deluna-1
Mason Sikes,SR,TE,,mason-sikes-1
Garrett Curran,SO,OL,,garrett-curran-1
Nick Crabtree,SR,OL,,nick-crabtree-1
Ben Dooley,FR,OL,,ben-dooley-1
Kole Bailey,SR,OL,,kole-bailey-1
Nathan Cardona,FR,OL,,nathan-cardona-1
Jacob Golden,FR,OL,,jacob-golden-1
Donte Harrington,SR,OL,,donte-harrington-1
Brandon Hernandez,FR,OL,,brandon-hernandez-1
Dallas Holliday,SO,OL,,dallas-holliday-1
Kekaniokoa Holomalia-Gonzalez,SO,OL,,kekaniokoa-holomalia-gonzalez-1
Kyle Juergens,FR,OL,,kyle-juergens-1
Riden Leong,FR,OL,,riden-leong-1
Dalton Lins,SO,OL,,dalton-lins-1
John Ojukwu,JR,OL,,john-ojukwu-1
Uzoma Osuji,SR,OL,,uzoma-osuji-1
Julian Simpson,FR,OL,,julian-simpson-1
Jake Stetz,SR,OL,,jake-stetz-1
Jonah Dalmas,FR,K,,jonah-dalmas-1
Joel Velazquez,SR,K,,joel-velazquez-1
Gavin Wale,FR,K,,gavin-wale-1
Jonny Messina,SR,K,,jonny-messina-1
Ryan Meyer,SO,K,,ryan-meyer-1
Isaiah Bagnah,FR,LB,,isaiah-bagnah-1
Bruno DeRose,SR,LB,,bruno-derose-1
Dylan Herberg,SO,LB,,dylan-herberg-1
Roman Kafentzis,JR,LB,,roman-kafentzis-1
Casey Kline,FR,LB,,casey-kline-1
Brock Miller,SR,LB,,brock-miller-1
Ezekiel Noa,JR,LB,,ezekiel-noa-1
Nick Provenzano,SR,LB,,nick-provenzano-1
D.J. Schramm,SO,LB,,dj-schramm-1
Demetri Washington,SO,LB,,demetri-washington-1
Riley Whimpey,SR,LB,,riley-whimpey-1
Sam Whitney,SR,LB,,sam-whitney-1
Benton Wickersham,SR,LB,,benton-wickersham-1
Brandon Hawkins,SO,LB,,brandon-hawkins-1
Gabe Hunter,FR,LB,,gabe-hunter-1
Keola Downing,FR,P,,keola-downing-1
Daniel Cantrell,JR,LS,,daniel-cantrell-1
Jaylen Clark,FR,CB,,jaylen-clark-1
Damon Cole,JR,CB,,damon-cole-1
Jackson Cravens,SO,DT,,jackson-cravens-1
Jaydn Ewing,FR,DE,,jaydn-ewing-1
Keeghan Freeborn,SO,NT,,keeghan-freeborn-1
Scale Igiehon,JR,NT,,scale-igiehon-1
Shane Irwin,JR,DE,,shane-irwin-1
Tyreque Jones,JR,S,,tyreque-jones-1
Kaonohi Kaniho,FR,CB,,kaonohi-kaniho-1
Kekaula Kaniho,SR,S,,kekaula-kaniho-1
Tyric LeBeauf,SO,CB,,tyric-lebeauf-1
Scott Matlock,SO,DT,,scott-matlock-1
Divine Obichere,JR,NT,,divine-obichere-1
Markel Reed,SO,CB,,markel-reed-1
JL Skinner,SO,S,,jl-skinner-1
Alexander Teubner,FR,S,,alexander-teubner-1
Evan Tyler,SR,S,,evan-tyler-1
Tyler Visser,JR,S,,tyler-visser-1
Jalen Walker,SR,CB,,jalen-walker-1
Avery Williams,SR,CB,,avery-williams-6
Michael Callahan,FR,DT,,michael-callahan-1
Donovan Clark,FR,CB,,donovan-clark-2
Robert Cooper,FR,DT,,robert-cooper-3
Jonathan Earl,JR,CB,,jonathan-earl-1
Marques Evans,JR,CB,,marques-evans-1
Herbert Gums Jr.,FR,NT,,herbert-gums-jr-1
Dylan Hall,FR,DE,,dylan-hall-1
Aisa Kelemete,JR,DE,,aisa-kelemete-1
Chris Mitchell,SO,CB,,chris-mitchell-4
Andy Nwaoko,FR,DE,,andy-nwaoko-1
Rodney Robinson,FR,S,,rodney-robinson-1
A.J. Smith,JR,S,,aj-smith-3
Koby Tryggestad,FR,LS,,koby-tryggestad-1
Semaj Verner,FR,S,,semaj-verner-1
Jabari Watson,SR,DT,,jabari-watson-1
Amari Williams,FR,DE,,amari-williams-1
