Player,Class,Pos,Summary,Player-additional
Desmond Ridder,JR,QB,186 Cmp 281 Att 2296 Yds 19 TD,desmond-ridder-1
Ben Bryant,SO,QB,11 Cmp 14 Att 90 Yds 1 TD,ben-bryant-1
Michael Lindauer,FR,QB,,michael-lindauer-1
Evan Prater,FR,QB,,evan-prater-1
Jack Perry,SO,QB,,jack-perry-1
Jake Sopko,SR,QB,,jake-sopko-1
Gerrid Doaks,SR,RB,144 Att 673 Yds 4.7 Avg,gerrid-doaks-1
Jerome Ford,FR,RB,73 Att 483 Yds 6.6 Avg,jerome-ford-1
Charles McClelland,JR,RB,22 Att 115 Yds 5.2 Avg,charles-mcclelland-1
Ryan Montgomery,SO,RB,15 Att 41 Yds 2.7 Avg,ryan-montgomery-1
Cameron Young,SR,RB,2 Att 87 Yds 43.5 Avg,cameron-young-3
Ethan Wright,FR,RB,2 Rec 21 Yds 10.5 Avg,ethan-wright-1
Michael Kopaygorodsky,JR,RB,,michael-kopaygorodsky-1
Tre Tucker,SO,WR,18 Rec 236 Yds 13.1 Avg,tre-tucker-1
Michael Young,JR,WR,29 Rec 332 Yds 11.4 Avg,michael-young-4
Jayson Jackson,JR,WR,27 Rec 337 Yds 12.5 Avg,jayson-jackson-1
Alec Pierce,JR,WR,17 Rec 315 Yds 18.5 Avg,alec-pierce-2
Jordan Jones,SR,WR,13 Rec 157 Yds 12.1 Avg,jordan-jones-1
Jadon Thompson,FR,WR,6 Rec 58 Yds 9.7 Avg,jadon-thompson-1
Marquez Bell,FR,WR,,marquez-bell-1
Dalrone Donaldson,JR,WR,,dalrone-donaldson-1
Wyatt Fischer,SO,WR,,wyatt-fischer-1
Bray Ginyard,FR,WR,,bray-ginyard-1
Bryant Johnson II,FR,WR,,bryant-johnson-ii-1
Ashton Koller,FR,WR,,ashton-koller-1
Norman Love,FR,WR,,norman-love-1
Nate Meyer,FR,WR,,nate-meyer-2
Garyn Prater,JR,WR,,garyn-prater-1
Chris Scott,FR,WR,,chris-scott-4
Blue Smith,SO,WR,,blue-smith-1
Jiair Thomas,FR,WR,,jiair-thomas-1
Josh Whyle,SO,TE,28 Rec 353 Yds 12.6 Avg,josh-whyle-1
Leonard Taylor,JR,TE,16 Rec 191 Yds 11.9 Avg,leonard-taylor-2
Bruno Labelle,SR,TE,10 Rec 81 Yds 8.1 Avg,bruno-labelle-1
Cameron Jones,FR,TE,1 Rec 11 Yds 11.0 Avg,cameron-jones-4
Jack Campbell,FR,TE,,jack-campbell-1
Noah Davis,SR,TE,,noah-davis-1
Nate Lawler,SO,TE,,nate-lawler-1
Payten Singletary,FR,TE,,payten-singletary-1
Darius Harper,SR,OL,,darius-harper-2
Jonathan Allen,FR,OL,,jonathan-allen-2
Ben Blevins,FR,OL,,ben-blevins-1
Jake Burns,FR,OL,,jake-burns-1
Jeremy Cooper,SO,OL,,jeremy-cooper-2
Gavin Gerhardt,FR,OL,,gavin-gerhardt-1
Joey Groeber,SO,OL,,joey-groeber-1
Joe Huber,FR,OL,,joe-huber-1
James Hudson,JR,OL,,james-hudson-1
CJ Johnson,SO,OL,,cj-johnson-8
Cody Lamb,JR,OL,,cody-lamb-2
Kobe McAllister,FR,OL,,kobe-mcallister-1
Vincent McConnell,JR,OL,,vincent-mcconnell-1
Marcelo Mendiola,FR,OL,,marcelo-mendiola-1
Lorenz Metz,SO,OL,,lorenz-metz-1
Dylan O'Quinn,SO,OL,,dylan-oquinn-1
Jake Renfro,FR,OL,,jake-renfro-1
Jakari Robinson,JR,OL,,jakari-robinson-1
Jaxon Smith,FR,OL,,jaxon-smith-1
Ethan Voelker,SO,OL,,ethan-voelker-1
Colin Woodside,SO,OL,,colin-woodside-1
Alex Bales,FR,K,,alex-bales-2
Cole Smith,JR,K,,cole-smith-2
Bryce Burton,FR,K,,bryce-burton-1
Luke Lundberg,FR,K,,luke-lundberg-1
Miles Manigault,FR,DL,,miles-manigualt-1
Cole Pelgen,FR,DL,,cole-pelgen-1
Joel Dublanko,SR,LB,,joel-dublanko-1
Blake Bacevich,SO,LB,,blake-bacevich-1
Darrian Beavers,SR,LB,,darrian-beavers-1
Wilson Huber,JR,LB,,wilson-huber-1
Brody Ingle,SO,LB,,brody-ingle-1
Daved Jones Jr.,FR,LB,,daved-jones-jr-1
Deshawn Pace,FR,LB,,deshawn-pace-1
Michael Pitts,SR,LB,,michael-pitts-1
Jaheim Thomas,FR,LB,,jaheim-thomas-1
Ethan Tucky,SR,LB,,ethan-tucky-1
Ty Van Fossen,SO,LB,,ty-van-fossen-1
Jarell White,SR,LB,,jarell-white-1
DeMarco Baker,SO,LB,,demarco-baker-1
Jackson Bruscianelli,FR,LB,,jackson-bruscianelli-1
Dorian Holloway,FR,LB,,dorian-holloway-1
Grant Horvath,FR,LB,,grant-horvath-1
Mick Oakes,SO,LB,,mick-oakes-1
Ryan Royer,JR,LB,,ryan-royer-1
James Smith,SR,P,,james-smith-8
Tyler Scott,FR,UT,,tyler-scott-3
Will Adams,SO,S,,will-adams-2
Curtis Brooks,SR,DT,,curtis-brooks-1
Marcus Brown,SR,DT,,marcus-brown-5
Coby Bryant,SR,CB,,coby-bryant-1
Todd Bumphis,FR,CB,,todd-bumphis-1
Arquon Bush,SO,CB,,arquon-bush-1
Bryan Cook,JR,S,,bryan-cook-2
Jacob Dingle,SO,S,,jacob-dingle-1
Darrick Forrest,SR,S,,darrick-forrest-1
Ahmad Gardner,SO,CB,,ahmad-gardner-1
Justin Harris,SO,CB,,justin-harris-9
Ja'Von Hicks,JR,S,,javon-hicks-1
Daeshon Martin,SO,DT,,daeshon-martin-1
Cayson Pfeiffer,FR,LS,,cayson-pfeiffer-1
Eric Phillips,FR,DT,,eric-phillips-2
Elijah Ponder,SR,DT,,elijah-ponder-1
Myjai Sanders,JR,DE,,myjai-sanders-1
Jaquan Sheppard,SO,S,,jaquan-sheppard-1
Jabari Taylor,JR,DT,,jabari-taylor-1
Malik Vann,JR,DE,,malik-vann-1
Taj Ward,SO,CB,,taj-ward-1
James Wiggins,SR,S,,james-wiggins-1
Sammy Anderson,FR,CB,,sammy-anderson-2
Blake Bammann,SO,LS,,blake-bammann-1
Chase Brown,SO,DT,,chase-brown-2
James Camden,FR,S,,james-camden-1
Barak Faulk,FR,DT,,barak-faulk-1
Alex Green,FR,CB,,alex-green-4
Steven Hawthorne,FR,DE,,steven-hawthorne-1
Harrison Hill,JR,DE,,harrison-hill-2
Mychal Keys,SO,DE,,mychal-keys-1
Casey Kirk,JR,CB,,casey-kirk-1
DeArre McDonald,FR,CB,,dearre-mcdonald-1
Ryan McDonald,,UT,,ryan-mcdonald-3
Sterling Miles,FR,DE,,sterling-miles-1
Ryan Mullaney,FR,DE,,ryan-mullaney-2
Dominique Perry,FR,DT,,dominique-perry-1
Josiah Robey,JR,CB,,josiah-robey-1
Izaiah Ruffin,FR,DE,,izaiah-ruffin-1
Phil Thomas,FR,CB,,phil-thomas-3
Jackson Welcsh,FR,S,,jackson-welcsh-1
Justin Wodtly,FR,DT,,justin-wodtly-1
