Player,Class,Pos,Summary,Player-additional
Trevor Lawrence,JR,QB,231 Cmp 334 Att 3153 Yds 24 TD,trevor-lawrence-1
D.J. Uiagalelei,FR,QB,78 Cmp 117 Att 914 Yds 5 TD,dj-uiagalelei-1
Taisun Phommachanh,FR,QB,5 Cmp 17 Att 17 Yds 0 TD,taisun-phommachanh-1
Hunter Helms,FR,QB,9 Cmp 12 Att 77 Yds 2 TD,hunter-helms-1
Patrick McClure,JR,QB,,patrick-mcclure-1
James Talton,FR,QB,,james-talton-1
Travis Etienne,SR,RB,168 Att 914 Yds 5.4 Avg,travis-etienne-1
Lyn-J Dixon,JR,RB,42 Att 190 Yds 4.5 Avg,lyn-j-dixon-1
Chez Mellusi,SO,RB,27 Att 151 Yds 5.6 Avg,chez-mellusi-1
Darien Rencher,SR,RB,24 Att 137 Yds 5.7 Avg,darien-rencher-1
Kobe Pace,FR,RB,18 Att 75 Yds 4.2 Avg,kobe-pace-1
Demarkcus Bowman,FR,RB,9 Att 32 Yds 3.6 Avg,demarkcus-bowman-1
Michel Dukes,SO,RB,8 Att 55 Yds 6.9 Avg,michel-dukes-1
Sylvester Mayers,JR,RB,1 Att 2 Yds 2.0 Avg,sylvester-mayers-1
Ty Lucas,SO,RB,,ty-lucas-1
Amari Rodgers,SR,WR,77 Rec 1020 Yds 13.2 Avg,amari-rodgers-1
Brannon Spector,FR,WR,16 Rec 136 Yds 8.5 Avg,brannon-spector-1
Cornell Powell,SR,WR,53 Rec 882 Yds 16.6 Avg,cornell-powell-1
E.J. Williams,FR,WR,24 Rec 306 Yds 12.8 Avg,ej-williams-2
Frank Ladson Jr.,SO,WR,18 Rec 281 Yds 15.6 Avg,frank-ladson-jr-1
Joseph Ngata,SO,WR,7 Rec 83 Yds 11.9 Avg,joseph-ngata-1
Will Swinney,SR,WR,7 Rec 29 Yds 4.1 Avg,will-swinney-1
Will Brown,JR,WR,3 Rec 27 Yds 9.0 Avg,will-brown-2
Drew Swinney,SO,WR,3 Rec 18 Yds 6.0 Avg,drew-swinney-1
