Player,Class,Pos,Summary,Player-additional
Kyle Trask,SR,QB,301 Cmp 437 Att 4283 Yds 43 TD,kyle-trask-1
Emory Jones,SO,QB,18 Cmp 32 Att 221 Yds 2 TD,emory-jones-1
Anthony Richardson,FR,QB,1 Cmp 2 Att 27 Yds 1 TD,anthony-richardson-2
Luke Matthews,FR,QB,,luke-matthews-3
Dameon Pierce,JR,RB,106 Att 503 Yds 4.7 Avg,dameon-pierce-1
Malik Davis,JR,RB,66 Att 310 Yds 4.7 Avg,malik-davis-1
Nay'quan Wright,FR,RB,54 Att 213 Yds 3.9 Avg,nayquan-wright-1
Iverson Clement,SO,RB,5 Att 29 Yds 5.8 Avg,iverson-clement-1
Lorenzo Lingard,SO,RB,5 Att 32 Yds 6.4 Avg,lorenzo-lingard-1
Michael Weir,SR,RB,,michael-weir-1
Kadarius Toney,SR,WR,70 Rec 984 Yds 14.1 Avg,kadarius-toney-1
Trevon Grimes,SR,WR,38 Rec 589 Yds 15.5 Avg,trevon-grimes-1
Jacob Copeland,SO,WR,23 Rec 435 Yds 18.9 Avg,jacob-copeland-1
Trent Whittemore,FR,WR,10 Rec 128 Yds 12.8 Avg,trent-whittemore-1
Justin Shorter,SO,WR,25 Rec 268 Yds 10.7 Avg,justin-shorter-1
Rick Wells,SR,WR,12 Rec 120 Yds 10.0 Avg,rick-wells-2
Xzavier Henderson,FR,WR,9 Rec 148 Yds 16.4 Avg,xzavier-henderson-1
Ja-Quavion Fraziars,FR,WR,1 Rec 4 Yds 4.0 Avg,ja-quavion-fraziars-1
Jordan Pouncey,JR,WR,1 Rec 27 Yds 27.0 Avg,jordan-pouncey-1
Ja'Markis Weston,FR,WR,1 Rec 13 Yds 13.0 Avg,jamarkis-weston-1
Kyle Pitts,JR,TE,43 Rec 770 Yds 17.9 Avg,kyle-pitts-1
Keon Zipperer,SO,TE,11 Rec 145 Yds 13.2 Avg,keon-zipperer-1
Kemore Gamble,JR,TE,10 Rec 160 Yds 16.0 Avg,kemore-gamble-1
Jonathan Odom,FR,TE,,jonathan-odom-1
Stone Forsythe,SR,OL,,stone-forsythe-1
Stewart Reese,SR,OL,,stewart-reese-1
Josh Braun,FR,OL,,josh-braun-1
Jean Delance,SR,OL,,jean-delance-1
Kingsley Eguakun,FR,OL,,kingsley-eguakun-1
Richard Gouraige,SO,OL,,richard-gouraige-1
Will Harrod,FR,OL,,will-harrod-1
Brett Heggie,SR,OL,,brett-heggie-1
Hayden Knighton,FR,OL,,hayden-knighton-1
Richie Leonard,FR,OL,,richie-leonard-1
Griffin McDowell,SO,OL,,griffin-mcdowell-1
Gerald Mincey,FR,OL,,gerald-mincey-1
T.J. Moore,JR,OL,,tj-moore-1
Mark Pitts,FR,OL,,mark-pitts-1
Riley Simonds,FR,OL,,riley-simonds-1
Michael Tarquin,FR,OL,,michael-tarquin-1
Ethan White,SO,OL,,ethan-white-1
Chris Howard,JR,K,,chris-howard-5
Evan McPherson,JR,K,,evan-mcpherson-1
Zack Sessa,FR,K,,zack-sessa-1
Kyree Campbell,SR,DL,,kyree-campbell-1
Zachary Carter,JR,DL,,zachary-carter-1
Gervon Dexter,FR,DL,,gervon-dexter-1
Marlon Dunlap,SR,DL,,marlon-dunlap-1
Dante Lang,SO,DL,,dante-lang-1
Jalen Lee,FR,DL,,jalen-lee-1
Tedarrell Slaton,SR,DL,,tedarrell-slaton-1
Princely Umanmielen,FR,DL,,princely-umanmielen-1
Lucas Alonzo,FR,DL,,lucas-alonzo-1
Lamar Goods,FR,DL,,lamar-goods-1
Jaelin Humphries,SO,DL,,jaelin-humphries-1
Khris Bogle,SO,LB,,khris-bogle-1
Amari Burney,JR,LB,,amari-burney-1
Andrew Chatfield Jr.,SO,LB,,andrew-chatfield-jr-1
Brenton Cox,SO,LB,,brenton-cox-1
Mohamoud Diabate,SO,LB,,mohamoud-diabate-1
Ty'ron Hopper,FR,LB,,tyron-hopper-1
James Houston IV,JR,LB,,james-houston-iv-1
Ventrell Miller,JR,LB,,ventrell-miller-1
Jeremiah Moon,SR,LB,,jeremiah-moon-1
Jesiah Pierre,FR,LB,,jesiah-pierre-1
David Reese,SO,LB,,david-reese-4
Lloyd Summerall III,FR,LB,,lloyd-summerall-iii-1
Derek Wingo,FR,LB,,derek-wingo-1
Lacedrick Brunson,JR,LB,,lacedrick-brunson-1
Noah Keeter,FR,LB,,noah-keeter-1
Antwaun Powell,FR,LB,,antwuan-powell-1
Shawn Davis,SR,DB,,shawn-davis-3
Trey Dean III,JR,DB,,trey-dean-iii-1
Kaiir Elam,SO,DB,,kaiir-elam-1
Fenley Graham,FR,DB,,fenley-graham-1
Avery Helm,FR,DB,,avery-helm-1
Jaydon Hill,SO,DB,,jaydon-hill-1
Tre'Vez Johnson,FR,DB,,trevez-johnson-1
Chester Kimbrough,SO,DB,,chester-kimbrough-1
Mordecai McDaniel,FR,DB,,mordecai-mcdaniel-1
C.J. McWilliams,SR,DB,,cj-mcwilliams-1
Nick Oelrich,SR,DB,,nick-oelrich-1
Jahari Rogers,FR,DB,,jahari-rogers-1
Brad Stewart,SR,DB,,brad-stewart-3
Donovan Stiner,SR,DB,,donovan-stiner-1
Rashad Torrence,FR,DB,,rashad-torrence-1
Kamar Wilcoxson,FR,DB,,kamar-wilcoxson-1
Marco Wilson,JR,DB,,marco-wilson-1
Quincy Lenton,SR,DB,,quincy-lenton-1
Ethan Pouncey,FR,DB,,ethan-pouncey-1
