Player,Class,Pos,Summary,Player-additional
Stone Norton,FR,QB,25 Cmp 52 Att 252 Yds 3 TD,stone-norton-1
Max Bortenschlager,SR,QB,22 Cmp 48 Att 284 Yds 2 TD,max-bortenschlager-1
Kaylan Wiggins,JR,QB,11 Cmp 30 Att 81 Yds 0 TD,kaylan-wiggins-1
Haden Carlson,FR,QB,,haden-carlson-1
Caleb Lynum,SO,QB,,caleb-lynum-1
D'Vonte Price,SR,RB,85 Att 581 Yds 6.8 Avg,dvonte-price-1
Shaun Peterson Jr.,SO,RB,28 Att 188 Yds 6.7 Avg,shaun-peterson-jr-1
Lexington Joseph,SO,RB,8 Att 30 Yds 3.8 Avg,lexington-joseph-1
Maleek Williams,JR,RB,5 Att 20 Yds 4.0 Avg,maleek-williams-1
Eric Wilson Jr.,FR,RB,5 Att -1 Yds -0.2 Avg,eric-wilson-jr-1
Malik Bryant,SR,RB,,malik-bryant-1
Kejon Owens,FR,RB,,kejon-owens-1
Demarcus Townsend,SO,RB,,demarcus-townsend-1
Nate Jefferson,FR,WR,6 Rec 68 Yds 11.3 Avg,nate-jefferson-1
Bryce Singleton,JR,WR,14 Rec 150 Yds 10.7 Avg,bryce-singleton-1
JJ Holloman,JR,WR,8 Rec 108 Yds 13.5 Avg,jj-holloman-1
Kris Mitchell,FR,WR,4 Rec 39 Yds 9.8 Avg,kris-mitchell-1
Josh Guilford,FR,WR,,josh-guilford-1
Josh Jaramillo,SO,WR,,josh-jaramillo-1
Carson Kaleo,JR,WR,,carson-kaleo-1
Xavier McGriff,FR,WR,,xavier-mcgriff-1
Teddy Richardson,FR,WR,,teddy-richardson-1
Shermar Thornton,SR,WR,,shermar-thornton-1
Jordan Underwood,SO,WR,,jordan-underwood-1
Rivaldo Fairweather,FR,TE,10 Rec 165 Yds 16.5 Avg,rivaldo-fairweather-1
Sterling Palmer,JR,TE,6 Rec 53 Yds 8.8 Avg,sterling-palmer-1
Kamareon Williams,SO,TE,2 Rec 11 Yds 5.5 Avg,kamareon-williams-1
Joe Hocker,FR,TE,,joe-hocker-1
Jackson McDonald,FR,TE,,jackson-mcdonald-1
David O'Meara,JR,TE,,david-omeara-1
Trevor Arnett,FR,OL,,trevor-arnett-1
Tahj Brighthaupt,JR,OL,,tahj-brighthaupt-1
D'Antne Demery,SR,OL,,dantne-demery-1
Sione Finau,SO,OL,,sione-finau-2
Miles Frazier,FR,OL,,miles-frazier-1
Logan Gunderson,JR,OL,,logan-gunderson-1
Shamar Hobdy-Lee,FR,OL,,shamar-hobdy-lee-1
Lyndell Hudson Jr.,SO,OL,,lyndell-hudson-jr-1
Maljon Joor,JR,OL,,maljon-joor-1
Dontae Keys,SR,OL,,dontae-keys-1
Shane McGough,SR,OL,,shane-mcgough-1
Mershawn Miller,JR,OL,,mershawn-miller-1
Jose Mirabal,FR,OL,,jose-mirabal-1
Obinna Nwankwo,SR,OL,,obinna-nwankwo-1
Julius Pierce,FR,OL,,julius-pierce-1
Kristoff Pollas,FR,OL,,kristoff-pollas-1
Noah Quier,FR,OL,,noah-quier-1
Jahmari Sylvester,FR,OL,,jahmari-sylvester-1
Kameren Williams,JR,OL,,kameren-williams-1
Chase Gabriel,FR,K,,chase-gabriel-1
Matthew Enriquez,FR,K,,matthew-enriquez-1
Josias Jean,SR,K,,josias-jean-1
D'Andre Christmas,SR,DL,,dandre-christmas-1
Rashad Colson,JR,DL,,rashad-colson-1
Noah Curtis,SR,DL,,noah-curtis-1
Ty Danzy,FR,DL,,ty-danzy-1
Alexy Jean-Baptiste,SR,DL,,alexy-jean-baptiste-1
Jason Mercier,JR,DL,,jason-mercier-1
Kevin Oliver,SR,DL,,kevin-oliver-1
David Reynolds,SO,DL,,david-reynolds-1
Davon Strickland,SO,DL,,davon-strickland-1
Kane Taylor,JR,DL,,kane-taylor-1
Nate White,FR,DL,,nate-white-1
Chris Whittaker,JR,DL,,chris-whittaker-1
Jordan Woods,SR,DL,,jordan-woods-1
Kameron Burns,SO,DL,,kameron-burns-1
Henry Omu,SR,DL,,henry-omu-1
Shykieim Pace,FR,DL,,shykieim-pace-1
Clayton Singer III,FR,DL,,clayton-singer-iii-1
Andrew Tarver,SR,DL,,andrew-tarver-1
Chance Coleman,FR,LB,,chance-coleman-1
Jamal Gates,SR,LB,,jamal-gates-1
Daniel Jackson,SR,LB,,daniel-jackson-3
Rocky Jacques-Louis,JR,LB,,rocky-jacques-louis-1
Tevin Jones,JR,LB,,tevin-jones-3
Tyson Maeva,SR,LB,,tyson-maeva-1
AJ Mathis,FR,LB,,aj-mathis-1
Josh Powell,SR,LB,,josh-powell-4
Dimitry Prophete,SR,LB,,dimitry-prophete-1
Tamarick Best,FR,LB,,tamarick-best-1
Romelo Brooks,JR,LB,,romelo-brooks-1
Nasir Carter,FR,LB,,nasir-carter-1
Donovan Georges,SO,LB,,donovan-georges-1
Joey Maya,FR,LB,,joey-maya-1
Justin Michel,SO,LB,,justin-michel-1
Reggie Peterson,FR,LB,,reggie-peterson-1
Jamal Anderson,SO,DB,,jamal-anderson-2
Richard Dames,SR,DB,,richard-dames-1
Rishard Dames,JR,DB,,rishard-dames-1
Henry Gray,FR,DB,,henry-gray-1
Dorian Hall,JR,DB,,dorian-hall-1
Nikholi Jaghai,SR,DB,,nikholi-jaghai-1
Benny McCray,JR,DB,,benny-mccray-1
Josh Turner,JR,DB,,josh-turner-2
Jesson Walker,SO,DB,,jesson-walker-1
Deuce Dunbar,FR,DB,,deuce-dunbar-1
Sam Kane,FR,DB,,sam-kane-1
Joe Perkins,FR,DB,,joe-perkins-2
Jamal Potts,FR,DB,,jamal-potts-1
Andrew Volmar,FR,DB,,andrew-volmar-1
Tommy Heatherly,SR,P,,tommy-heatherly-1
Tommy Zozus,JR,LS,,tommy-zozus-1
Jecoryan Davis-Hamilton,FR,UT,,jecoryan-davis-hamilton-1
Ruben Ramirez,SO,LS,,ruben-ramirez-1
