Player,Class,Pos,Summary,Player-additional
Jeff Sims,FR,QB,141 Cmp 257 Att 1881 Yds 13 TD,jeff-sims-1
James Graham,SO,QB,6 Cmp 13 Att 85 Yds 0 TD,james-graham-1
Jordan Yates,FR,QB,4 Cmp 9 Att 16 Yds 0 TD,jordan-yates-1
Liam Byrne,JR,QB,,liam-byrne-1
Tucker Gleason,FR,QB,,tucker-gleason-1
Ryan Lantz,SO,QB,,ryan-lantz-1
Tanner Lawson,FR,QB,,tanner-lawson-1
Jahmyr Gibbs,FR,RB,89 Att 460 Yds 5.2 Avg,jahmyr-gibbs-1
Jordan Mason,JR,RB,82 Att 352 Yds 4.3 Avg,jordan-mason-1
Jamious Griffin,SO,RB,47 Att 229 Yds 4.9 Avg,jamious-griffin-1
Dontae Smith,SO,RB,43 Att 296 Yds 6.9 Avg,dontae-smith-1
Bruce Jordan-Swilling,SR,RB,4 Att 4 Yds 1.0 Avg,bruce-jordan-swilling-1
Spence Massey,FR,RB,3 Att 47 Yds 15.7 Avg,spence-massey-1
Tony Amerson,FR,RB,,tony-amerson-1
Keegan Hemingway,JR,RB,,keegan-hemingway-1
Devin Ellison,FR,RB,,devin-ellison-1
Ahmarean Brown,SO,WR,11 Rec 183 Yds 16.6 Avg,ahmarean-brown-1
Nate McCollum,FR,WR,2 Rec 15 Yds 7.5 Avg,nate-mccollum-1
Jalen Camp,SR,WR,29 Rec 439 Yds 15.1 Avg,jalen-camp-1
Malachi Carter,JR,WR,20 Rec 290 Yds 14.5 Avg,malachi-carter-1
Adonicas Sanders,JR,WR,17 Rec 223 Yds 13.1 Avg,adonicas-sanders-1
Peje' Harris,SO,WR,11 Rec 138 Yds 12.5 Avg,peje-harris-1
Marquez Ezzard,SO,WR,9 Rec 124 Yds 13.8 Avg,marquez-ezzard-1
Josh Blancato,JR,WR,,josh-blancato-1
Avery Boyd,FR,WR,,avery-boyd-1
Stephen Dolphus,SR,WR,,stephen-dolphus-1
Marquez Ezzard,SO,WR,,marquez-ezzard-2
Bryce Gowdy,FR,WR,,bryce-gowdy-1
Ryan King,FR,WR,,ryan-king-2
Luke Moseley,FR,WR,,luke-moseley-1
Kalani Norris,SO,WR,,kalani-norris-1
Zach Owens,FR,WR,,zach-owens-1
Dylan Deveney,SO,TE,4 Rec 38 Yds 9.5 Avg,dylan-deveney-1
