Player,Class,Pos,Summary,Player-additional
Chevan Cordeiro,SO,QB,195 Cmp 313 Att 2083 Yds 14 TD,chevan-cordeiro-1
Boone Abbott,FR,QB,,boone-abbott-1
Kamali'I Akina,SR,QB,,kamalii-akina-1
Armani Edden,JR,QB,,armani-edden-1
Jake Farrell,FR,QB,,jake-farrell-1
Justin Uahinui,JR,QB,,justin-uahinui-1
Calvin Turner,SR,RB,60 Att 331 Yds 5.5 Avg,calvin-turner-2
Miles Reed,JR,RB,82 Att 346 Yds 4.2 Avg,miles-reed-1
Dae Dae Hunter,FR,RB,46 Att 183 Yds 4.0 Avg,dae-dae-hunter-1
Koali Nishigaya,FR,RB,2 Rec 36 Yds 18.0 Avg,koali-nishigaya-1
Keliam Brunn,SO,RB,,keliam-brunn-1
Kenneth Fitzgerald,JR,RB,,kenneth-fitzgerald-1
Hekili Keliljiki,JR,RB,,hekili-keliljiki-1
Melquise Stovall,SR,WR,31 Rec 232 Yds 7.5 Avg,melquise-stovall-1
Jared Smart,SR,WR,36 Rec 320 Yds 8.9 Avg,jared-smart-1
Jonah Panoke,FR,WR,11 Rec 95 Yds 8.6 Avg,jonah-panoke-1
Rico Bussey Jr.,SR,WR,31 Rec 274 Yds 8.8 Avg,rico-bussey-jr-1
Nick Mardner,SO,WR,11 Rec 188 Yds 17.1 Avg,nick-mardner-1
Zion Bowens,JR,WR,5 Rec 145 Yds 29.0 Avg,zion-bowens-1
Lincoln Victor,SO,WR,2 Rec 17 Yds 8.5 Avg,lincoln-victor-1
Aaron Cephus,SR,WR,1 Rec 29 Yds 29.0 Avg,aaron-cephus-1
Riley Wilson,FR,WR,1 Rec 2 Yds 2.0 Avg,riley-wilson-2
James Phillips,SO,WR,,james-phillips-3
Dior Scott,JR,WR,,dior-scott-1
Jaden Allen,FR,WR,,jaden-allen-1
Quin Bright,FR,WR,,quin-bright-1
Mekel Ealy,FR,WR,,mekel-ealy-1
Kilohana Haasenritter,FR,WR,,kilohana-haasenritter-1
Kahale Huddleston,SO,WR,,kahale-huddleston-1
Grey Ihu,JR,WR,,grey-ihu-1
Kaleb Maresh,SO,WR,,kaleb-maresh-1
Tamatoa Mokiao-Atimalala,FR,WR,,tamatoa-mokiao-atimalala-1
Dayton Toney,FR,WR,,dayton-toney-1
Michael Eletise,SR,OL,,michael-eletise-1
Ramsey Aviu,JR,OL,,ramsey-aviu-1
Ra Elkington,JR,OL,,ra-elkington-1
Caden Hilborn,FR,OL,,caden-hilborn-1
Kohl Levao,SR,OL,,kohl-levao-1
Ilm Manning,JR,OL,,ilm-manning-1
Ernest Moore,SR,OL,,ernest-moore-1
Arasi Mose,FR,OL,,arasi-mose-1
Sergio Muasau,FR,OL,,sergio-muasau-1
Joey Nu'uanu-Kuhi'iki,SR,OL,,joey-nuuanu-kuhiiki-1
Gene Pryor,SR,OL,,gene-pryor-2
Micah Soliai Howlett,FR,OL,,micah-soliai-howlett-1
Alesana Sunia,SR,OL,,alesana-sunia-1
Eliki Tanuvasa,SO,OL,,eliki-tanuvasa-1
Taaga Tuulima,SR,OL,,taaga-tuulima-1
Kauka Umiamaka,FR,OL,,kauka-umiamaka-1
Solo Vaipulu,JR,OL,,solo-vaipulu-1
Micah Vanterpool,JR,OL,,micah-vanterpool-1
Bubba Wa'a,FR,OL,,bubba-waa-1
Elias Wong,JR,OL,,elias-wong-1
Jonah Laulu,SO,DL,,jonah-laulu-1
Jonah Kahahawai-Welch,SO,DL,,jonah-kahahawai-welch-1
Alema Kapoi,JR,DL,,alema-kapoi-1
Mason Mataafa,JR,DL,,mason-mataafa-1
Djuan Matthews,SR,DL,,djuan-matthews-1
Foi Shaw,SO,DL,,foi-shaw-1
Blessman Ta'ala,JR,DL,,blessman-taala-1
Justus Tavai,JR,DL,,justus-tavai-1
Derek Thomas,SR,DL,,derek-thomas-1
John Tuitupou,SR,DL,,john-tuitupou-1
Stephan Bernal-Wendt,JR,DL,,stephan-bernal-wendt-1
Mark Blocker,FR,DL,,mark-blocker-2
Kamuela Borden,SO,DL,,kamuela-borden-1
Andrew Choi,SO,DL,,andrew-choi-1
Ezra Evaimalo,FR,DL,,ezra-evaimalo-1
Gabriel Iniguez Jr.,FR,DL,,gabriel-iniguez-jr-1
Kalani Kamakawiwo'ole,FR,DL,,kalani-kamakawiwoole-1
Makai Manuwai,SR,DL,,makai-manuwai-1
Johnny Morrison,JR,DL,,johnny-morrison-1
Zach Ritner,SO,DL,,zach-ritner-1
Doug Russell,JR,DL,,doug-russell-1
Samson Siilata,FR,DL,,samson-siilata-1
Kemon Smith,JR,DL,,kemon-smith-1
Maurice Ta'ala,FR,DL,,maurice-taala-1
Mason Vega,SR,DL,,mason-vega-1
Darius Muasau,SO,LB,,darius-muasau-1
Penei Payihi,JR,LB,,penei-payihi-1
Jeremiah Pritchard,SR,LB,,jeremiah-pritchard-1
Paul Scott,JR,LB,,paul-scott-1
Isaiah Tufaga,SO,LB,,isaiah-tufaga-1
Payton Awaya,SR,LB,,payton-awaya-1
Zach Bowers,FR,LB,,zach-bowers-1
Tauivi Ho Ching,SR,LB,,tauivi-ho-ching-1
Kila Kamakawiwo'ole,FR,LB,,kila-kamakawiwoole-2
Khoury Bethley,JR,DB,,khoury-bethley-1
Donovan Dalton,JR,DB,,donovan-dalton-1
Cortez Davis,SR,DB,,cortez-davis-2
Nalu Emerson,FR,DB,,nalu-emerson-1
Steven Fiso,SO,DB,,steven-fiso-1
Eugene Ford,SR,DB,,eugene-ford-1
Quentin Frazier,SR,DB,,quentin-frazier-1
Noa Kamana,JR,DB,,noa-kamana-1
Kai Kaneshiro,SO,DB,,kai-kaneshiro-1
Kalamaku Kuewa,SO,DB,,kalamaku-kuewa-1
Cameron Lockridge,SO,DB,,cameron-lockridge-1
Sterlin Ortiz,JR,DB,,sterlin-ortiz-1
Logan Taylor,JR,DB,,logan-taylor-1
Michael Washington,FR,DB,,michael-washington-5
Akil Francisco,JR,DB,,akil-francisco-1
James Green III,SO,DB,,james-green-iii-1
Travon Killins,FR,DB,,travon-killins-1
Leonard Lee,JR,DB,,leonard-lee-1
Alaka'i Mashima,JR,DB,,alakai-mashima-1
Brody Padilla,JR,DB,,brody-padilla-1
Jalen Perdue,JR,DB,,jalen-perdue-1
Tiger Peterson,FR,DB,,tiger-peterson-1
Asher Pilanca,FR,DB,,asher-pilanca-1
Stan Gaudion,SR,P,,stan-gaudion-1
Matthew Shipley,FR,PK,,matthew-shipley-1
Adam Stack,JR,PK,,adam-stack-1
Wyatt Tucker,JR,LS,,wyatt-tucker-2
Ben Falck,SO,PK,,ben-falck-1
Ka'eo Rezentes,FR,PK,,kaeo-rezentes-1
