Player,Class,Pos,Summary,Player-additional
Clayton Tune,JR,QB,170 Cmp 285 Att 2048 Yds 15 TD,clayton-tune-1
Logan Holgorsen,SO,QB,4 Cmp 9 Att 57 Yds 0 TD,logan-holgorsen-1
Christian Kaopua,FR,QB,,christian-kaopua-1
Sofian Massoud,FR,QB,,sofian-massoud-1
Ike Ogbogu,JR,QB,,ike-ogbogu-1
Kyle Porter,SR,RB,105 Att 424 Yds 4.0 Avg,kyle-porter-1
Mulbah Car,SR,RB,52 Att 192 Yds 3.7 Avg,mulbah-car-1
Chandler Smith,SR,RB,25 Att 119 Yds 4.8 Avg,chandler-smith-1
Kelan Walker,SO,RB,21 Att 105 Yds 5.0 Avg,kelan-walker-1
Terrell Brown,FR,RB,4 Att 12 Yds 3.0 Avg,terrell-brown-3
James Fullbright III,FR,RB,4 Att 38 Yds 9.5 Avg,james-fullbright-iii-1
Ta'Zhawn Henry,JR,RB,,tazhawn-henry-1
Stacy Sneed,FR,RB,,stacy-sneed-1
Bryson Smith,JR,WR,16 Rec 173 Yds 10.8 Avg,bryson-smith-1
Marquez Stevenson,SR,WR,20 Rec 307 Yds 15.4 Avg,marquez-stevenson-1
Nathaniel Dell,SO,WR,29 Rec 428 Yds 14.8 Avg,nathaniel-dell-1
Keith Corbin,SR,WR,27 Rec 352 Yds 13.0 Avg,keith-corbin-1
Tre'von Bradley,JR,WR,18 Rec 228 Yds 12.7 Avg,trevon-bradley-1
Jeremy Singleton,JR,WR,10 Rec 95 Yds 9.5 Avg,jeremy-singleton-1
Peyton Sawyer,SO,WR,3 Rec 24 Yds 8.0 Avg,peyton-sawyer-1
Ke'andre Street,FR,WR,2 Rec 31 Yds 15.5 Avg,keandre-street-1
Cole McGowan,SR,WR,1 Rec 12 Yds 12.0 Avg,cole-mcgowan-1
Ja'Kori Morgan,SO,WR,,jakori-morgan-1
Canen Adrian,FR,WR,,canen-adrian-1
Marcus Cockrell,FR,WR,,marcus-cockrell-1
Jordan Cooper,SO,WR,,jordan-cooper-1
Jaylen Davis,FR,WR,,jaylen-davis-1
Darius Edmonds,FR,WR,,darius-edmonds-1
Jared Jackson,FR,WR,,jared-jackson-4
Taijon Jackson,FR,WR,,taijon-jackson-1
Dylan Robinson,FR,WR,,dylan-robinson-1
Kam Scott,JR,WR,,kam-scott-1
Andrew Segovia,SR,WR,,andrew-segovia-1
Khiyon Wafer,FR,WR,,khiyon-wafer-1
Christian Trahan,JR,TE,22 Rec 294 Yds 13.4 Avg,christian-trahan-1
Shane Creamer,JR,TE,,shane-creamer-1
Parker Eichenberger,JR,TE,,parker-eichenberger-1
Dekalen Goodson,SO,TE,,dekalen-goodson-1
Trevonte Sylvester,FR,TE,,trevonte-sylvester-1
Jordan Boatman,JR,OL,,jordan-boatman-1
Max Banes,SO,OL,,max-banes-1
Dennis Bardwell,SR,OL,,dennis-bardwell-1
Derek Bowman,FR,OL,,derek-bowman-2
Gabe Cossey,FR,OL,,gabe-cossey-1
James Faminu,FR,OL,,james-faminu-1
Jack Freeman,SO,OL,,jack-freeman-1
Tank Jenkins,SO,OL,,tank-jenkins-1
Cam'ron Johnson,FR,OL,,camron-johnson-1
Braylon Jones,SR,OL,,braylon-jones-1
Kameron Lewis,SO,OL,,kameron-lewis-1
Keenan Murphy,SR,OL,,keenan-murphy-1
Ugonna Nnanna,FR,OL,,ugonna-nnanna-1
Giovanni Pancotti,SR,OL,,giovanni-pancotti-1
Patrick Paul,FR,OL,,patrick-paul-1
Chayse Todd,FR,OL,,chayse-todd-1
Michael Tulenko,FR,OL,,michael-tulenko-1
Reuben Unije,SO,OL,,reuben-unije-1
Kyle Ramsey,SO,K,,kyle-ramsey-1
Dalton Witherspoon,SR,K,,dalton-witherspoon-1
Bubba Baxa,JR,K,,bubba-baxa-1
Jake Ruiz,FR,K,,jake-ruiz-1
David Anenih,SR,DL,,david-anenih-1
Atlias Bell,JR,DL,,atlias-bell-1
Nelson Caeser,FR,DL,,nelson-caeser-1
Olivier Charles-Pierre,SR,DL,,olivier-charles-pierre-1
Alexander Duke,JR,DL,,alexander-duke-1
Logan Hall,JR,DL,,logan-hall-3
D'Anthony Jones,JR,DL,,danthony-jones-1
Jamykal Neal,JR,DL,,jamykal-neal-1
Chidozie Nwankwo,FR,DL,,chidozie-nwankwo-1
Ike Onwuasoanya,SR,DL,,ike-onwuasoanya-1
Derek Parish,JR,DL,,derek-parish-1
Taures Payne,SR,DL,,taures-payne-1
Payton Turner,SR,DL,,payton-turner-1
Hakeem Ajijolaiya,FR,DL,,hakeem-ajijolaiya-1
Benil Johnson,SO,DL,,benil-johnson-1
Willie Smith III,SO,DL,,willie-smith-iii-2
Sedrick Williams,JR,DL,,sedrick-williams-1
Jordan Carmouche,JR,LB,,jordan-carmouche-1
Zamar Kirven,JR,LB,,zamar-kirven-1
Jordan Moore,SO,LB,,jordan-moore-3
Donavan Mutin,JR,LB,,donavan-mutin-1
Ronald Nunnery,FR,LB,,ronald-nunnery-1
Malik Robinson,JR,LB,,malik-robinson-1
Jovanni Stewart,SR,LB,,jovanni-stewart-1
Grant Stuard,SR,LB,,grant-stuard-1
Amaud Willis-Dalton,JR,LB,,amaud-willis-dalton-1
Jacob Daulong,JR,LB,,jacob-daulong-1
Terrance Edgeston,SR,LB,,terrance-edgeston-1
Elijah Gooden,JR,LB,,elijah-gooden-1
Kayce Medlock,JR,LB,,kayce-medlock-1
Ken Savanah,FR,LB,,ken-savanah-1
Laine Wilkins,FR,P,,laine-wilkins-1
Deontay Anderson,SR,S,,deontay-anderson-1
Art Green,JR,CB,,art-green-1
Hasaan Hypolite,SO,S,,hasaan-hypolite-1
Marcus Jones,JR,CB,,marcus-jones-11
Shaun Lewis,JR,CB,,shaun-lewis-2
Thabo Mwaniki,JR,S,,thabo-mwaniki-1
Gervarrius Owens,JR,S,,gervarrius-owens-1
Jayce Rogers,JR,CB,,jayce-rogers-1
D.J. Small,JR,CB,,dj-small-1
Gleson Sprewell,JR,S,,gleson-sprewell-1
Garrison Vaughn,SO,S,,garrison-vaughn-1
Damarion Williams,SR,CB,,damarion-williams-1
Davis Beal,FR,LS,,davis-beal-1
Kelvin Clemmons,JR,CB,,kelvin-clemmons-1
Deondre Dansby,FR,S,,deondre-dansby-1
Dylan Dixon,FR,CB,,dylan-dixon-1
Jacob Garza,FR,LS,,jacob-garza-1
Gavin Gately,SO,LS,,gavin-gately-1
Tyler Gordon,FR,S,,tyler-gordon-1
T.J. Marshall,FR,S,,tj-marshall-1
Colin Samuel,SR,CB,,colin-samuel-1
Javian Smith,JR,CB,,javian-smith-1
Theron Stroops,FR,CB,,theron-stroops-1
Mike Welch,FR,S,,mike-welch-3
Spencer Wells,SO,LS,,spencer-wells-1
