Player,Class,Pos,Summary,Player-additional
Michael Penix Jr.,SO,QB,124 Cmp 220 Att 1645 Yds 14 TD,michael-penix-jr-1
Jack Tuttle,SO,QB,44 Cmp 72 Att 362 Yds 2 TD,jack-tuttle-1
Grant Gremel,FR,QB,,grant-gremel-1
Will Jontz,FR,QB,,will-jontz-1
Zach Merrill,FR,QB,,zach-merrill-1
Dexter Williams II,FR,QB,,dexter-williams-ii-1
Stevie Scott,JR,RB,156 Att 561 Yds 3.6 Avg,stevie-scott-1
Sampson James,SO,RB,32 Att 96 Yds 3.0 Avg,sampson-james-1
Tim Baldwin Jr.,FR,RB,22 Att 141 Yds 6.4 Avg,tim-baldwin-jr-1
David Ellis,SO,RB,16 Att 61 Yds 3.8 Avg,david-ellis-2
Chris Childers,JR,RB,,chris-childers-2
Davion Ervin-Poindexter,SO,RB,,davion-ervin-poindexter-1
Ahrod Lloyd,JR,RB,,ahrod-lloyd-1
Charlie Spegal,FR,RB,,charlie-spegal-1
Whop Philyor,SR,WR,54 Rec 495 Yds 9.2 Avg,whop-philyor-1
Ty Fryfogle,SR,WR,37 Rec 721 Yds 19.5 Avg,ty-fryfogle-1
Miles Marshall,SO,WR,19 Rec 290 Yds 15.3 Avg,miles-marshall-1
Jacolby Hewitt,SO,WR,5 Rec 68 Yds 13.6 Avg,jacolby-hewitt-1
Javon Swinton,FR,WR,4 Rec 52 Yds 13.0 Avg,javon-swinton-1
David Baker,FR,WR,,david-baker-2
Da'Shaun Brown,FR,WR,,dashaun-brown-1
Christian Harris,JR,WR,,christian-harris-4
Jordan Jakes,FR,WR,,jordan-jakes-1
D.J. Matthews,,WR,,dj-matthews-1
Bryan Parker,JR,WR,,bryan-parker-1
McCall Ray,FR,WR,,mccall-ray-1
Luke Shayotovich,SO,WR,,luke-shayotovich-1
Rashawn Williams,FR,WR,,rashawn-williams-1
Cam Wilson,JR,WR,,cam-wilson-1
Peyton Hendershot,JR,TE,23 Rec 151 Yds 6.6 Avg,peyton-hendershot-1
