Player,Class,Pos,Summary,Player-additional
Spencer Petras,SO,QB,140 Cmp 245 Att 1569 Yds 9 TD,spencer-petras-1
Alex Padilla,FR,QB,1 Cmp 2 Att 12 Yds 0 TD,alex-padilla-1
Deuce Hogan,FR,QB,,deuce-hogan-1
Connor Kapisak,SO,QB,,connor-kapisak-1
Tyler Goodson,SO,RB,143 Att 762 Yds 5.3 Avg,tyler-goodson-1
Mekhi Sargent,SR,RB,76 Att 432 Yds 5.7 Avg,mekhi-sargent-1
Ivory Kelly-Martin,JR,RB,13 Att 54 Yds 4.2 Avg,ivory-kelly-martin-1
Gavin Williams,FR,RB,8 Att 28 Yds 3.5 Avg,gavin-williams-1
Shadrick Byrd,FR,RB,,shadrick-byrd-1
Keontae Luckett,FR,RB,,keontae-luckett-1
Leshon Williams,FR,RB,,leshon-williams-1
Ihmir Smith-Marsette,SR,WR,25 Rec 345 Yds 13.8 Avg,ihmir-smith-marsette-1
Tyrone Tracy Jr.,SO,WR,14 Rec 154 Yds 11.0 Avg,tyrone-tracy-jr-1
Charlie Jones,JR,WR,,charlie-jones-7
Nico Ragaini,SO,WR,18 Rec 191 Yds 10.6 Avg,nico-ragaini-1
Brandon Smith,SR,WR,23 Rec 231 Yds 10.0 Avg,brandon-smith-11
Alec Kritta,FR,WR,1 Rec 12 Yds 12.0 Avg,alec-kritta-1
Jack Combs,JR,WR,,jack-combs-1
Max Cooper,SR,WR,,max-cooper-1
Nolan Donald,FR,WR,,nolan-donald-1
Jamison Heinz,FR,WR,,jamison-heinz-1
Desmond Hutson,FR,WR,,desmond-hutson-1
Jack Johnson,FR,WR,,jack-johnson-3
Calvin Lockett,SO,WR,,calvin-lockett-1
Quavon Matthews,FR,WR,,quavon-matthews-1
Jackson Ritter,FR,WR,,jackson-ritter-1
Diante Vines,FR,WR,,diante-vines-1
Isaiah Wagner,FR,WR,,isaiah-wagner-1
Wyatt Wegener,FR,WR,,wyatt-wegener-1
Sam Laporta,SO,TE,27 Rec 271 Yds 10.0 Avg,sam-laporta-1
Shaun Beyer,SR,TE,11 Rec 158 Yds 14.4 Avg,shaun-beyer-1
Jackson Frericks,FR,TE,,jackson-frericks-1
Tommy Kujawa,JR,TE,,tommy-kujawa-1
Luke Lachey,FR,TE,,luke-lachey-1
Josiah Miamen,FR,TE,,josiah-miamen-1
Bryce Schulte,JR,TE,,bryce-schulte-1
Andrew Wilson,FR,TE,,andrew-wilson-4
Elijah Yelverton,FR,TE,,elijah-yelverton-1
Tyler Linderbaum,SO,OL,,tyler-linderbaum-1
Cole Banwart,SR,OL,,cole-banwart-1
Justin Britt,FR,OL,,justin-britt-3
Jeremy Chaplin,FR,OL,,jeremy-chaplin-1
Coy Cronk,SR,OL,,coy-cronk-1
Nick Dejong,FR,OL,,nick-dejong-1
Tyler Elsbury,FR,OL,,tyler-elsbury-1
Luke Empen,SO,OL,,luke-empen-1
Tyler Endres,FR,OL,,tyler-endres-1
Matt Fagan,SO,OL,,matt-fagan-1
Asher Fahey,FR,OL,,asher-fahey-1
Noah Fenske,FR,OL,,noah-fenske-1
Cody Ince,SO,OL,,cody-ince-1
Alaric Jackson,SR,OL,,alaric-jackson-1
Alaric Jacskon,SR,OL,,alaric-jacskon-1
Mark Kallenberger,JR,OL,,mark-kallenberger-1
Coy Kirkpatrick,JR,OL,,coy-kirkpatrick-1
Jack Plumb,SO,OL,,jack-plumb-1
Mason Richman,FR,OL,,mason-richman-1
Kyler Schott,JR,OL,,kyler-schott-1
Clayton Thurm,FR,OL,,clayton-thurm-1
Josh Volk,FR,OL,,josh-volk-1
Keith Duncan,SR,K,,keith-duncan-1
Caleb Shudak,SR,K,,caleb-shudak-1
Lucas Amaya,FR,K,,lucas-amaya-1
Aaron Blom,FR,K,,aaron-blom-1
Yahya Black,FR,DL,,yahya-black-1
Chauncey Golston,SR,DL,,chauncey-golston-1
Jack Heflin,SR,DL,,jack-heflin-1
Dalles Jacobus,SR,DL,,dalles-jacobus-1
Logan Lee,FR,DL,,logan-lee-2
Noah Shannon,SO,DL,,noah-shannon-1
Zack Vanvalkenburg,SR,DL,,zack-vanvalkenburg-1
John Waggoner,SO,DL,,john-waggoner-1
Isaiah Bruce,FR,DL,,isaiah-bruce-2
Deontae Craig,FR,DL,,deontae-craig-1
Spencer Daufeldt,FR,DL,,spencer-daufeldt-1
Taylor Fox,FR,DL,,taylor-fox-1
