Player,Class,Pos,Summary,Player-additional
Will Howard,FR,QB,90 Cmp 168 Att 1178 Yds 8 TD,will-howard-2
Skylar Thompson,SR,QB,40 Cmp 64 Att 626 Yds 4 TD,skylar-thompson-1
Nick Ast,JR,QB,7 Cmp 14 Att 53 Yds 0 TD,nick-ast-1
Bart Harris,SO,QB,,bart-harris-1
Jaren Lewis,FR,QB,,jaren-lewis-1
Max Marsh,FR,QB,,max-marsh-1
Deuce Vaughn,FR,RB,123 Att 642 Yds 5.2 Avg,deuce-vaughn-1
Harry Trotter,SR,RB,72 Att 260 Yds 3.6 Avg,harry-trotter-1
Tyler Burns,SR,RB,13 Att 36 Yds 2.8 Avg,tyler-burns-1
Keyon Mozee,FR,RB,11 Att 39 Yds 3.5 Avg,keyon-mozee-1
Jacardia Wright,FR,RB,6 Att 17 Yds 2.8 Avg,jacardia-wright-1
Joe Ervin,FR,RB,,joe-ervin-1
Thomas Grayson,FR,RB,,thomas-grayson-1
Clyde Price,FR,RB,,clyde-price-1
Kaelen Shankle,FR,RB,,kaelen-shankle-1
Phillip Brooks,SO,WR,15 Rec 155 Yds 10.3 Avg,phillip-brooks-1
Malik Knowles,SO,WR,13 Rec 204 Yds 15.7 Avg,malik-knowles-1
Keenan Garber,FR,WR,2 Rec 10 Yds 5.0 Avg,keenan-garber-1
Chabastin Taylor,JR,WR,19 Rec 293 Yds 15.4 Avg,chabastin-taylor-1
Seth Porter,SO,WR,,seth-porter-1
Joshua Youngblood,SO,WR,,joshua-youngblood-1
Wykeen Gill,SR,WR,3 Rec 9 Yds 3.0 Avg,wykeen-gill-1
Eric Hommel,JR,WR,,eric-hommel-1
Ty Bowman,FR,WR,,ty-bowman-1
Thomas Helten,SO,WR,,thomas-helten-1
Gabe Hoover,FR,WR,,gabe-hoover-1
C.J. Horton,FR,WR,,cj-horton-1
Elliot Ollenburger,SO,WR,,elliot-ollenburger-1
Riley Petz,FR,WR,,riley-petz-1
Jaelon Travis,FR,WR,,jaelon-travis-1
Landry Weber,JR,WR,,landry-weber-1
Dylan Wentzel,JR,WR,,dylan-wentzel-1
Briley Moore,SR,TE,22 Rec 338 Yds 15.4 Avg,briley-moore-1
Samuel Wheeler,SO,TE,7 Rec 134 Yds 19.1 Avg,samuel-wheeler-1
Konner Fox,FR,TE,1 Rec 6 Yds 6.0 Avg,konner-fox-1
Cameron Cotton,JR,TE,,cameron-colton-1
Hillard Cozine,SO,TE,,hillard-cozine-1
Cody Stufflebean,FR,TE,,cody-stufflebean-1
Will Swanson,FR,TE,,will-swanson-1
Ben Adler,JR,OL,,ben-adler-1
Cooper Beebe,FR,OL,,cooper-beebe-1
Harrison Creed,JR,OL,,harrison-creed-1
Dawson Delforge,JR,OL,,dawson-delforge-1
Christian Duffie,SO,OL,,christian-duffie-1
Tre Eaton,FR,OL,,tre-eaton-1
Justin Eichman,SR,OL,,justin-eichman-1
Hayden Gillum,SO,OL,,hayden-gillum-1
Noah Johnson,SR,OL,,noah-johnson-4
Marshall Kellner,SO,OL,,marshall-kellner-1
Kaitori Leveston,SO,OL,,kaitori-leveston-1
Logan Long,JR,OL,,logan-long-1
Witt Mitchum,FR,OL,,witt-mitchum-1
Tylar Patrick,JR,OL,,tylar-patrick-1
Taylor Poitier,FR,OL,,taylor-poitier-1
Josh Rivas,JR,OL,,josh-rivas-1
Sam Shields,FR,OL,,sam-shields-2
Jackson Smith,FR,OL,,jackson-smith-1
Trevor Stange,FR,OL,,trevor-stange-1
Talor Warner,FR,OL,,talor-warner-1
Carver Willis,FR,OL,,carver-willis-1
Taiten Winkel,JR,K,,taiten-winkel-1
Nick Allen,SO,LB,,nick-allen-1
Levi Archer,FR,LB,,levi-archer-1
Cody Fletcher,SR,LB,,cody-fletcher-1
Daniel Green,SO,LB,,daniel-green-2
Justin Hughes,SR,LB,,justin-hughes-2
Austin Moore,FR,LB,,austin-moore-2
Elijah Sullivan,SR,LB,,elijah-sullivan-1
Michael Book,FR,LB,,michael-book-2
Derek Bowman,SO,LB,,derek-bowman-1
Parker Bruce,JR,LB,,parker-bruce-1
Jhet Burkhart,SO,LB,,jhet-burkhart-1
Adam Davis,SO,LB,,adam-davis-3
Kienen Gaskin,FR,LB,,kienen-gaskin-1
Jay Harris,FR,LB,,jay-harris-1
DeMarrquese Hayes,FR,LB,,demarrquese-hayes-1
Beau Palmer,FR,LB,,beau-palmer-1
D.j. Render,SR,DB,,dj-render-1
Ekow Boye-Doe,SO,DB,,ekow-boye-doe-1
Aamaris Brown,FR,DB,,aamaris-brown-1
Tee Denson,FR,DB,,tee-denson-1
Ross Elder,JR,DB,,ross-elder-1
Justin Gardner,JR,DB,,justin-gardner-2
Ryan Henington,JR,DB,,ryan-henington-1
Hunter Henry,FR,DB,,hunter-henry-3
Will Jones II,FR,DB,,will-jones-ii-1
Wayne Jones,SO,DB,,wayne-jones-3
Cameron Key,SO,DB,,cameron-key-1
Tyrone Lewis,FR,DB,,tyrone-lewis-2
Jahron McPherson,SR,DB,,jahron-mcpherson-1
Brock Monty,SR,DB,,brock-monty-1
AJ Parker,SR,DB,,aj-parker-1
Lance Robinson,SO,DB,,lance-robinson-1
TJ Smith,FR,DB,,tj-smith-6
Kiondre Thomas,SR,DB,,kiondre-thomas-1
Jonathan Alexander,SR,DB,,jonathan-alexander-1
Jaylen Carter,FR,DB,,jaylen-carter-1
Terrence Collins II,FR,DB,,terrence-collins-ii-1
Ben Driver,FR,DB,,ben-driver-1
Jairus Kennedy,FR,DB,,jairus-kennedy-1
Vaughn Malone,FR,DB,,vaughn-malone-1
Matthew Maschmeier,FR,DB,,matthew-maschmeier-1
Malachi Mitchell,FR,DB,,malachi-mitchell-1
Walter Neil Jr.,SR,DB,,walter-neil-jr-1
Jordan Schippers,SO,DB,,jordan-schippers-1
Jack Blumer,SO,P,,jack-blumer-1
Ty Zentner,JR,P,,ty-zentner-1
Jax Dineen,SO,FB,,jax-dineen-1
Nick Lenners,JR,FB,,nick-lenners-1
