Player,Class,Pos,Summary,Player-additional
Malik Willis,JR,QB,170 Cmp 265 Att 2250 Yds 20 TD,malik-willis-1
Chris Ferguson,SR,QB,19 Cmp 37 Att 197 Yds 4 TD,chris-ferguson-3
Johnathan Bennett,FR,QB,4 Cmp 5 Att 77 Yds 1 TD,johnathan-bennett-1
Will Bowers,FR,QB,,will-bowers-1
Sean Brown,FR,QB,,sean-brown-5
RJ Glod,FR,QB,,rj-glod-1
Joshua Mack,SR,RB,139 Att 797 Yds 5.7 Avg,joshua-mack-1
Peytton Pickett,SR,RB,91 Att 520 Yds 5.7 Avg,peytton-pickett-1
Shedro Louis,SO,RB,61 Att 429 Yds 7.0 Avg,shedro-louis-1
Troy Henderson,SO,RB,32 Att 141 Yds 4.4 Avg,troy-henderson-2
Luke Bales,FR,RB,,luke-bales-1
Frank Boyd,SO,RB,,frank-boyd-1
Gabriel Elliot,SO,RB,,gabriel-elliot-1
Russians Williams,FR,RB,,russians-williams-1
D.J. Stubbs,SR,WR,38 Rec 523 Yds 13.8 Avg,dj-stubbs-1
Demario Douglas,FR,WR,32 Rec 363 Yds 11.3 Avg,demario-douglas-1
Kevin Shaa,SR,WR,25 Rec 450 Yds 18.0 Avg,kevin-shaa-1
CJ Yarbrough,FR,WR,17 Rec 268 Yds 15.8 Avg,cj-yarbrough-1
Noah Frith,SO,WR,16 Rec 211 Yds 13.2 Avg,noah-frith-1
CJ Daniels,FR,WR,11 Rec 220 Yds 20.0 Avg,cj-daniels-1
Brody Brumm,JR,WR,4 Rec 21 Yds 5.3 Avg,brody-brumm-1
Jaivian Lofton,JR,WR,3 Rec 51 Yds 17.0 Avg,jaivian-lofton-1
D`Wayne Crawford,FR,WR,,dwayne-crawford-1
Daniel Darko,JR,WR,,daniel-darko-1
Treon Sibley,FR,WR,,treon-sibley-1
Khaleb Coleman,JR,WR,,khaleb-coleman-1
Ahmad Jackson,FR,WR,,ahmad-jackson-1
Ed Ogle,FR,WR,,ed-ogle-1
Carlos Poole,FR,WR,,carlos-poole-1
Cade Rowland,FR,WR,,cade-rowland-1
Michael Bollinger,JR,TE,1 Rec 13 Yds 13.0 Avg,michael-bollinger-1
Johnny Huntley,SR,TE,15 Rec 201 Yds 13.4 Avg,johnny-huntley-2
Jerome Jackson,JR,TE,9 Rec 75 Yds 8.3 Avg,jerome-jackson-2
Chris Barrett,SR,TE,5 Rec 29 Yds 5.8 Avg,chris-barrett-2
Trevor Hobbs,SR,TE,3 Rec 33 Yds 11.0 Avg,trevor-hobbs-1
Trey Hatcher,SO,TE,,trey-hatcher-1
Brayden Monday,FR,TE,,brayden-monday-1
J.T. Wood,SO,TE,,jt-wood-1
Mason Yost,SO,TE,,mason-yost-1
Brendan Schlitter,SO,OL,,brendan-schlitter-1
Gage Bassham,FR,OL,,gage-bassham-1
Jacob Bodden,SO,OL,,jacob-bodden-1
Damian Bounds,SR,OL,,damian-bounds-1
Carter Bradley,SO,OL,,carter-bradley-2
Will Buchanan,FR,OL,,will-buchanan-1
Ryan Eshleman,SO,OL,,ryan-eshleman-1
Jonathan Graham,SO,OL,,jonathan-graham-1
Brian Hannibal,FR,OL,,brian-hannibal-1
Maisen Knight,SR,OL,,maisen-knight-1
John Kourtis,SO,OL,,john-kourtis-1
Bryce Mathews,SR,OL,,bryce-mathews-1
Cooper McCaw,JR,OL,,cooper-mccaw-1
Chase Mitchell,FR,OL,,chase-mitchell-1
Nate Pena,JR,OL,,nate-pena-1
Boyd Rogish,JR,OL,,boyd-rogish-1
Thomas Sargeant,SR,OL,,thomas-sargeant-1
Tristian Schultz,SR,OL,,tristian-schultz-1
BJ Wheat Jr.,FR,OL,,bj-wheat-jr-1
Alex Barbir,SR,K,,alex-barbir-1
Jason Stricker,FR,K,,jason-stricker-1
Avery Blaikie,FR,DL,,avery-blaikie-1
Anthony Butler,SR,LB,,anthony-butler-2
Malik Caper,FR,LB,,malik-caper-1
Tyren Dupree,SO,LB,,tyren-dupree-1
Aaron Pierre,JR,LB,,aaron-pierre-1
Carl Poole,FR,LB,,carl-poole-1
Matt Terrell,SR,LB,,matt-terrell-1
Gabe Fuster,FR,LB,,gabe-fuster-1
DJ Humes,FR,LB,,dj-humes-1
Amarii Jenkins,JR,LB,,amarii-jenkins-1
Tyron Staples,SR,LB,,tyron-staples-1
Aubrey Williams,FR,LB,,aubrey-williams-1
Aidan Alves,JR,P,,aidan-alves-1
Jake Brickell,FR,P,,jake-brickell-1
Mason Sarra,FR,KR,,mason-sarra-1
Benjamin Alexander,SR,S,,benjamin-alexander-1
Deon Biggins,FR,CB,,deon-biggins-1
Kendy Charles,FR,DT,,kendy-charles-1
Henry Chibueze,SO,DT,,henry-chibueze-1
TreShaun Clark,SO,DE,,treshaun-clark-1
Emanuel Dabney,SR,CB,,emanuel-dabney-1
Kimani Donaldson,JR,CB,,kimani-donaldson-1
Jimmy Faulks,SR,CB,,jimmy-faulks-1
Micah Glaize,SO,S,,micah-glaize-1
William Green,JR,DT,,william-green-4
Marcus Haskins,JR,S,,marcus-haskins-1
Elijah James,SR,DT,,elijah-james-1
Durrell Johnson,JR,DE,,durrell-johnson-1
Jerome Jolly Jr.,FR,S,,jerome-jolly-jr-1
