Player,Class,Pos,Summary,Player-additional
Malik Cunningham,JR,QB,195 Cmp 304 Att 2617 Yds 20 TD,malik-cunningham-1
Evan Conley,SO,QB,4 Cmp 5 Att 48 Yds 0 TD,evan-conley-1
Jawon Pass,SR,QB,2 Cmp 3 Att 17 Yds 0 TD,jawon-pass-1
Braden Carnes,FR,QB,,braden-carnes-1
Will Warren,FR,QB,,will-warren-1
Tee Webb,FR,QB,,tee-webb-1
Javian Hawkins,SO,RB,133 Att 822 Yds 6.2 Avg,javian-hawkins-1
Hassan Hall,JR,RB,54 Att 223 Yds 4.1 Avg,hassan-hall-1
Jalen Mitchell,FR,RB,52 Att 347 Yds 6.7 Avg,jalen-mitchell-1
Maurice Burkley,SR,RB,33 Att 180 Yds 5.5 Avg,maurice-burkley-1
Aidan Robbins,FR,RB,5 Att 10 Yds 2.0 Avg,aidan-robbins-1
Braden Smith,SO,WR,27 Rec 370 Yds 13.7 Avg,braden-smith-4
Chatarius Atwell,JR,WR,46 Rec 625 Yds 13.6 Avg,chatarius-atwell-1
Jordan Watkins,FR,WR,8 Rec 57 Yds 7.1 Avg,jordan-watkins-2
Dez Fitzpatrick,SR,WR,43 Rec 833 Yds 19.4 Avg,dez-fitzpatrick-1
Justin Marshall,JR,WR,7 Rec 87 Yds 12.4 Avg,justin-marshall-1
Josh Johnson,JR,WR,4 Rec 40 Yds 10.0 Avg,josh-johnson-6
Roscoe Johnson,SR,WR,2 Rec 20 Yds 10.0 Avg,roscoe-johnson-1
Hale Bohler,FR,WR,,hale-bohler-1
Gregory DeRosiers,FR,WR,,gregory-derosiers-1
Christian Fitzpatrick,FR,WR,,christian-fitzpatrick-1
Tyler Harrell,SO,WR,,tyler-harrell-1
Micah Lowe,SO,WR,,micah-lowe-1
Nicholas Malito,FR,WR,,nicholas-malito-1
Kade Neely,FR,WR,,kade-neely-1
Chris Nuckols,SO,WR,,chris-nuckols-1
Corey Reed,JR,WR,,corey-reed-1
Jordan Thomas,JR,WR,,jordan-thomas-5
D.J. Van Horn,FR,WR,,dj-van-horn-1
Marshon Ford,SO,TE,25 Rec 309 Yds 12.4 Avg,marshon-ford-1
Ean Pfeifer,SR,TE,7 Rec 101 Yds 14.4 Avg,ean-pfeifer-1
Francis Sherman,FR,TE,3 Rec 19 Yds 6.3 Avg,francis-sherman-1
Duane Martin,FR,TE,2 Rec 27 Yds 13.5 Avg,duane-martin-1
Isaac Martin,JR,TE,2 Rec 11 Yds 5.5 Avg,isaac-martin-1
Dezmond Daniels,FR,TE,,dezmond-daniels-1
Andrew Lee,FR,TE,,andrew-lee-1
Josh Lifson,FR,TE,,josh-lifson-1
Tobias Little,SR,TE,,tobias-little-1
Dez Melton,FR,TE,,dez-melton-1
Caleb Chandler,JR,OL,,caleb-chandler-1
Emmanual Sowders,JR,OL,,emmanual-sowders-1
Kobe Baynes,FR,OL,,kobe-baynes-1
Robbie Bell,SR,OL,,robbie-bell-1
Cole Bentley,SR,OL,,cole-bentley-1
Joshua Black,FR,OL,,joshua-black-1
Adonis Boone,JR,OL,,adonis-boone-1
Renato Brown,FR,OL,,renato-brown-1
Austin Collins,FR,OL,,austin-collins-2
Cam DeGeorge,SR,OL,,cam-degeorge-1
Jackson Gregory,FR,OL,,jackson-gregory-1
Luke Kandra,FR,OL,,luke-kandra-1
Tim Lawson,FR,OL,,tim-lawson-1
Trevor Reid,JR,OL,,trevor-reid-1
Clayton Six,JR,OL,,clayton-six-1
Gary Swiney,FR,OL,,gary-swiney-1
Travis Taylor,FR,OL,,travis-taylor-2
Brandon Wellington,JR,OL,,brandon-wellington-2
Zach Williamson,FR,OL,,zach-williamson-1
Logan Lupo,SO,K,,logan-lupo-1
Brock Travelstead,FR,K,,brock-travelstead-1
James Turner,SO,K,,james-turner-2
Ryan Chalifoux,JR,K,,ryan-chalifoux-1
Tabarious Peterson,SR,DL,,tabarious-peterson-1
Micah Bland,JR,DL,,micah-bland-1
Malik Clark,JR,DL,,malik-clark-2
Yaya Diaby,JR,DL,,yaya-diaby-1
Derek Dorsey,SR,DL,,derek-dorsey-1
Zach Edwards,FR,DL,,zach-edwards-4
Jared Goldwire,SR,DL,,jared-goldwire-1
Dayna Kinnaird,JR,DL,,dayna-kinnaird-1
Ramon Puryear,FR,DL,,ramon-puryear-1
Dezmond Tell,FR,DL,,dezmond-tell-1
Henry Bryant,FR,DL,,henry-bryant-2
Jared Dawson,FR,DL,,jared-dawson-1
Yirayah LaNier,FR,DL,,yirayah-lanier-1
Luke Paulson,FR,DL,,luke-paulson-1
Mason Reiger,FR,DL,,mason-reiger-1
Yasir Abdullah,JR,LB,,yasir-abdullah-1
C.J. Avery,SR,LB,,cj-avery-1
Rodjay Burns,SR,LB,,rodjay-burns-1
K.J. Cloyd,SO,LB,,kj-cloyd-1
Marvin Dallas,JR,LB,,marvin-dallas-1
Dorian Etheridge,SR,LB,,dorian-etheridge-1
Thurman Geathers,SO,LB,,thurman-geathers-1
Robert Hicks,JR,LB,,robert-hicks-1
Darius Jones,FR,LB,,darius-jones-5
Dorian Jones,FR,LB,,dorian-jones-1
Monty Montgomery,JR,LB,,monty-montgomery-2
Nick Okeke,JR,LB,,nick-okeke-1
Darrian Bell,FR,LB,,darrian-bell-1
P.J. Blue,JR,LB,,pj-blue-1
Keon Johnson,JR,LB,,keon-johnson-2
Patrick Owen,FR,LB,,patrick-owen-1
Zay Peterson,FR,LB,,zay-peterson-1
Allen Smith,FR,LB,,allen-smith-3
Trenell Troutman,JR,LB,,trenell-troutman-1
Kameron Wilson,FR,LB,,kameron-wilson-2
Marlon Character,SR,DB,,marlon-character-1
Jack Fagot,JR,DB,,jack-fagot-1
Isaiah Hayes,SR,DB,,isaiah-hayes-1
Anthony Johnson,JR,DB,,anthony-johnson-14
Chandler Jones,JR,DB,,chandler-jones-4
Greedy Vance,FR,DB,,greedy-vance-1
Russ Yeast,SR,DB,,russ-yeast-1
Isaiah Downing,FR,DB,,isaiah-downing-1
Telly Plummer,JR,DB,,telly-plummer-1
Seth Pugh,FR,DB,,seth-pugh-1
Dakadrien Saunders,FR,DB,,dakadrien-saunders-1
Arthur Veal,FR,DB,,arthur-veal-1
Ryan Harwell,FR,P,,ryan-harwell-1
Ja'Darien Boykin,FR,DE,,jadarien-boykin-1
Kei'Trel Clark,SO,CB,,keitrel-clark-1
Kei'Trel Clark,SO,CB,,keitrel-clark-1
Mitch Hall,SR,LS,,mitch-hall-3
Lovie Jenkins,FR,S,,lovie-jenkins-1
Josh Minkins,FR,S,,josh-minkins-2
Drew Brenowitz,SO,UT,,drew-brenowitz-1
Justin Brummett,FR,LS,,justin-brummett-1
Marqui Lowery,FR,CB,,marqui-lowery-1
Jamel Starks,FR,CB,,jamel-starks-1
