Player,Class,Pos,Summary,Player-additional
Taulia Tagovailoa,SO,QB,75 Cmp 122 Att 1011 Yds 7 TD,taulia-tagovailoa-1
Eric Najarian,SO,QB,12 Cmp 23 Att 218 Yds 2 TD,eric-najarian-1
Lance Legendre,FR,QB,11 Cmp 14 Att 91 Yds 0 TD,lance-legendre-1
Tyler Desue,SO,QB,,tyler-desue-1
Josh Ettinger,FR,QB,,josh-ettinger-1
David Foust,FR,QB,,david-foust-2
Josh Jackson,SR,QB,,josh-jackson-3
Jake Funk,SR,RB,60 Att 516 Yds 8.6 Avg,jake-funk-1
Peny Boone,FR,RB,19 Att 86 Yds 4.5 Avg,peny-boone-1
Isaiah Jacobs,FR,RB,19 Att 61 Yds 3.2 Avg,isaiah-jacobs-1
Tayon Fleet-Davis,SR,RB,10 Att 26 Yds 2.6 Avg,tayon-fleet-davis-1
Challen Faamatau,JR,RB,,challen-faamatau-1
Jordan Castleberry,FR,RB,,jordan-castleberry-1
Rashard Jackson,JR,RB,,rashard-jackson-1
Jonathan Smith,FR,RB,,jonathan-smith-6
Jha'mel Thorne,SO,RB,,jhamel-thorne-1
Rakim Jarrett,FR,WR,17 Rec 252 Yds 14.8 Avg,rakim-jarrett-1
Dontay Demus,JR,WR,24 Rec 365 Yds 15.2 Avg,dontay-demus-1
Brian Cobbs,JR,WR,13 Rec 188 Yds 14.5 Avg,brian-cobbs-2
Jeshaun Jones,SO,WR,11 Rec 181 Yds 16.5 Avg,jeshaun-jones-1
Darryl Jones,JR,WR,8 Rec 81 Yds 10.1 Avg,darryl-jones-1
Nick DeGennaro,FR,WR,3 Rec 42 Yds 14.0 Avg,nick-degennaro-1
Carlos Carriere,JR,WR,2 Rec 27 Yds 13.5 Avg,carlos-carriere-1
DeaJaun McDougle,FR,WR,2 Rec 21 Yds 10.5 Avg,deajaun-mcdougle-1
Dejuan Ellis,SO,WR,1 Rec 7 Yds 7.0 Avg,dejuan-ellis-1
Daniel Anderson,SR,WR,,daniel-anderson-2
Justin Brown,JR,WR,,justin-brown-6
Corey Dyches,FR,WR,,corey-dyches-1
Jacob Hess,FR,WR,,jacob-hess-1
Sean Leonard,FR,WR,,sean-leonard-1
Dino Tomlin,FR,WR,,dino-tomlin-1
Malik Jackson,FR,TE,1 Rec 20 Yds 20.0 Avg,malik-jackson-7
Chigoziem Okonkwo,JR,TE,,chigoziem-okonkwo-1
Tyler Bayler,SO,TE,,tyler-bayler-1
Kameron Blount,FR,TE,,kameron-blount-1
Connor Fagan,FR,TE,,connor-fagan-1
Zach Roski,SR,TE,,zach-roski-1
Spencer Anderson,SO,OL,,spencer-anderson-1
Brian Armentrout,FR,OL,,brian-armentrout-1
Mitchell Balenger,SO,OL,,mitchell-balenger-1
TJ Bradley,SR,OL,,tj-bradley-1
Johari Branch,JR,OL,,johari-branch-1
Jalen Duncan,SO,OL,,jalen-duncan-1
Marcus Finger,FR,OL,,marcus-finger-1
Austin Fontaine,SO,OL,,austin-fontaine-1
Delmar Glaze,FR,OL,,delmar-glaze-1
Mitchell Gorgas,FR,OL,,mitchell-gorgas-1
Ja'Khi Green,FR,OL,,jakhi-green-1
Evan Gregory,SO,OL,,evan-gregory-1
Tyler Hamilton,SR,OL,,tyler-hamilton-2
Tyran Hunt,JR,OL,,tyran-hunt-1
Johnny Jordan,SR,OL,,johnny-jordan-1
Kristopher Love,FR,OL,,kristopher-love-1
Mason Lunsford,FR,OL,,mason-lunsford-1
Marcus Minor,JR,OL,,marcus-minor-2
Amelio Moran,SO,OL,,amelio-moran-1
Zach Perkins,FR,OL,,zach-perkins-1
Jack Wagner,SR,OL,,jack-wagner-2
Sean Wilkins,FR,OL,,sean-wilkins-1
Joseph Petrino,JR,K,,joseph-petrino-1
Hunter Patrick,FR,K,,hunter-patrick-1
Tyler Rockhill,SR,K,,tyler-rockhill-1
Hunter Simmons,FR,K,,hunter-simmons-1
Greg Torcaso,SO,K,,greg-torcaso-1
Joseph Boletepeli,SO,DL,,joseph-boletepeli-1
Anthony Booker Jr.,FR,DL,,anthony-booker-jr-1
Ami Finau,JR,DL,,ami-finau-1
Cherokee Glasgow,JR,DL,,cherokee-glasgow-1
Mosiah Nasili-Kite,SO,DL,,mosiah-nasili-kite-1
Sam Okuayinonu,SR,DL,,sam-okuayinonu-1
Lawtez Rogers,JR,DL,,lawtez-rogers-1
Greg Rose,JR,DL,,greg-rose-2
Almosse Titi,SO,DL,,almosse-titi-1
Jalen Alexander,SO,DL,,jalen-alexander-2
Ryan Brown,FR,DL,,ryan-brown-5
Isaac Bunyun,FR,DL,,isaac-bunyun-1
B'Ahmad Miller,JR,DL,,bahmad-miller-1
Olowaseun Oluwatimi,SR,DL,,olowaseun-oluwatimi-1
Jacob Purcell,SO,DL,,jacob-purcell-1
Tre Smith,FR,DL,,tre-smith-2
Riyad Wilmont,FR,DL,,riyad-wilmont-1
Cortez Andrews,SO,LB,,cortez-andrews-1
David Brownlee,JR,LB,,david-brownlee-1
Chance Campbell,JR,LB,,chance-campbell-1
Ayinde Eley,JR,LB,,ayinde-eley-1
Fa'Najae Gotay,SO,LB,,fanajae-gotay-1
Deshawn Holt,FR,LB,,deshawn-holt-1
Ruban Hyppolite II,FR,LB,,ruban-hyppolite-ii-1
Ahmad Mccullough,SO,LB,,ahmad-mccullough-1
Durell Nchami,SO,LB,,durell-nchami-1
Kobi Thomas,SO,LB,,kobi-thomas-1
Shazali Audu,FR,LB,,shazali-audu-1
Frankie Burgess,FR,LB,,frankie-burgess-1
