Player,Class,Pos,Summary,Player-additional
Peyton Ramsey,SR,QB,172 Cmp 282 Att 1733 Yds 12 TD,peyton-ramsey-1
Andrew Marty,JR,QB,,andrew-marty-1
TJ Green,SR,QB,,tj-green-2
Hunter Johnson,JR,QB,,hunter-johnson-2
Zac Krause,FR,QB,,zac-krause-1
Carl Richardson,FR,QB,,carl-richardson-2
Aiden Smith,SR,QB,,aiden-smith-1
Cam Porter,FR,RB,81 Att 333 Yds 4.1 Avg,cam-porter-1
Isaiah Bowser,JR,RB,78 Att 230 Yds 2.9 Avg,isaiah-bowser-1
Drake Anderson,SO,RB,62 Att 256 Yds 4.1 Avg,drake-anderson-1
Evan Hull,FR,RB,25 Att 209 Yds 8.4 Avg,evan-hull-2
Jesse Brown,SR,RB,15 Att 36 Yds 2.4 Avg,jesse-brown-3
Marcus Cisco,FR,RB,3 Att 6 Yds 2.0 Avg,marcus-cisco-1
Raymond Niro III,SO,RB,2 Rec 17 Yds 8.5 Avg,raymond-niro-iii-1
Connor Newhouse,FR,RB,,connor-newhouse-1
Jake Arthurs,FR,RB,,jake-arthurs-1
Riley Lees,SR,WR,20 Rec 214 Yds 10.7 Avg,riley-lees-1
Kyric McGowan,SR,WR,34 Rec 366 Yds 10.8 Avg,kyric-mcgowan-1
Ramaud Chiaokhiao-Bowman,SR,WR,41 Rec 508 Yds 12.4 Avg,ramaud-chiaokhiao-bowman-1
Malik Washington,SO,WR,5 Rec 51 Yds 10.2 Avg,malik-washington-1
Bryce Kirtz,FR,WR,6 Rec 67 Yds 11.2 Avg,bryce-kirtz-1
Wayne Dennis Jr.,FR,WR,2 Rec 26 Yds 13.0 Avg,wayne-dennis-jr-1
Berkeley Holman,JR,WR,2 Rec 27 Yds 13.5 Avg,berkeley-holman-1
Jack Kennedy,FR,WR,,jack-kennedy-2
Preston Bacon,FR,WR,,preston-bacon-1
Braeden Heald,SO,WR,,braeden-heald-1
Genson Hooper Price,FR,WR,,genson-hooper-price-1
Jace James,JR,WR,,jace-james-1
JJ Jefferson,JR,WR,,jj-jefferson-1
Will Lansbury,JR,WR,,will-lansbury-1
Jack Moses,FR,WR,,jack-moses-1
John Raine,SR,TE,24 Rec 233 Yds 9.7 Avg,john-raine-1
Charlie Mangieri,JR,TE,7 Rec 53 Yds 7.6 Avg,charlie-mangieri-1
Thomas Gordon,FR,TE,,thomas-gordon-3
Marshall Lang,FR,TE,,marshall-lang-2
Alex Oelsner,JR,TE,,alex-oelsner-1
Trey Pugh,JR,TE,,trey-pugh-1
Hunter Welcing,FR,TE,,hunter-welcing-1
Jason Whittaker,SO,TE,,jason-whittaker-1
Dom D'Antonio,FR,OL,,dom-dantonio-1
Connor Foster,FR,OL,,connor-foster-1
Zachary Franks,FR,OL,,zachary-franks-1
Samuel Gerak,JR,OL,,samuel-gerak-1
Payne He'Bert,SO,OL,,payne-hebert-1
Josh Priebe,FR,OL,,josh-priebe-1
Conrad Rowley,SO,OL,,conrad-rowley-1
Charlie Schmidt,SO,OL,,charlie-schmidt-1
Maxwell Skidmore,FR,OL,,maxwell-skidmore-1
Peter Skoronski,FR,OL,,peter-skoronski-1
Rashawn Slater,SR,OL,,rashawn-slater-1
Sam Stovall,SO,OL,,sam-stovall-1
Nik Urban,SR,OL,,nik-urban-1
Gunnar Vogel,SR,OL,,gunnar-vogel-1
Ethan Wiederkehr,JR,OL,,ethan-wiederkehr-1
Ben Wrather,FR,OL,,ben-wrather-1
Trey Finison,SO,K,,trey-finison-1
Charlie Kuhbander,SR,K,,charlie-kuhbander-1
Adetomiwa Adebawore,SO,DL,,adetomiwa-adebawore-1
Wyatt Blake,SO,DL,,wyatt-blake-1
Andrew Leota,SO,DL,,andrew-leota-1
Sean McLaughlin,FR,DL,,sean-mclaughlin-1
Devin O'Rourke,SO,DL,,devin-orourke-1
PJ Spencer,FR,DL,,pj-spencer-1
Joe Spivak,SR,DL,,joe-spivak-1
Willy Boatman,SO,DL,,willy-boatman-1
Sam Miller,SR,DL,,sam-miller-6
Duke Olges,FR,DL,,duke-olges-1
Luka Trifunovic,FR,DL,,luka-trifunovic-1
Chris Bergin,SR,LB,,chris-bergin-1
Paddy Fisher,SR,LB,,paddy-fisher-1
Blake Gallagher,SR,LB,,blake-gallagher-1
Bryce Gallagher,FR,LB,,bryce-gallagher-1
Troy Hudetz,SR,LB,,troy-hudetz-1
