Player,Class,Pos,Summary,Player-additional
Ian Book,SR,QB,228 Cmp 353 Att 2830 Yds 15 TD,ian-book-1
Brendon Clark,SO,QB,1 Cmp 3 Att 7 Yds 0 TD,brendon-clark-1
Drew Pyne,FR,QB,2 Cmp 3 Att 12 Yds 0 TD,drew-pyne-1
Cole Capen,JR,QB,,cole-capen-1
J.D. Carney,SR,QB,,jd-carney-1
Chase Ketterer,FR,QB,,chase-ketterer-1
Kyren Williams,SO,RB,211 Att 1125 Yds 5.3 Avg,kyren-williams-1
Chris Tyree,FR,RB,73 Att 496 Yds 6.8 Avg,chris-tyree-1
C'Bo Flemister,JR,RB,58 Att 299 Yds 5.2 Avg,cbo-flemister-1
Jahmir Smith,JR,RB,5 Att 15 Yds 3.0 Avg,jahmir-smith-1
Cameron Ekanayake,SR,RB,3 Att 1 Yds 0.3 Avg,cameron-ekanayake-1
Kendall Abdur-Rahman,SO,RB,,kendall-abdur-rahman-1
Mick Assaf,SR,RB,,mick-assaf-1
Jafar Armstrong,SR,WR,3 Rec 38 Yds 12.7 Avg,jafar-armstrong-1
Avery Davis,SR,WR,24 Rec 322 Yds 13.4 Avg,avery-davis-1
Braden Lenzy,JR,WR,7 Rec 63 Yds 9.0 Avg,braden-lenzy-1
Ben Skowronek,SR,WR,29 Rec 439 Yds 15.1 Avg,ben-skowronek-1
Javon McKinley,SR,WR,42 Rec 717 Yds 17.1 Avg,javon-mckinley-1
Joe Wilkins,JR,WR,7 Rec 63 Yds 9.0 Avg,joe-wilkins-3
Lawrence Keys III,JR,WR,5 Rec 51 Yds 10.2 Avg,lawrence-keys-lll-1
Kevin Austin,JR,WR,1 Rec 18 Yds 18.0 Avg,kevin-austin-2
Matt Salerno,JR,WR,,matt-salerno-1
Leo Albano,JR,WR,,leo-albano-1
Jay Brunelle,FR,WR,,jay-brunelle-1
Henry Cook,FR,WR,,henry-cook-3
Griffin Eifert,FR,WR,,griffin-eifert-1
Jordan Johnson,FR,WR,,jordan-johnson-9
Micah Jones,JR,WR,,micah-jones-2
Greg Mailey,JR,WR,,greg-mailey-1
Conor Ratigan,SO,WR,,conor-ratigan-1
Xavier Watts,FR,WR,,xavier-watts-1
Tommy Tremble,JR,TE,19 Rec 218 Yds 11.5 Avg,tommy-tremble-1
Michael Mayer,FR,TE,42 Rec 450 Yds 10.7 Avg,michael-mayer-1
George Takacs,JR,TE,3 Rec 30 Yds 10.0 Avg,george-takacs-1
Brock Wright,SR,TE,3 Rec 21 Yds 7.0 Avg,brock-wright-1
Kevin Bauman,FR,TE,1 Rec 5 Yds 5.0 Avg,kevin-bauman-1
Jack Henige,SR,TE,,jack-henige-1
Xavier Lezynski,SR,TE,,xavier-lezynski-1
Charlie Selna,FR,TE,,charlie-selna-1
Tosh Baker,FR,OL,,tosh-baker-1
Aaron Banks,SR,OL,,aaron-banks-4
Michael Carmody,FR,OL,,michael-carmody-1
Quinn Carroll,SO,OL,,quinn-carroll-1
Zeke Correll,SO,OL,,zeke-correll-1
John Dirksen,JR,OL,,john-dirksen-1
Liam Eichenberg,SR,OL,,liam-eichenberg-1
Dillan Gibbons,SR,OL,,dillan-gibbons-1
Colin Grunhard,SR,OL,,colin-grunhard-1
Robert Hainsey,SR,OL,,robert-hainsey-1
Tommy Kraemer,SR,OL,,tommy-kraemer-1
Tommy Kraemer,SR,OL,,tommy-kraemer-1
Andrew Kristofic,SO,OL,,andrew-kristofic-1
Josh Lugg,SR,OL,,josh-lugg-1
Cole Mabry,JR,OL,,cole-mabry-1
Quinn Murphy,SO,OL,,quinn-murphy-1
John Olmstead,SO,OL,,john-olmstead-1
Jarrett Patterson,JR,OL,,jarrett-patterson-1
Max Siegel,JR,OL,,max-siegel-1
Hunter Spears,SO,OL,,hunter-spears-1
Brennan Wicks,FR,OL,,brennan-wicks-1
Jayson Ademilola,JR,DL,,jayson-ademilola-1
Justin Ademilola,JR,DL,,justin-ademilola-1
Jordan Botelho,FR,DL,,jordan-botelho-1
Howard Cross III,SO,DL,,howard-cross-iii-1
