Player,Class,Pos,Summary,Player-additional
Kurtis Rourke,FR,QB,30 Cmp 44 Att 386 Yds 3 TD,kurtis-rourke-1
Armani Rogers,SR,QB,5 Cmp 9 Att 48 Yds 1 TD,armani-rogers-1
CJ Harris,FR,QB,1 Cmp 1 Att 4 Yds 0 TD,cj-harris-2
Naylan Yates,SO,QB,,naylan-yates-1
De'Montre Tuggle,SR,RB,53 Att 403 Yds 7.6 Avg,demontre-tuggle-1
O'Shaan Allison,SO,RB,16 Att 57 Yds 3.6 Avg,oshaan-allison-1
Jonathan Barna,JR,RB,8 Att 11 Yds 1.4 Avg,jonathan-barna-1
Julian Ross,JR,RB,2 Att 2 Yds 1.0 Avg,julian-ross-1
Jake Neatherton,JR,RB,,jake-neatherton-1
Ja'Vhari Portis,SR,RB,,javhari-portis-1
Walter Wilbon III,FR,RB,,walter-wilbon-iii-1
Isiah Cox,JR,WR,7 Rec 142 Yds 20.3 Avg,isiah-cox-1
Cameron Odom,SR,WR,2 Rec 35 Yds 17.5 Avg,cameron-odom-1
Shane Hooks,SO,WR,8 Rec 120 Yds 15.0 Avg,shane-hooks-1
Tyler Walton,SO,WR,3 Rec 7 Yds 2.3 Avg,tyler-walton-1
Jerome Buckner,SO,WR,2 Rec 12 Yds 6.0 Avg,jerome-buckner-1
Tanner Allton,SO,WR,1 Rec 4 Yds 4.0 Avg,tanner-allton-1
Shane Bonner,FR,WR,,shane-bonner-1
Chase Cokley,SR,WR,,chase-cokley-1
Phillip Cole,FR,WR,,phillip-cole-1
Nigel Drummond II,FR,WR,,nigel-drummond-ii-1
Darfnell Gouin,SO,WR,,darfnell-gouin-1
Drew Keszei,JR,WR,,drew-keszei-1
Bingo Long,SR,WR,,bingo-long-1
K.J. Minter,JR,WR,,kj-minter-1
Wade Sheets,FR,WR,,wade-sheets-1
Keeshawn Tyson,FR,WR,,keeshawn-tyson-1
Marlin Washington,JR,WR,,marlin-washington-1
Anthony Whitney,SO,WR,,anthony-whitney-1
Keegan Wilburn,FR,WR,,keegan-wilburn-1
Ryan Luehrman,SR,TE,7 Rec 50 Yds 7.1 Avg,ryan-luehrman-1
Adam Luehrman,SR,TE,2 Rec 44 Yds 22.0 Avg,adam-luehrman-1
Alec Burton,SO,TE,1 Rec 5 Yds 5.0 Avg,alec-burton-1
Casey Clanton,FR,TE,,casey-clanton-1
Chandler Dietz,JR,TE,,chandler-dietz-1
Tyler Foster,FR,TE,,tyler-foster-1
Joe Oakes,FR,OL,,joe-oakes-1
Jay Amburgey,FR,OL,,jay-amburgey-1
Thomas Aronokhale,FR,OL,,thomas-aronokhale-1
Demond Arter,FR,OL,,demond-arter-1
Christophe Atkinson,FR,OL,,christophe-atkinson-1
Drayton Bohnstadt,FR,OL,,drayton-bohnstadt-1
Kurt Danneker,SO,OL,,kurt-danneker-1
Joseph Habinowski,FR,OL,,joseph-habinowski-1
Gary Hoover,SR,OL,,gary-hoover-1
Cole Irland,JR,OL,,cole-irland-1
Samson Jackson,JR,OL,,samson-jackson-1
Brett Kittrell,SR,OL,,brett-kittrell-1
Aidan MacDonald,FR,OL,,aidan-macdonald-1
Bryce McNair,FR,OL,,bryce-mcnair-1
Hagan Meservy,SR,OL,,hagan-meservy-1
Bryce Ramer,SO,OL,,bryce-ramer-1
Shedrick Rhodes Jr.,FR,OL,,shedrick-rhodes-jr-1
Brody Rodgers,JR,OL,,brody-rodgers-1
Nick Sink,SR,OL,,nick-sink-2
Parker Titsworth,FR,OL,,parker-titsworth-1
Luke Vannest,FR,OL,,luke-vannest-1
Wyatt Walton,FR,OL,,wyatt-walton-1
Bryce Dugan,SO,DL,,bryce-dugan-1
Denzel Daxon,JR,DL,,denzel-daxon-1
Joey Woolard,FR,DL,,joey-woolard-1
Cannon Blauser,FR,LB,,cannon-blauser-1
Jared Dorsa,SR,LB,,jared-dorsa-1
Bryce Houston,SO,LB,,bryce-houston-1
Ben Johnson,FR,LB,,ben-johnson-4
Kyle Kelly,FR,LB,,kyle-kelly-2
Jack McCrory,SO,LB,,jack-mccrory-1
Keye Thompson,SO,LB,,keye-thompson-1
Jeremiah Wood,SO,LB,,jeremiah-wood-1
Caden Campolieti,FR,LB,,caden-campolieti-1
Dylan Connor,SR,LB,,dylan-connor-1
Cam Dorsey,FR,LB,,cam-dorsey-1
Bryce Kitrel,FR,LB,,bryce-kitrel-1
James Leyden,JR,LB,,james-leyden-1
T.J. Robinson,JR,LB,,tj-robinson-1
Luke Sheridan,JR,LB,,luke-sheridan-1
Jayden Spires,FR,LB,,jayden-spires-1
Dylan Stevens,FR,LB,,dylan-stevens-1
Jack Wilson,FR,P,,jack-wilson-4
Michael Ballentine,JR,S,,michael-ballentine-1
Justin Birchette,SO,CB,,justin-birchette-1
Zach Burks,SR,DT,,zach-burks-1
Jeremiah Burton,FR,DT,,jeremiah-burton-2
Jamison Collier,SO,S,,jamison-collier-1
Austin Conrad,SR,DE,,austin-conrad-1
Griffin Davies,FR,DE,,griffin-davies-1
Tariq Drake,JR,S,,tariq-drake-1
Jett Elad,FR,S,,jett-elad-1
Will Evans,SR,DE,,will-evans-2
Alvin Floyd,JR,S,,alvin-floyd-1
Jonah Fortkamp,FR,PK,,jonah-fortkamp-1
John Gregory,SO,CB,,john-gregory-2
Jarren Hampton,SR,S,,jarren-hampton-1
Jamal Hudson,JR,CB,,jamal-hudson-1
Aiden Malenchek,FR,DT,,aiden-malenchek-1
Rodney Mathews,SO,DT,,rodney-mathews-2
Kaylen McCracken,SO,DT,,kaylen-mccracken-1
Ilyaas Motley,SR,CB,,ilyaas-motley-1
Xavior Motley,SR,CB,,xavior-motley-1
Nife Oseni,FR,S,,nife-oseni-1
Roman Parodie,FR,CB,,roman-parodie-1
Bryce Stai,SO,DE,,bryce-stai-1
Tristian Vandenberg,FR,PK,,tristian-vandenberg-1
Juan Watkins,SO,DE,,juan-watkins-1
Alex Wolff,SR,S,,alex-wolff-1
Cleotis Anglin,FR,DE,,cleotis-anglin-1
Marlin Brooks,SR,CB,,marlin-brooks-1
Kaieem Caesar,JR,DT,,kaieem-caesar-1
Marcus Coleman,JR,DT,,marcus-coleman-5
Markel Davis,SR,CB,,markel-davis-1
Keniuel Gates,FR,CB,,keniuel-gates-1
Isaac Gill,SO,S,,isaac-gill-1
Justin Holloway,SO,LS,,justin-holloway-1
Pierre Kemeni,FR,CB,,pierre-kemeni-1
Dane Middlebrook,FR,DT,,dane-middlebrook-1
Amos Ogun-Semore,JR,DE,,amos-ogun-semore-1
Michael Taylor,JR,DE,,michael-taylor-9
Sam Volpe,FR,LS,,sam-volpe-1
