Player,Class,Pos,Summary,Player-additional
Matt Corral,SO,QB,231 Cmp 326 Att 3337 Yds 29 TD,matt-corral-1
John Rhys Plumlee,SO,QB,5 Cmp 7 Att 65 Yds 1 TD,john-rhys-plumlee-1
Kinkead Dent,FR,QB,,kinkead-dent-1
Kade Renfro,FR,QB,,kade-renfro-1
Grant Tisdale,FR,QB,,grant-tisdale-1
Jerrion Ealy,SO,RB,147 Att 745 Yds 5.1 Avg,jerrion-ealy-1
Snoop Conner,SO,RB,93 Att 421 Yds 4.5 Avg,snoop-conner-1
Henry Parrish Jr.,FR,RB,56 Att 263 Yds 4.7 Avg,henry-parrish-jr-1
Kentrel Bullock,FR,RB,2 Att 11 Yds 5.5 Avg,kentrel-bullock-1
Isaiah Woullard,JR,RB,,isaiah-woullard-1
Campbell Klein,FR,RB,,campbell-klein-1
Zavier Miller,FR,RB,,zavier-miller-1
Mark Robinson,SR,RB,,mark-robinson-4
Urriah Shephard,JR,RB,,urriah-shephard-1
Dallas Smith,FR,RB,,dallas-smith-1
Elijah Moore,JR,WR,86 Rec 1193 Yds 13.9 Avg,elijah-moore-1
Dontario Drummond,SR,WR,25 Rec 417 Yds 16.7 Avg,dontario-drummond-1
Dannis Jackson,SO,WR,,dannis-jackson-1
Jonathan Mingo,SO,WR,27 Rec 379 Yds 14.0 Avg,jonathan-mingo-1
Braylon Sanders,SR,WR,15 Rec 376 Yds 25.1 Avg,braylon-sanders-1
Jadon Jackson,SO,WR,5 Rec 42 Yds 8.4 Avg,jadon-jackson-1
Drake Beck,JR,WR,,drake-beck-1
Jacob Carter,JR,WR,,jacob-carter-2
Jared Farlow,SR,WR,,jared-farlow-1
Demarcus Gregory,SO,WR,,demarcus-gregory-1
Jordan Jernigan,FR,WR,,jordan-jernigan-1
Brice Johnson,FR,WR,,brice-johnson-1
Josh Ricketts,SR,WR,,josh-ricketts-1
Sellers Shy,FR,WR,,sellers-shy-1
Nevin Wells,SO,WR,,nevin-wells-1
Jack White,FR,WR,,jack-white-4
Kenny Yeboah,SR,TE,27 Rec 524 Yds 19.4 Avg,kenny-yeboah-1
Casey Kelly,FR,TE,8 Rec 115 Yds 14.4 Avg,casey-kelly-2
Chase Rogers,JR,TE,3 Rec 18 Yds 6.0 Avg,chase-rogers-1
Alex Faniel,JR,TE,,alex-faniel-1
Jonathan Hess,SO,TE,,jonathan-hess-1
Sam Murphey,SO,TE,,sam-murphey-1
D'Vaughn Pennamon,SR,TE,,dvaughn-pennamon-1
Owen Stayer,FR,TE,,owen-stayer-1
Damarcus Thomas,FR,TE,,damarcus-thomas-2
Hamilton Hall,SO,OL,,hamilton-hall-1
Royce Newman,SR,OL,,royce-newman-1
Eli Acker,FR,OL,,eli-acker-1
Tobias Braun,FR,OL,,tobias-braun-1
Nick Broeker,SO,OL,,nick-broeker-1
Ben Brown,JR,OL,,ben-brown-3
Carter Colquitt,FR,OL,,carter-colquitt-1
Peyton Cox,JR,OL,,peyton-cox-1
Jalen Cunningham,SO,OL,,jalen-cunningham-1
Jeremy James,FR,OL,,jeremy-james-1
Reece McIntyre,FR,OL,,reece-mcintyre-1
Cedric Melton,FR,OL,,cedric-melton-1
Samuel Plash,JR,OL,,samuel-plash-1
Bryce Ramsey,FR,OL,,bryce-ramsey-1
Luke Shouse,FR,OL,,luke-shouse-1
Darius Thomas,FR,OL,,darius-thomas-1
Chandler Tuitt,SR,OL,,chandler-tuitt-1
Caleb Warren,FR,OL,,caleb-warren-2
Luke Logan,SR,K,,luke-logan-1
Casey Griffith,JR,K,,casey-griffith-1
Land Gebhart,FR,K,,land-gebhart-1
Cale Nation,FR,K,,cale-nation-1
Ryder Anderson,SR,DL,,ryder-anderson-1
Quentin Bivens,SO,DL,,quentin-bivens-1
LeDarrius Cox,FR,DL,,ledarrius-cox-1
Desanto Rollins,FR,DL,,desanto-rollins-1
Tarigious Tisdale,SR,DL,,tarigious-tisdale-1
Nick Haynes,SR,DL,,nick-haynes-2
Amani Johnson,JR,DL,,amani-johnson-1
Mohamed Sanogo,JR,LB,,mohamed-sanogo-1
Zikerrion Baker,JR,LB,,zikerrion-baker-1
Ashanti Cistrunk,SO,LB,,ashanti-cistrunk-1
Demon Clowney,FR,LB,,demon-clowney-1
Daylen Gill,JR,LB,,daylen-gill-1
Lakia Henry,SR,LB,,lakia-henry-1
Cedric Johnson,FR,LB,,cedric-johnson-4
Jacquez Jones,JR,LB,,jacquez-jones-2
Luke Knox,SO,LB,,luke-knox-1
Brandon Mack,FR,LB,,brandon-mack-3
Tavius Robinson,JR,LB,,tavius-robinson-1
Sam Williams,SR,LB,,sam-williams-8
Jakivuan Brown,FR,LB,,jakivuan-brown-1
Carter Craig,FR,LB,,carter-craig-1
Donta Evans,SR,LB,,donta-evans-1
Andrew Griffith,SO,LB,,andrew-griffith-1
Eric Jeffries,FR,LB,,eric-jeffries-2
Austin Keys,FR,LB,,austin-keys-1
Brandon Pierre,JR,LB,,brandon-pierre-1
Payton Rogers,JR,LB,,payton-rogers-1
Tylan Knight,JR,DB,,tylan-knight-1
Miles Battle,SO,DB,,miles-battle-1
Lakevias Daniel,JR,DB,,lakevias-daniel-1
Jalen Denton,FR,DB,,jalen-denton-1
A.J. Finley,SO,DB,,aj-finley-1
Jakorey Hawkins,SO,DB,,jakorey-hawkins-1
Jon Haynes,SR,DB,,jon-haynes-1
Jaylon Jones,SR,DB,,jaylon-jones-1
Jalen Jordan,SO,DB,,jalen-jordan-2
Deane Leonard,SR,DB,,deane-leonard-1
Otis Reese,JR,DB,,otis-reese-1
Jamar Richardson,JR,DB,,jamar-richardson-1
Keidron Smith,JR,DB,,keidron-smith-1
Jay Stanley,SO,DB,,jay-stanley-1
Jakwaize Walker,JR,DB,,jakwaize-walker-1
David Beckum,FR,DB,,david-beckum-1
Derek Bermudez,FR,DB,,derek-bermudez-1
Brooks Brock,FR,DB,,brooks-brock-1
Seth Hunter,FR,DB,,seth-hunter-1
Daniel Newman,FR,DB,,daniel-newman-1
Mario Padilla,FR,DB,,mario-padilla-1
Ty Rocconi,JR,DB,,ty-rocconi-1
Jake Springer,SR,DB,,jake-springer-2
Tavario Standifer,FR,DB,,tavario-standifer-1
CJ Terrell,JR,DB,,cj-terrell-1
Mac Brown,SR,P,,mac-brown-1
Walker Thompson,FR,P,,walker-thompson-1
Sincere David,JR,DT,,sincere-david-1
KD Hill,SO,DT,,kd-hill-1
Patrick Lucas Jr.,FR,DT,,patrick-lucas-jr-1
Hal Northern,SR,DT,,hal-northern-1
John Bergeron,FR,LS,,john-bergeron-1
Marc Britt,FR,UT,,marc-britt-1
Clayton Ladd,SO,DE,,clayton-ladd-1
Jared Lawrence,FR,LS,,jared-lawrence-1
Jack Propst,SR,LS,,jack-propst-1
