Player,Class,Pos,Summary,Player-additional
Sean Clifford,JR,QB,152 Cmp 251 Att 1883 Yds 16 TD,sean-clifford-1
Will Levis,SO,QB,33 Cmp 55 Att 421 Yds 1 TD,will-levis-1
Micah Bowens,FR,QB,,micah-bowens-1
Ta'Quan Roberson,FR,QB,,taquan-roberson-1
Mason Stahl,FR,QB,,mason-stahl-1
Keyvone Lee,FR,RB,89 Att 438 Yds 4.9 Avg,keyvone-lee-1
Devyn Ford,SO,RB,67 Att 274 Yds 4.1 Avg,devyn-ford-1
Caziah Holmes,FR,RB,51 Att 227 Yds 4.5 Avg,caziah-holmes-1
Joseph Bruno,FR,RB,3 Att 35 Yds 11.7 Avg,joseph-bruno-1
Noah Cain,SO,RB,3 Att 13 Yds 4.3 Avg,noah-cain-1
Tank Smith,FR,RB,1 Att 7 Yds 7.0 Avg,tank-smith-1
Journey Brown,JR,RB,,journey-brown-1
Jahan Dotson,JR,WR,52 Rec 884 Yds 17.0 Avg,jahan-dotson-1
Parker Washington,FR,WR,36 Rec 489 Yds 13.6 Avg,parker-washington-1
Keandre Lambert-Smith,FR,WR,15 Rec 138 Yds 9.2 Avg,keandre-lambert-smith-1
Daniel George,SO,WR,7 Rec 73 Yds 10.4 Avg,daniel-george-1
Isaac Lutz,SR,WR,5 Rec 49 Yds 9.8 Avg,isaac-lutz-1
Cam Sullivan-Brown,JR,WR,1 Rec 14 Yds 14.0 Avg,cam-sullivan-brown-1
Alec Berger,SO,WR,,alec-berger-1
Norval Black,JR,WR,,norval-black-1
Johnny Crise,FR,WR,,johnny-crise-1
Jaden Dottin,FR,WR,,jaden-dottin-1
John Dunmore,FR,WR,,john-dunmore-2
Henry Fessler,SO,WR,,henry-fessler-1
TJ Jones,FR,WR,,tj-jones-7
Malick Meiga,FR,WR,,malick-meiga-1
Cameron Pica,JR,WR,,cameron-pica-1
Justin Weller,JR,WR,,justin-weller-1
Benjamin Wilson,SR,WR,,benjamin-wilson-1
Pat Freiermuth,JR,TE,23 Rec 310 Yds 13.5 Avg,pat-freiermuth-1
Brenton Strange,FR,TE,17 Rec 164 Yds 9.6 Avg,brenton-strange-1
Theo Johnson,FR,TE,4 Rec 56 Yds 14.0 Avg,theo-johnson-1
Trevor Baker,JR,TE,,trevor-baker-2
Tommy Friberg,FR,TE,,tommy-friberg-1
Grayson Kline,SO,TE,,grayson-kline-1
Zack Kuntz,SO,TE,,zack-kuntz-1
Tyler Warren,FR,TE,,tyler-warren-1
Bryce Effner,SO,OL,,bryce-effner-1
Will Fries,SR,OL,,will-fries-1
Mike Miranda,JR,OL,,mike-miranda-1
Rasheed Walker,SO,OL,,rasheed-walker-1
Jimmy Christ,FR,OL,,jimmy-christ-2
Nick Dawkins,FR,OL,,nick-dawkins-1
Collin DeBoef,SO,OL,,collin-deboef-1
Olu Fashanu,FR,OL,,olu-fashanu-1
George French,FR,OL,,george-french-1
Des Holmes,JR,OL,,des-holmes-1
Golden Israel-Achumba,FR,OL,,golden-israel-achumba-1
Will Knutsson,SO,OL,,will-knutsson-1
Kaleb Konigus,SO,OL,,kaleb-konigus-1
Justin Kopko,FR,OL,,justin-kopko-1
Michal Menet,SR,OL,,michal-menet-1
Juice Scruggs,SO,OL,,juice-scruggs-1
C.J. Thorpe,JR,OL,,cj-thorpe-1
Ibrahim Traore,FR,OL,,ibrahim-traore-1
Caedan Wallace,FR,OL,,caedan-wallace-1
Anthony Whigan,JR,OL,,anthony-whigan-1
Sal Wormley,FR,OL,,sal-wormley-1
Blake Zalar,FR,OL,,blake-zalar-1
Jake Pinegar,JR,K,,jake-pinegar-1
Rafael Checa,SO,K,,rafael-checa-1
Anthony DeSilva,FR,K,,anthony-desilva-1
Vlad Hilling,SO,K,,vlad-hilling-1
Dan Vasey,JR,DL,,dan-vasey-1
Ellis Brooks,JR,LB,,ellis-brooks-1
Lance Dixon,FR,LB,,lance-dixon-1
Robbie Dwyer,FR,LB,,robbie-dwyer-1
Tyler Elsdon,FR,LB,,tyler-elsdon-1
Curtis Jacobs,FR,LB,,curtis-jacobs-1
Charlie Katshir,SO,LB,,charlie-katshir-1
Jesse Luketa,JR,LB,,jesse-luketa-1
Brandon Smith,SO,LB,,brandon-smith-12
Max Chizmar,JR,LB,,max-chizmar-1
Zuriah Fisher,FR,LB,,zuriah-fisher-1
Alex Furmanek,FR,LB,,alex-furmanek-1
Micah Parsons,JR,LB,,micah-parsons-1
Levi Forrest,FR,P,,levi-forrest-1
Bradley King,JR,P,,bradley-king-1
Hakeem Beamon,FR,DT,,hakeem-beamon-1
Jaquan Brisker,SR,S,,jaquan-brisker-1
Ji'ayir Brown,JR,S,,jiayir-brown-1
Tariq Castro-Fields,SR,CB,,tariq-castro-fields-1
Sebastain Costantini,FR,CB,,sebastain-costantini-1
Judge Culpepper,SO,DT,,judge-culpepper-1
