Player,Class,Pos,Summary,Player-additional
Carson Baker,SO,QB,59 Cmp 105 Att 617 Yds 3 TD,carson-baker-2
Jordon Brookshire,JR,QB,42 Cmp 74 Att 410 Yds 2 TD,jordon-brookshire-1
Lucas Johnson,JR,QB,14 Cmp 24 Att 184 Yds 1 TD,lucas-johnson-2
Marshall Eucker,FR,QB,,marshall-eucker-1
Baylor Horning,FR,QB,,baylor-horning-1
Mark Salazar,JR,QB,,mark-salazar-1
Greg Bell,SR,RB,113 Att 637 Yds 5.6 Avg,greg-bell-5
Chance Bell,JR,RB,56 Att 273 Yds 4.9 Avg,chance-bell-1
Kaegun Williams,JR,RB,54 Att 257 Yds 4.8 Avg,kaegun-williams-1
Jordan Byrd,JR,RB,35 Att 225 Yds 6.4 Avg,jordan-byrd-1
Chase Jasmin,SR,RB,5 Att 26 Yds 5.2 Avg,chase-jasmin-1
Jaylon Armstead,FR,RB,1 Att 5 Yds 5.0 Avg,jaylon-armstead-1
Leka Lotulelei,JR,RB,1 Att 6 Yds 6.0 Avg,leka-lotulelei-1
Lucky Avinger,JR,RB,,lucky-avinger-1
Zidane Thomas,SO,RB,,zidane-thomas-1
Jesse Matthews,SO,WR,24 Rec 326 Yds 13.6 Avg,jesse-matthews-1
BJ Busbee,JR,WR,7 Rec 49 Yds 7.0 Avg,bj-busbee-1
Ethan Dedeaux,JR,WR,5 Rec 36 Yds 7.2 Avg,ethan-dedeaux-1
Kobe Smith,JR,WR,13 Rec 122 Yds 9.4 Avg,kobe-smith-2
Elijah Kothe,JR,WR,7 Rec 111 Yds 15.9 Avg,elijah-kothe-1
Isaiah Richardson,JR,WR,4 Rec 43 Yds 10.8 Avg,isaiah-richardson-2
TJ Sullivan,SO,WR,4 Rec 56 Yds 14.0 Avg,tj-sullivan-1
Dominic Benson,SR,WR,3 Rec 37 Yds 12.3 Avg,dominic-benson-1
Darius De Los Reyes,FR,WR,,darius-de-los-reyes-1
Koby Duru,JR,WR,,koby-duru-1
Ronald Gilliam,FR,WR,,ronald-gilliam-1
Brionne Penny,FR,WR,,brionne-penny-1
Daniel Bellinger,JR,TE,21 Rec 203 Yds 9.7 Avg,daniel-bellinger-1
Nolan Givan,SR,TE,3 Rec 34 Yds 11.3 Avg,nolan-givan-1
Andrew Alves,SO,TE,,andrew-alves-1
Kyler Albanez,JR,TE,,kyler-albanez-1
Aaron Green,FR,TE,,aaron-green-3
Connor McBride,JR,TE,,connor-mcbride-1
Rory Morgan,FR,TE,,rory-morgan-1
Charlie Rogers,FR,TE,,charlie-rogers-3
Jay Rudolph,FR,TE,,jay-rudolph-1
Alex Wilson,JR,TE,,alex-wilson-1
Desmond Bessent,JR,OL,,desmond-bessent-1
Jalen Booth,JR,OL,,jalen-booth-1
Jacob Capra,SR,OL,,jacob-capra-1
Joey Capra,FR,OL,,joey-capra-1
Brandon Crenshaw-Dickson,FR,OL,,brandon-crenshaw-dickson-1
William Dunkle,SO,OL,,william-dunkle-1
Aiden Finney,FR,OL,,aiden-finney-1
Dominic Gudino,SR,OL,,dominic-gudino-1
Jonathan Harrison,FR,OL,,jonathan-harrison-1
Nolan Hegeduis,FR,OL,,nolan-hegeduis-1
Sebastian Hernandez,JR,OL,,sebastian-hernandez-1
Chris Martinez,JR,OL,,chris-martinez-1
Tommy Mirabella,FR,OL,,tommy-mirabella-1
Kyle Spalding,SR,OL,,kyle-spalding-1
Zachary Thomas,SR,OL,,zachary-thomas-1
Kyle Trombley,FR,OL,,kyle-trombley-1
Alama Uluave,JR,OL,,alama-uluave-1
Joey Wright,FR,OL,,joey-wright-1
Justin Yi,SO,OL,,justin-yi-1
Matt Araiza,SO,K,,matt-araiza-1
David Delgado,FR,K,,david-delgado-1
Keshawn Banks,JR,DL,,keshawn-banks-1
Jalil Lecky,SR,DL,,jalil-lecky-1
Sefo Mailangi,SR,DL,,sefo-mailangi-1
Connor Mitchell,JR,DL,,connor-mitchell-1
Kahi Neves,JR,DL,,kahi-neves-1
Ubaldo Nolasco,JR,DL,,ubaldo-nolasco-1
Jonah Tavai,JR,DL,,jonah-tavai-1
Cameron Thomas,SO,DL,,cameron-thomas-2
Liam Boersma,FR,DL,,liam-boersma-1
Wyatt Draeger,FR,DL,,wyatt-draeger-1
Sam Hines,SO,DL,,sam-hines-1
Darrell Masaniai,FR,DL,,darrell-masaniai-1
Daniel Okpoko,SO,DL,,daniel-okpoko-1
Logan Schwenke,FR,DL,,logan-schwenke-1
Nassir Sims,FR,DL,,nassir-sims-1
Dylan Taylor,FR,DL,,dylan-taylor-1
Daniel To'oto'o,FR,DL,,daniel-tootoo-1
Andrew Aleki,SR,LB,,andrew-aleki-1
Garret Fountain,FR,LB,,garret-fountain-1
Seyddrick Lakalaka,JR,LB,,seyddrick-lakalaka-1
