Player,Class,Pos,Summary,Player-additional
Nick Starkel,SR,QB,163 Cmp 254 Att 2174 Yds 17 TD,nick-starkel-1
Nick Nash,SO,QB,20 Cmp 34 Att 213 Yds 2 TD,nick-nash-1
Matt Der Torossian,FR,QB,,matt-der-torossian-1
Jake Simmons,SO,QB,,jake-simmons-1
Alec Trujillo,FR,QB,,alec-trujillo-1
Natano Woods,FR,QB,,natano-woods-1
Kairee Robinson,SO,RB,82 Att 313 Yds 3.8 Avg,kairee-robinson-1
Tyler Nevens,SR,RB,66 Att 515 Yds 7.8 Avg,tyler-nevens-1
Shamar Garrett,FR,RB,4 Rec 35 Yds 8.8 Avg,shamar-garrett-1
Brendan Manigo,JR,RB,,brendan-manigo-1
Deston Hawkins,FR,RB,,deston-hawkins-1
Hunter Nye,SR,RB,,hunter-nye-1
Romero Teu,SR,RB,,romero-teu-1
Isaiah Holiness,SO,WR,10 Rec 97 Yds 9.7 Avg,isaiah-holiness-1
Isaiah Hamilton,SO,WR,13 Rec 206 Yds 15.8 Avg,isaiah-hamilton-2
Tre Walker,SR,WR,45 Rec 627 Yds 13.9 Avg,tre-walker-3
Bailey Gaither,SR,WR,41 Rec 725 Yds 17.7 Avg,bailey-gaither-1
Jermaine Braddock,SO,WR,11 Rec 109 Yds 9.9 Avg,jermaine-braddock-1
Andre Crump,SO,WR,3 Rec 18 Yds 6.0 Avg,andre-crump-1
Vincent Corso,JR,WR,,vincent-corso-1
Lamar Housley,JR,WR,,lamar-housley-1
Steven Houston,JR,WR,,steven-houston-1
Chance Lachappelle,SO,WR,,chance-lachappelle-1
Austin Liles,SR,WR,,austin-liles-1
Terence Loville,FR,WR,,terence-loville-1
Malikhi Miller,FR,WR,,malikhi-miller-1
Jamar Simpson,FR,WR,,jamar-simpson-1
Derrick Deese,SR,TE,20 Rec 240 Yds 12.0 Avg,derrick-deese-1
Dominick Mazotti,FR,TE,5 Rec 74 Yds 14.8 Avg,dominick-mazotti-1
Sam Olson,FR,TE,5 Rec 67 Yds 13.4 Avg,sam-olson-1
Billy Humphreys,SR,TE,3 Rec 26 Yds 8.7 Avg,billy-humphreys-1
Jackson Burrill,SR,TE,,jackson-burrill-1
Jackson Canaan,FR,TE,,jackson-canaan-1
Salomon Navarro,JR,TE,,salomon-navarro-1
Noah Sanchez,FR,TE,,noah-sanchez-1
Lamar Barrett,JR,OL,,lamar-barrett-1
Scott Breslin,JR,OL,,scott-breslin-1
Jesse Chamberlain,JR,OL,,jesse-chamberlain-1
Chris Galleta,JR,OL,,chris-galleta-1
Keydrell Lewis,FR,OL,,keydrell-lewis-1
Jaime Navarro,SO,OL,,jaime-navarro-1
Jelani Newman,FR,OL,,jelani-newman-1
Tyler Ostrom,SO,OL,,tyler-ostrom-1
Anthony Pardue,SO,OL,,anthony-pardue-1
Trevor Robbins,SR,OL,,trevor-robbins-1
Justin Scrempos,FR,OL,,justin-scrempos-1
Jacob Songer,SO,OL,,jacob-songer-1
John Weiss,SO,OL,,john-weiss-1
Chris Wood,JR,K,,chris-wood-6
E.J. Ane,JR,DL,,ej-ane-1
