Player,Class,Pos,Summary,Player-additional
Rex Culpepper,SR,QB,94 Cmp 190 Att 1028 Yds 9 TD,rex-culpepper-1
Tommy Devito,JR,QB,48 Cmp 96 Att 593 Yds 4 TD,tommy-devito-1
JaCobian Morgan,FR,QB,31 Cmp 49 Att 285 Yds 2 TD,jacobian-morgan-1
Dillon Markiewicz,FR,QB,0 Cmp 1 Att 0 Yds 0 TD,dillon-markiewicz-1
Drew Gunther,FR,QB,,drew-gunther-1
Luke MacPhail,FR,QB,,luke-macphail-1
David Summers,FR,QB,,david-summers-2
Sean Tucker,FR,RB,137 Att 626 Yds 4.6 Avg,sean-tucker-2
Cooper Lutz,SO,RB,43 Att 246 Yds 5.7 Avg,cooper-lutz-1
Jawhar Jordan,FR,RB,29 Att 72 Yds 2.5 Avg,jawhar-jordan-1
Markenzy Pierre,JR,RB,21 Att 48 Yds 2.3 Avg,markenzy-pierre-1
Abdul Adams,SR,RB,,abdul-adams-1
Devin Flowers,FR,RB,,devin-flowers-1
Jarveon Howard,JR,RB,,jarveon-howard-1
Garrison Johnson,FR,RB,,garrison-johnson-1
Nykeim Johnson,SR,WR,20 Rec 323 Yds 16.2 Avg,nykeim-johnson-1
Taj Harris,JR,WR,58 Rec 733 Yds 12.6 Avg,taj-harris-1
Anthony Queeley,SO,WR,37 Rec 378 Yds 10.2 Avg,anthony-queeley-1
Courtney Jackson,FR,WR,10 Rec 69 Yds 6.9 Avg,courtney-jackson-2
Sharod Johnson,JR,WR,4 Rec 41 Yds 10.3 Avg,sharod-johnson-1
Ed Hendrix,SO,WR,3 Rec 24 Yds 8.0 Avg,ed-hendrix-1
Damien Alford,FR,WR,1 Rec 3 Yds 3.0 Avg,damien-alford-1
Trebor Pena,FR,WR,1 Rec -1 Yds -1.0 Avg,trebor-pena-1
Justin Barron,FR,WR,,justin-barron-1
Isaiah Jones,SO,WR,,isaiah-jones-3
Ethan Fischler,SO,WR,,ethan-fischler-1
Cameron Jordan,JR,WR,,cameron-jordan-2
Kevin Mital,FR,WR,,kevin-mital-1
Russell Thompson-Bishop,JR,WR,,russell-thompson-bishop-1
Sam Warren,FR,WR,,sam-warren-1
Nate Wellington,FR,WR,,nate-wellington-1
Ja'Vontae Williams,FR,WR,,javontae-williams-1
Aaron Hackett,SR,TE,10 Rec 63 Yds 6.3 Avg,aaron-hackett-1
Luke Benson,SO,TE,6 Rec 63 Yds 10.5 Avg,luke-benson-1
Chris Elmore,SR,TE,1 Rec 5 Yds 5.0 Avg,chris-elmore-1
Steven Mahar Jr.,FR,TE,,steven-mahar-jr-1
Jesse Conners,SR,TE,,jesse-conners-1
Zack Lesko,SR,TE,,zack-lesko-1
Maximilian Mang,FR,TE,,maximilian-mang-1
Dakota Davis,JR,OL,,dakota-davis-1
Garth Barclay,FR,OL,,garth-barclay-1
Matthew Bergeron,SO,OL,,matthew-bergeron-2
Christopher Bleich,SO,OL,,christopher-bleich-1
Austin Chandler,JR,OL,,austin-chandler-1
Patrick Davis,SR,OL,,patrick-davis-1
Will Froumy,SO,OL,,will-froumy-1
Josh Ilaoa,FR,OL,,josh-ilaoa-1
Ryan Kisselstein,SO,OL,,ryan-kisselstein-1
Josh Kosciol,FR,OL,,josh-kosciol-1
Mark Petry,SO,OL,,mark-petry-1
Anthony Red,FR,OL,,anthony-red-3
Airon Servais,SR,OL,,airon-servais-1
Darius Tisdale,JR,OL,,darius-tisdale-1
Carlos Vettorello,SO,OL,,carlos-vettorello-1
Qadir White,SO,OL,,qadir-white-1
Josh Black,SR,DL,,josh-black-2
Kevon Darton,FR,DL,,kevon-darton-1
Curtis Harper,JR,DL,,curtis-harper-1
Kingsley Jonathan,SR,DL,,kingsley-jonathan-1
Zach Morton,JR,DL,,zach-morton-1
Caleb Okechukwu,SO,DL,,caleb-okechukwu-1
Cody Roscoe,SR,DL,,cody-roscoe-1
Drew Tuazama,FR,DL,,drew-tuazama-1
McKinley Williams,SR,DL,,mckinley-williams-1
Patrick Alberga,FR,DL,,patrick-alberga-1
Cooper Dawson,FR,DL,,cooper-dawson-1
Latarie Kinsler,FR,DL,,latarie-kinsler-1
Kevin Lemieux,FR,DL,,kevin-lemieux-1
Jason Mu\xF1oz,FR,DL,,jason-muxfoz-1
Joe Rondi,FR,DL,,joe-rondi-1
Elijah Wright,FR,DL,,elijah-wright-1
Geoff Cantin-Arku,SO,LB,,geoff-cantin-arku-1
Mikel Jones,SO,LB,,mikel-jones-1
Lee Kpogba,SO,LB,,lee-kpogba-1
Steve Linton,FR,LB,,steve-linton-1
Leon Lowery,FR,LB,,leon-lowery-1
Tyrell Richards,JR,LB,,tyrell-richards-1
Stefon Thompson,FR,LB,,stefon-thompson-1
Marlowe Wax,FR,LB,,marlowe-wax-1
Tyler Cook,FR,LB,,tyler-cook-3
Ryan Dolan,FR,LB,,ryan-dolan-1
Ishmael Goulbourne,FR,LB,,ishmael-goulbourne-1
Abrahim Kenneh,FR,LB,,abrahim-kenneh-1
Anwar Sparrow,FR,LB,,anwar-sparrow-1
Kadeem Trotter,JR,LB,,kadeem-trotter-1
Ja'Had Carter,FR,DB,,jahad-carter-1
Andre Cisco,JR,DB,,andre-cisco-1
Adrian Cole,FR,DB,,adrian-cole-1
Eric Coley,JR,DB,,eric-coley-1
Aman Greenwood,FR,DB,,aman-greenwood-1
Rob Hanna,FR,DB,,rob-hanna-1
Cam Jonas,SO,DB,,cam-jonas-1
Ben Labrosse,FR,DB,,ben-labrosse-1
Ifeatu Melifonwu,JR,DB,,ifeatu-melifonwu-1
Neil Nunn,FR,DB,,neil-nunn-1
Kevin Nusdeo,JR,DB,,kevin-nusdeo-1
Kyle Strickland,SR,DB,,kyle-strickland-1
Garrett Williams,FR,DB,,garrett-williams-2
Trill Williams,JR,DB,,trill-williams-1
Chase Atkinson,FR,DB,,chase-atkinson-1
AJ Calabro,SO,DB,,aj-calabro-1
Devon Clarke,SR,DB,,devon-clarke-1
Nate Erickson,FR,DB,,nate-erickson-1
Alan Stritzinger,SR,DB,,alan-stritzinger-1
John Sweetwood,SO,DB,,john-sweetwood-1
Jake Wright,SO,DB,,jake-wright-1
Nolan Cooney,SR,P,,nolan-cooney-1
Noah Nwosu,SO,P,,noah-nwosu-1
James Williams,FR,P,,james-williams-15
Aaron Bolinsky,JR,LS,,aaron-bolinsky-1
