Player,Class,Pos,Summary,Player-additional
Sam Ehlinger,SR,QB,194 Cmp 322 Att 2566 Yds 26 TD,sam-ehlinger-1
Casey Thompson,SO,QB,12 Cmp 17 Att 225 Yds 6 TD,casey-thompson-1
Hudson Card,FR,QB,1 Cmp 3 Att 5 Yds 0 TD,hudson-card-1
Ben Ballard,FR,QB,,ben-ballard-1
Ja'Quinden Jackson,FR,QB,,jaquinden-jackson-1
Bijan Robinson,FR,RB,86 Att 703 Yds 8.2 Avg,bijan-robinson-1
Roschon Johnson,SO,RB,80 Att 418 Yds 5.2 Avg,roschon-johnson-1
Keaontay Ingram,JR,RB,53 Att 250 Yds 4.7 Avg,keaontay-ingram-1
Gabriel Watson,SR,RB,7 Att 34 Yds 4.9 Avg,gabriel-watson-2
Jarrett Smith,SO,RB,2 Att 5 Yds 2.5 Avg,jarrett-smith-1
Skyler Bonneau,JR,RB,,skyler-bonneau-1
Derrian Brown,FR,RB,,derrian-brown-1
Jaren Watkins,JR,RB,,jaren-watkins-1
Daniel Young,SR,RB,,daniel-young-1
Joshua Moore,SO,WR,30 Rec 472 Yds 15.7 Avg,joshua-moore-2
Jordan Whittington,FR,WR,21 Rec 206 Yds 9.8 Avg,jordan-whittington-2
Jake Smith,SO,WR,23 Rec 294 Yds 12.8 Avg,jake-smith-7
Kai Money,SO,WR,10 Rec 76 Yds 7.6 Avg,kai-money-1
Brennan Eagles,JR,WR,28 Rec 469 Yds 16.8 Avg,brennan-eagles-1
Brenden Schooler,SR,WR,12 Rec 140 Yds 11.7 Avg,brenden-schooler-1
Tarik Black,SR,WR,10 Rec 240 Yds 24.0 Avg,tarik-black-1
Marcus Washington,SO,WR,4 Rec 56 Yds 14.0 Avg,marcus-washington-6
Al'Vonte Woodard,SO,WR,4 Rec 34 Yds 8.5 Avg,alvonte-woodard-1
Kelvontay Dixon,FR,WR,3 Rec 76 Yds 25.3 Avg,kelvontay-dixon-1
Kartik Akkihal,SO,WR,,kartik-akkihal-1
Parker Alford,FR,WR,,parker-alford-2
Paxton Anderson,FR,WR,,paxton-anderson-1
Stacy Brown Jr.,FR,WR,,stacy-brown-jr-1
Dajon Harrison,FR,WR,,dajon-harrison-1
Kai Jarmon,JR,WR,,kai-jarmon-1
Kennedy Lewis,FR,WR,,kennedy-lewis-1
Troy Omeire,FR,WR,,troy-omeire-1
Travis West,SO,WR,,travis-west-1
Cade Brewer,SR,TE,15 Rec 169 Yds 11.3 Avg,cade-brewer-1
