Player,Class,Pos,Summary,Player-additional
Eli Peters,SR,QB,88 Cmp 129 Att 1106 Yds 9 TD,eli-peters-1
Carter Bradley,SO,QB,55 Cmp 89 Att 849 Yds 9 TD,carter-bradley-1
DeQuan Finn,FR,QB,0 Cmp 1 Att 0 Yds 0 TD,dequan-finn-1
A.J. Gucciardo,FR,QB,,aj-gucciardo-1
Gavin Hall,FR,QB,,gavin-hall-1
Bryant Koback,JR,RB,123 Att 522 Yds 4.2 Avg,bryant-koback-1
Shakif Seymour,SR,RB,16 Att 127 Yds 7.9 Avg,shakif-seymour-1
Jacquez Stuart,FR,RB,3 Att 24 Yds 8.0 Avg,jacquez-stuart-1
Jared Banks,FR,RB,,jared-banks-1
Jordan Lowe,FR,RB,,jordan-lowe-2
Cauren Lynch,FR,RB,,cauren-lynch-1
Fabias Shipman,JR,RB,,fabias-shipman-1
Micah Kelly,FR,WR,5 Rec 24 Yds 4.8 Avg,micah-kelly-1
Devin Maddox,SO,WR,14 Rec 174 Yds 12.4 Avg,devin-maddox-1
Isaiah Winstead,JR,WR,25 Rec 429 Yds 17.2 Avg,isaiah-winstead-1
Danzel Mckinley-Lewis,SR,WR,20 Rec 289 Yds 14.5 Avg,danzel-mckinley-lewis-1
Jerjuan Newton,FR,WR,15 Rec 203 Yds 13.5 Avg,jerjuan-newton-1
Bryce Mitchell,SR,WR,13 Rec 306 Yds 23.5 Avg,bryce-mitchell-1
Ronnie Blackmon,SR,WR,12 Rec 149 Yds 12.4 Avg,ronnie-blackmon-1
Terrel Ferrell,FR,WR,,terrel-ferrell-1
Najeh Baker,FR,WR,,najeh-baker-1
Adam Beale,SO,WR,,adam-beale-1
Demeer Blankumsee,FR,WR,,demeer-blankumsee-1
Jalin Cooper,SO,WR,,jalin-cooper-1
Hunter Helton,FR,WR,,hunter-helton-1
Kenyon Sneed,FR,WR,,kenyon-sneed-1
Larry Stephens,FR,WR,,larry-stephens-5
Chris'Seon Stringer,FR,WR,,chrisseon-stringer-1
Mike Williams,SO,WR,,mike-williams-37
Drew Rosi,SR,TE,7 Rec 62 Yds 8.9 Avg,drew-rosi-1
Jamal Turner,JR,TE,6 Rec 81 Yds 13.5 Avg,jamal-turner-2
Doug Bates,SR,TE,,doug-bates-1
Clay Caudill,FR,TE,,clay-caudill-1
AJ Harrison,SR,TE,,aj-harrison-1
Alex Morgan,SO,TE,,alex-morgan-1
Justin Stephens,FR,TE,,justin-stephens-1
Jason Vucinaj,FR,TE,,jason-vucinaj-1
Dalton Andrews,FR,OL,,dalton-andrews-1
Kelvin Ateman,JR,OL,,kelvin-ateman-1
Mitchell Berg,JR,OL,,mitchell-berg-1
Michael Bergen,FR,OL,,michael-bergen-1
Parker Bisek,FR,OL,,parker-bisek-1
Luke Doerger,SR,OL,,luke-doerger-1
Lavont Dumont,SO,OL,,lavont-dumont-1
Cameron Ervin,SO,OL,,cameron-ervin-2
Josh Fenn,SR,OL,,josh-fenn-1
Seth Frantz,FR,OL,,seth-frantz-1
Vitaliy Gurman,SR,OL,,vitaliy-gurman-1
