Player,Class,Pos,Summary,Player-additional
Gunnar Watson,SO,QB,211 Cmp 301 Att 2141 Yds 16 TD,gunnar-watson-1
Jacob Free,JR,QB,88 Cmp 152 Att 1051 Yds 6 TD,jacob-free-1
Parker McNeil,JR,QB,0 Cmp 2 Att 0 Yds 0 TD,parker-mcneil-1
Kyle Toole,FR,QB,,kyle-toole-1
Alex Moore,FR,QB,,alex-moore-4
Kimani Vidal,FR,RB,101 Att 516 Yds 5.1 Avg,kimani-vidal-1
B.J. Smith,SR,RB,73 Att 277 Yds 3.8 Avg,bj-smith-1
Jamontez Woods,FR,RB,46 Att 245 Yds 5.3 Avg,jamontez-woods-1
DK Billingsley,JR,RB,27 Att 96 Yds 3.6 Avg,dk-billingsley-1
Charles Strong Jr.,SO,RB,17 Att 74 Yds 4.4 Avg,charles-strong-jr-1
Josh Mays,SO,RB,4 Att 13 Yds 3.3 Avg,josh-mays-1
Austin Gavin,FR,RB,,austin-gavin-1
Tez Johnson,FR,WR,18 Rec 211 Yds 11.7 Avg,tez-johnson-1
Kaylon Geiger,SR,WR,64 Rec 752 Yds 11.8 Avg,kaylon-geiger-1
Khalil McClain,SR,WR,32 Rec 383 Yds 12.0 Avg,khalil-mcclain-1
Reginald Todd,SR,WR,43 Rec 530 Yds 12.3 Avg,reginald-todd-1
Tray Eafford,SR,WR,34 Rec 394 Yds 11.6 Avg,tray-eafford-1
Bret Clark,JR,WR,20 Rec 159 Yds 8.0 Avg,bret-clark-2
Marcus Rogers,JR,WR,7 Rec 70 Yds 10.0 Avg,marcus-rogers-3
Luke Whittemore,JR,WR,7 Rec 75 Yds 10.7 Avg,luke-whittemore-1
Orlando Lacey,JR,WR,3 Rec 28 Yds 9.3 Avg,orlando-lacey-1
Tyler Hussey,JR,WR,1 Rec 8 Yds 8.0 Avg,tyler-hussey-1
Dalton Adkinson,SO,WR,,dalton-adkinson-1
Reid Rials,SR,WR,,reid-rials-1
Jabre Barber,FR,WR,,jabre-barber-1
Demontrez Brown,SO,WR,,demontrez-brown-1
Bryce Childress,FR,WR,,bryce-childress-1
Rondell Cole,SO,WR,,rondell-cole-1
Bryce Kelly,FR,WR,,bryce-kelly-1
Sam Letton,SR,WR,,sam-letton-1
Robert Marsh,FR,WR,,robert-marsh-4
Jaden Warren,FR,WR,,jaden-warren-1
AJ Lewis,SO,TE,2 Rec 18 Yds 9.0 Avg,aj-lewis-1
Deyunkrea Lewis,FR,TE,,deyunkrea-lewis-1
