Player,Class,Pos,Summary,Player-additional
Frank Harris,JR,QB,159 Cmp 250 Att 1630 Yds 12 TD,frank-harris-3
Lowell Narcisse,JR,QB,35 Cmp 56 Att 417 Yds 3 TD,lowell-narcisse-1
Josh Adkins,JR,QB,18 Cmp 33 Att 270 Yds 1 TD,josh-adkins-1
Jordan Weeks,SO,QB,9 Cmp 27 Att 74 Yds 0 TD,jordan-weeks-1
Cam Peters,FR,QB,,cam-peters-1
Zach Rangel,SO,QB,,zach-rangel-1
Suddin Sapien,FR,QB,,suddin-sapien-1
Sincere McCormick,SO,RB,249 Att 1467 Yds 5.9 Avg,sincere-mccormick-1
Brenden Brady,JR,RB,50 Att 239 Yds 4.8 Avg,brenden-brady-1
B.J. Daniels,SR,RB,23 Att 129 Yds 5.6 Avg,bj-daniels-2
Kaedric Cobbs,FR,RB,11 Att 56 Yds 5.1 Avg,kaedric-cobbs-1
Kadari Johnson,SR,RB,2 Att 28 Yds 14.0 Avg,kadari-johnson-1
Justin Rodriguez,FR,RB,,justin-rodriguez-1
Sheldon Jones,JR,WR,11 Rec 134 Yds 12.2 Avg,sheldon-jones-1
Julon Williams,SO,WR,5 Rec 22 Yds 4.4 Avg,julon-williams-1
Brennon Dingle,SR,WR,27 Rec 266 Yds 9.9 Avg,brennon-dingle-1
Joshua Cephus,SO,WR,58 Rec 547 Yds 9.4 Avg,joshua-cephus-1
Zakhari Franklin,SO,WR,49 Rec 694 Yds 14.2 Avg,zakhari-franklin-1
De'Corian Clark,SO,WR,8 Rec 58 Yds 7.3 Avg,decorian-clark-1
Tykee Ogle-Kellogg,SO,WR,11 Rec 169 Yds 15.4 Avg,tykee-ogle-kellogg-1
Andrew McGowan,SO,WR,1 Rec 33 Yds 33.0 Avg,andrew-mcgowan-1
Gregory Clayton Jr.,JR,WR,,gregory-clayton-jr-1
Kareem Adeniyi,SR,WR,,kareem-adeniyi-1
Jabari Aiken,SO,WR,,jabari-aiken-1
Geoffery Ali,SR,WR,,geoffery-ali-1
Brendan Bennett,FR,WR,,brendan-bennett-1
Isaiah Davis,FR,WR,,isaiah-davis-3
Kyle Eaves,FR,WR,,kyle-eaves-1
Jaren Randle,FR,WR,,jaren-randle-1
Cade Stoever,SO,WR,,cade-stoever-1
Dedrick Wilson,FR,WR,,dedrick-wilson-1
Leroy Watson,SR,TE,14 Rec 176 Yds 12.6 Avg,leroy-watson-1
Gavin Sharp,JR,TE,6 Rec 67 Yds 11.2 Avg,gavin-sharp-1
Oscar Cardenas,FR,TE,3 Rec 46 Yds 15.3 Avg,oscar-cardenas-1
Andrew Acosta,JR,TE,,andrew-acosta-1
Myles Benning,SR,TE,,myles-benning-1
Jake Brandt,FR,TE,,jake-brandt-1
Ke'Chawn Compton,JR,TE,,kechawn-compton-1
Dan Dishman,FR,TE,,dan-dishman-1
Allen Horace II,FR,TE,,allen-horace-ii-1
Kyle Wakefield,SO,TE,,kyle-wakefield-1
Ahofitu Maka,JR,OL,,ahofitu-maka-1
Rudy Aleman Jr.,SO,OL,,rudy-aleman-jr-1
Demetrris Allen,FR,OL,,demetrris-allen-1
Ernesto Almaraz,SO,OL,,ernesto-almaraz-1
Jordan Brown,FR,OL,,jordan-brown-9
Spencer Burford,JR,OL,,spencer-burford-1
Cedric Claiborne,FR,OL,,cedric-claiborne-1
Kevin Davis,JR,OL,,kevin-davis-7
Jalyn Galmore,SR,OL,,jalyn-galmore-1
Makai Hart,JR,OL,,makai-hart-1
Terrell Haynes,SO,OL,,terrell-haynes-1
Frankie Martinez,FR,OL,,frankie-martinez-1
Josh Oatis,SR,OL,,josh-oatis-1
Matthew Ojeda,SR,OL,,matthew-ojeda-1
Abraham Olguin,SO,OL,,abraham-olguin-1
Bosah Osakwe,SR,OL,,bosah-osakwe-1
Brandon Rolfe,JR,OL,,brandon-rolfe-1
Daniel Santallana,FR,OL,,daniel-santallana-1
Monte Williams,FR,OL,,monte-williams-1
Walker Baty,FR,DL,,walker-baty-1
Trumane Bell,SO,DL,,trumane-bell-2
Christian Clayton,FR,DL,,christian-clayton-1
Lorenzo Dantzler,SR,DL,,lorenzo-dantzler-1
Peter Gray,SO,DL,,peter-gray-1
Jaylon Haynes,SR,DL,,jaylon-haynes-1
Brandon Matterson,JR,DL,,brandon-matterson-1
Kevin Nelson,SO,DL,,kevin-nelson-3
Shaquan Flagg,FR,DL,,shaquan-flagg-1
Zachary Gilson,SO,DL,,zachary-gilson-1
Jaden Jones,FR,DL,,jaden-jones-1
De'Marco Guidry,JR,LB,,demarco-guidry-1
Trevor Harmanson,JR,LB,,trevor-harmanson-1
DeQuarius Henry,SR,LB,,dequarius-henry-1
Clarence Hicks,SR,LB,,clarence-hicks-1
Jamal Ligon,FR,LB,,jamal-ligon-1
Tyler Mahnke,JR,LB,,tyler-mahnke-1
Avery Morris,FR,LB,,avery-morris-1
Asyrus Simon,FR,LB,,asyrus-simon-1
Charles Wiley,SR,LB,,charles-wiley-2
Solomon Wise,SR,LB,,solomon-wise-1
Josh Davies-Balogun,JR,LB,,josh-davies-balogun-1
Cade Edwards,FR,LB,,cade-edwards-1
Nate Hawkins,FR,LB,,nate-hawkins-2
Magnus Kirby,FR,LB,,magnus-kirby-1
Ashton Merrett,JR,LB,,ashton-merrett-1
Donovan Perkins,JR,LB,,donovan-perkins-1
Dominic Sheppard,SR,LB,,dominic-sheppard-1
Wiliam Turner,JR,LB,,wiliam-turner-1
Harmon West,FR,LB,,harmon-west-1
Lucas Dean,SO,P,,lucas-dean-1
Colby McBerty,FR,P,,colby-mcberty-1
Je'Vaun Dabon,FR,S,,jevaun-dabon-1
Hunter Duplessis,SR,PK,,hunter-duplessis-1
Savion Harris,SR,S,,savion-harris-1
Corey Mayfield Jr.,JR,CB,,corey-mayfield-jr-1
