Player,Class,Pos,Summary,Player-additional
Bryce Young,SO,QB,366 Cmp 547 Att 4872 Yds 47 TD,bryce-young-1
Paul Tyson,SO,QB,10 Cmp 16 Att 150 Yds 0 TD,paul-tyson-1
Jalen Milroe,FR,QB,3 Cmp 7 Att 41 Yds 1 TD,jalen-milroe-1
Braxton Barker,JR,QB,1 Cmp 1 Att 10 Yds 0 TD,braxton-barker-1
Stone Hollenbach,SO,QB,,stone-hollenbach-1
Brian Robinson Jr.,SR,RB,271 Att 1343 Yds 5.0 Avg,brian-robinson-jr-1
Trey Sanders,SO,RB,72 Att 314 Yds 4.4 Avg,trey-sanders-2
Roydell Williams,SO,RB,48 Att 284 Yds 5.9 Avg,roydell-williams-2
Jase McClellan,SO,RB,40 Att 191 Yds 4.8 Avg,jase-mcclellan-1
Jonathan Bennett,SO,RB,,jonathan-bennett-1
Elijah Crockett,FR,RB,,elijah-crockett-1
Austin Owens,FR,RB,,austin-owens-1
Camar Wheaton,FR,RB,,camar-wheaton-1
Jameson Williams,JR,WR,79 Rec 1572 Yds 19.9 Avg,jameson-williams-1
Christian Leary,FR,WR,2 Rec 4 Yds 2.0 Avg,christian-leary-1
John Metchie,JR,WR,96 Rec 1142 Yds 11.9 Avg,john-metchie-1
Slade Bolden,JR,WR,42 Rec 408 Yds 9.7 Avg,slade-bolden-1
Traeshon Holden,SO,WR,21 Rec 239 Yds 11.4 Avg,traeshon-holden-1
Ja'Corey Brooks,FR,WR,15 Rec 192 Yds 12.8 Avg,jacorey-brooks-1
Jojo Earle,FR,WR,12 Rec 148 Yds 12.3 Avg,jojo-earle-1
Javon Baker,SO,WR,7 Rec 101 Yds 14.4 Avg,javon-baker-1
Agiye Hall,FR,WR,4 Rec 72 Yds 18.0 Avg,agiye-hall-1
Thaiu Jones-Bell,SO,WR,2 Rec 16 Yds 8.0 Avg,thaiu-jones-bell-1
Bret Bolin,SR,WR,,bret-bolin-1
Jacoby Boykins,FR,WR,,jacoby-boykins-1
Greg Carroll Jr.,SO,WR,,greg-carroll-jr-1
Chris Herren Jr.,SR,WR,,chris-herren-jr-1
Grant Krieger,JR,WR,,grant-krieger-1
DJ Rias,SO,WR,,dj-rias-1
Shatarius Williams,SO,WR,,shatarius-williams-1
Xavier Williams,JR,WR,,xavier-williams-3
Sam Willoughby,SO,WR,,sam-willoughby-1
Cameron Latu,JR,TE,26 Rec 410 Yds 15.8 Avg,cameron-latu-1
Jahleel Billingsley,JR,TE,17 Rec 256 Yds 15.1 Avg,jahleel-billingsley-1
Robbie Ouzts,FR,TE,1 Rec 8 Yds 8.0 Avg,robbie-ouzts-1
Caden Clark,FR,TE,,caden-clark-1
Robert Ellis,SO,TE,,robert-ellis-3
Richard Hunt,SO,TE,,richard-hunt-2
Kendall Randolph,SR,TE,,kendall-randolph-2
Charlie Skehan,SO,TE,,charlie-skehan-1
Major Tennison,SR,TE,,major-tennison-1
Adam Thorsland,FR,TE,,adam-thorsland-1
Darrian Dalcourt,JR,OL,,darrian-dalcourt-1
Tanner Bowles,SO,OL,,tanner-bowles-1
James Brockermeyer,FR,OL,,james-brockermeyer-1
Tommy Brockermeyer,FR,OL,,tommy-brockermeyer-1
Tommy Brown,JR,OL,,tommy-brown-3
Javion Cohen,SO,OL,,javion-cohen-1
Emil Ekiyor Jr.,JR,OL,,emil-ekiyor-jr-1
Terrence Ferguson II,FR,OL,,terrence-ferguson-ii-1
Damieon George Jr.,SO,OL,,damieon-george-jr-1
Donovan Hardin,SO,OL,,donovan-hardin-1
Amari Kight,SO,OL,,amari-kight-1
JC Latham,FR,OL,,jc-latham-1
Seth McLaughlin,SO,OL,,seth-mclaughlin-1
Evan Neal,JR,OL,,evan-neal-1
Chris Owens,SR,OL,,chris-owens-3
Pierce Quick,SO,OL,,pierce-quick-1
Jaeden Roberts,FR,OL,,jaeden-roberts-1
Jackson Roby,SR,OL,,jackson-roby-1
Graham Roten,FR,OL,,graham-roten-1
Alajujuan Sparks,SO,OL,,alajujuan-sparks-1
Jamil Burroughs,SO,DL,,jamil-burroughs-1
DJ Dale,JR,DL,,dj-dale-1
Justin Eboigbe,JR,DL,,justin-eboigbe-1
Jah-Marien Latham,SO,DL,,jah-marien-latham-1
Phidarian Mathis,SR,DL,,phidarian-mathis-1
Labryan Ray,SR,DL,,labryan-ray-1
Tim Smith,SO,DL,,tim-smith-8
Stephon Wynn Jr.,JR,DL,,stephon-wynn-jr-1
Byron Young,JR,DL,,byron-young-1
Anquin Barnes Jr.,FR,DL,,anquin-barnes-jr-1
Keelan Cox,SO,DL,,keelan-cox-1
Monkell Goodwine,FR,DL,,monkell-goodwine-1
Braylen Ingraham,SO,DL,,braylen-ingraham-1
Tim Keenan III,FR,DL,,tim-keenan-iii-1
Kyle Mann,SO,DL,,kyle-mann-1
Damon Payne Jr.,FR,DL,,damon-payne-jr-1
Chase Quigley,FR,DL,,chase-quigley-1
Demouy Kennedy,SO,LB,,demouy-kennedy-1
Will Anderson Jr.,SO,LB,,will-anderson-jr-1
Kendrick Blackshire,FR,LB,,kendrick-blackshire-1
Chris Braswell,SO,LB,,chris-braswell-1
Christian Harris,JR,LB,,christian-harris-3
Shane Lee,JR,LB,,shane-lee-1
Jaylen Moody,SR,LB,,jaylen-moody-1
King Mwikuta,JR,LB,,king-mwikuta-1
Drew Sanders,SO,LB,,drew-sanders-1
Henry To'oto'o,JR,LB,,henry-tootoo-1
Dallas Turner,FR,LB,,dallas-turner-1
Christopher Allen,SR,LB,,christopher-allen-1
Jackson Bratton,SO,LB,,jackson-bratton-1
Colin Bryant,FR,LB,,colin-bryant-1
Kyle Flood,SO,LB,,kyle-flood-2
Ian Jackson,FR,LB,,ian-jackson-1
Christian Johnson,FR,LB,,christian-johnson-4
Keanu Koht,FR,LB,,keanu-koht-1
Deontae Lawson,FR,LB,,deontae-lawson-1
