Player,Class,Pos,Summary,Player-additional
Chase Brice,SR,QB,242 Cmp 390 Att 3337 Yds 27 TD,chase-brice-1
Jacob Huesman,SR,QB,12 Cmp 21 Att 116 Yds 1 TD,jacob-huesman-1
Andre Goodman,FR,QB,,andre-goodman-2
Navy Shuler,FR,QB,,navy-shuler-1
DC Tabscott,FR,QB,,dc-tabscott-1
Nate Noel,SO,RB,199 Att 1128 Yds 5.7 Avg,nate-noel-1
Camerun Peoples,JR,RB,166 Att 926 Yds 5.6 Avg,camerun-peoples-1
Anderson Castle,SO,RB,47 Att 236 Yds 5.0 Avg,anderson-castle-1
Daetrich Harrington,SR,RB,46 Att 196 Yds 4.3 Avg,daetrich-harrington-1
Jahmir Smith,SR,RB,19 Att 69 Yds 3.6 Avg,jahmir-smith-1
Gabe Montgomery,SR,RB,5 Att 13 Yds 2.6 Avg,gabe-montgomery-1
Logan Cruce,FR,RB,,logan-cruce-1
Ben Williams,SO,RB,,ben-williams-4
Malik Williams,SR,WR,52 Rec 819 Yds 15.8 Avg,malik-williams-2
Jalen Virgil,SR,WR,15 Rec 226 Yds 15.1 Avg,jalen-virgil-1
Milan Tucker,SO,WR,1 Rec 20 Yds 20.0 Avg,milan-tucker-1
Corey Sutton,SR,WR,61 Rec 904 Yds 14.8 Avg,corey-sutton-2
Thomas Hennigan,SR,WR,60 Rec 823 Yds 13.7 Avg,thomas-hennigan-1
Christian Wells,SO,WR,12 Rec 243 Yds 20.3 Avg,christian-wells-1
Christian Horn,SO,WR,5 Rec 46 Yds 9.2 Avg,christian-horn-1
Dashaun Davis,SO,WR,3 Rec 53 Yds 17.7 Avg,dashaun-davis-1
Dalton Stroman,FR,WR,1 Rec 10 Yds 10.0 Avg,dalton-stroman-1
Da'Shawn Brown,FR,WR,,dashawn-brown-1
Austyn Chestnut,SR,WR,,austyn-chestnut-1
A.J. Hall,JR,WR,,aj-hall-1
Michael Hetzel,FR,WR,,michael-hetzel-1
Sean Horton,SO,WR,,sean-horton-1
Elijah Johnson,SO,WR,,elijah-johnson-3
Jaquan Lowman,FR,WR,,jaquan-lowman-1
Jacob Pinckney,SO,WR,,jacob-pinckney-1
Coen Sutton,FR,WR,,coen-sutton-1
Henry Pearson,SR,TE,11 Rec 153 Yds 13.9 Avg,henry-pearson-1
Eli Wilson,FR,TE,8 Rec 48 Yds 6.0 Avg,eli-wilson-1
Mike Evans,SR,TE,7 Rec 77 Yds 11.0 Avg,mike-evans-7
Miller Gibbs,JR,TE,3 Rec 21 Yds 7.0 Avg,miller-gibbs-1
August Drews,FR,TE,,august-drews-1
Peter Hennigan,FR,TE,,peter-hennigan-1
David Larkins,FR,TE,,david-larkins-1
Trey Ross,JR,TE,,trey-ross-1
Gerry Snyder,FR,TE,,gerry-snyder-1
Damion Daley,JR,OL,,damion-daley-1
Anderson Hardy,JR,OL,,anderson-hardy-1
Baer Hunter,SR,OL,,baer-hunter-1
Gage Blackston,SR,OL,,gage-blackston-1
Larry Dowdy,SO,OL,,larry-dowdy-1
Cole Essek,FR,OL,,cole-essek-1
Troy Everett,FR,OL,,troy-everett-1
Isaiah Helms,JR,OL,,isaiah-helms-1
Sammy Henderson,SO,OL,,sammy-henderson-1
Lyle Hiers,SO,OL,,lyle-hiers-1
Cooper Hodges,JR,OL,,cooper-hodges-1
Jaden Lindsay,FR,OL,,jaden-lindsay-1
Chris Lyle,FR,OL,,chris-lyle-1
Craig McFarland,SO,OL,,craig-mcfarland-1
Colston Powers,FR,OL,,colston-powers-1
Jayden Ramsey,FR,OL,,jayden-ramsey-1
Austin Reeves,FR,OL,,austin-reeves-2
Luke Smith,SO,OL,,luke-smith-2
Seth Williams,FR,OL,,seth-williams-3
Michael Hughes,FR,K,,michael-hughes-3
Chandler Staton,SR,K,,chandler-staton-1
Trey Schaneville,SR,K,,trey-schaneville-1
Caleb Spurlin,SR,DL,,caleb-spurlin-1
Tommy Dawkins,SR,DL,,tommy-dawkins-1
Deandre Dingle-Prince,SO,DL,,deandre-dingle-prince-1
Jordon Earle,JR,DL,,jordon-earle-1
Kevon Haigler,FR,DL,,kevon-haigler-1
Justin Isler,FR,DL,,justin-isler-1
Deshawn McKnight,FR,DL,,deshawn-mcknight-1
Hansky Paillant,JR,DL,,hansky-paillant-1
Dorian Pickett,JR,DL,,dorian-pickett-1
Demetrius Taylor,SR,DL,,demetrius-taylor-2
KaRon White,FR,DL,,karon-white-1
Zareon Hayes,JR,DL,,zareon-hayes-1
Stephen Passeggiata,FR,DL,,stephen-passeggiata-1
Jamar Rucks,FR,DL,,jamar-rucks-1
Markell Samuel,FR,DL,,markell-samuel-1
Chris Washington,JR,DL,,chris-washington-6
Tyler Bird,SR,LB,,tyler-bird-1
Kesean Brown,JR,LB,,kesean-brown-1
Trey Cobb,SR,LB,,trey-cobb-1
Logan Doublin,SR,LB,,logan-doublin-1
Tim Frizzell,SR,LB,,tim-frizzell-1
Nick Hampton,JR,LB,,nick-hampton-1
Brendan Harrington,JR,LB,,brendan-harrington-1
Jourdan Heilig,JR,LB,,jourdan-heilig-1
D'Marco Jackson,SR,LB,,dmarco-jackson-1
Jalen McLeod,SO,LB,,jalen-mcleod-1
T.D. Roof,SR,LB,,td-roof-1
Kyle Arnholt,FR,LB,,kyle-arnholt-1
Nate Blanton,FR,LB,,nate-blanton-1
Grant Daley,SO,LB,,grant-daley-1
Colin Guentensberger,SO,LB,,colin-guentensberger-1
Je'mari Littlejohn,FR,LB,,jemari-littlejohn-1
Jordan Mitchell,JR,LB,,jordan-mitchell-3
Trevor Moffitt,FR,LB,,trevor-moffitt-1
Ronald Clarke,FR,DB,,ronald-clarke-1
Madison Cone,SR,DB,,madison-cone-1
Kaleb Dawson,JR,DB,,kaleb-dawson-1
Jackson Greene,SO,DB,,jackson-greene-1
Ryan Huff,SR,DB,,ryan-huff-2
Shaun Jolly,SR,DB,,shaun-jolly-1
Steven Jones,SR,DB,,steven-jones-1
Travis McNichols,FR,DB,,travis-mcnichols-1
Nicholas Ross,JR,DB,,nicholas-ross-1
Donte Small,SR,DB,,donte-small-1
Kaiden Smith,SR,DB,,kaiden-smith-1
Jordan Favors,FR,DB,,jordan-favors-1
Stuart Head,SR,DB,,stuart-head-1
Isaac Johnson,SO,DB,,isaac-johnson-3
Nathan Kibambe,JR,DB,,nathan-kibambe-1
Mike Smith,SO,DB,,mike-smith-33
Jonathan Streeter,FR,DB,,jonathan-streeter-1
Caden Sullivan,FR,DB,,caden-sullivan-1
Clayton Howell,SR,P,,clayton-howell-1
Xavier Subotsch,SR,P,,xavier-subotsch-1
Christian Johnstone,JR,LS,,christian-johnstone-1
Reed Harper,SO,LS,,reed-harper-1
