Player,Class,Pos,Summary,Player-additional
Will Plummer,FR,QB,155 Cmp 267 Att 1610 Yds 6 TD,will-plummer-1
Gunner Cruz,FR,QB,61 Cmp 93 Att 536 Yds 2 TD,gunner-cruz-1
Jordan McCloud,SO,QB,48 Cmp 72 Att 481 Yds 2 TD,jordan-mccloud-1
Luke Ashworth,SO,QB,0 Cmp 1 Att 0 Yds 0 TD,luke-ashworth-2
Jaden White,FR,QB,,jaden-white-1
Brayden Zermeno,FR,QB,,brayden-zermeno-1
Michael Wiley,SO,RB,91 Att 302 Yds 3.3 Avg,michael-wiley-3
Drake Anderson,SO,RB,87 Att 385 Yds 4.4 Avg,drake-anderson-1
Jalen John,FR,RB,62 Att 250 Yds 4.0 Avg,jalen-john-6
Stevie Rocker Jr.,FR,RB,31 Att 153 Yds 4.9 Avg,stevie-rocker-jr-1
Clay Markoff,SR,RB,3 Att 20 Yds 6.7 Avg,clay-markoff-1
Darrius Smith,SO,RB,2 Att 4 Yds 2.0 Avg,darrius-smith-1
Nazar Bombata,SO,RB,,nazar-bombata-1
Jashon Butler,SO,RB,,jashon-butler-1
James Bohls,FR,RB,,james-bohls-1
Jamarye Joiner,SO,WR,4 Rec 48 Yds 12.0 Avg,jamarye-joiner-1
Stanley Berryhill III,JR,WR,83 Rec 744 Yds 9.0 Avg,stanley-berryhill-iii-1
Brian Casteel,JR,WR,33 Rec 326 Yds 9.9 Avg,brian-casteel-1
Tayvian Cunningham,SR,WR,18 Rec 299 Yds 16.6 Avg,tayvian-cunningham-1
Jalen Johnson,SO,WR,4 Rec 37 Yds 9.3 Avg,jalen-johnson-5
Anthony Simpson,FR,WR,4 Rec 46 Yds 11.5 Avg,anthony-simpson-2
Boobie Curry,SO,WR,21 Rec 233 Yds 11.1 Avg,boobie-curry-1
Dorian Singer,FR,WR,18 Rec 301 Yds 16.7 Avg,dorian-singer-1
Thomas Reid III,SR,WR,,thomas-reid-iii-1
Jaden Clark,FR,WR,,jaden-clark-1
Tristen D'Angelo,JR,WR,,tristen-dangelo-1
Jaden Mitchell,FR,WR,,jaden-mitchell-1
Alex Lines,FR,TE,10 Rec 138 Yds 13.8 Avg,alex-lines-1
Bryce Wolma,SR,TE,6 Rec 42 Yds 7.0 Avg,bryce-wolma-1
Connor Hutchings,SR,TE,,connor-hutchings-1
Stacey Marhsall,JR,TE,,stacey-marhsall-1
Roberto Miranda,FR,TE,,roberto-miranda-1
Colby Powers,FR,TE,,colby-powers-1
Zach Williams,SO,TE,,zach-williams-5
Josh Donovan,JR,OL,,josh-donovan-1
Josh McCauley,SR,OL,,josh-mccauley-1
Josh Baker,FR,OL,,josh-baker-1
Edgar Burrola,JR,OL,,edgar-burrola-1
Davis Divall,FR,OL,,davis-divall-1
Lucas Eckardt,FR,OL,,lucas-eckardt-1
Paiton Fears,JR,OL,,paiton-fears-1
JT Hand,FR,OL,,jt-hand-1
Woody Jean,FR,OL,,woody-jean-1
Donovan Laie,JR,OL,,donovan-laie-1
Sam Langi,JR,OL,,sam-langi-1
Leif Magnuson,FR,OL,,leif-magnuson-1
Jaxon McBride,FR,OL,,jaxon-mcbride-1
Jordan Morgan,SO,OL,,jordan-morgan-3
Anthony Patt,FR,OL,,anthony-patt-1
Matthew Stefanski Jr.,JR,OL,,matthew-stefanski-jr-1
David Watson,SO,OL,,david-watson-1
Lucas Havrisik,SR,K,,lucas-havrisik-1
Tyler Loop,FR,K,,tyler-loop-1
Jacob Meeker-Hackett,SR,K,,jacob-meeker-hackett-1
Kyon Barrs,SO,DL,,kyon-barrs-1
Josh Brown,SR,DL,,josh-brown-9
Reid Codwell,FR,DL,,reid-codwell-1
Jalen Harris,JR,DL,,jalen-harris-3
Trevon Mason,SR,DL,,trevon-mason-1
Paris Shand,FR,DL,,paris-shand-1
Eddie Siaumau,FR,DL,,eddie-siaumau-1
Nahe Sulunga,SO,DL,,nahe-sulunga-1
Leevel Tatum III,SR,DL,,leevel-tatum-iii-1
Dion Wilson Jr.,FR,DL,,dion-wilson-jr-1
Aaron Blackwell,SR,DL,,aaron-blackwell-1
Evan Branch-Haynes,FR,DL,,evan-branch-haynes-1
Shontrail Key,FR,DL,,shontrail-key-1
Alex Navarro-Silva,SO,DL,,alex-navarro-silva-1
Ugochukwu Nosike,FR,DL,,ugochukwu-nosike-1
Myles Tapusoa,SR,DL,,myles-tapusoa-1
Regen Terry,FR,DL,,regen-terry-1
Anthony Pandy,SR,LB,,anthony-pandy-1
RJ Edwards,FR,LB,,rj-edwards-1
Rourke Freeburg,JR,LB,,rourke-freeburg-1
Jason Harris,FR,LB,,jason-harris-6
Treshaun Hayward,SR,LB,,treshaun-hayward-1
Kenny Hebert,SR,LB,,kenny-hebert-1
Rashie Hodge Jr.,JR,LB,,rashie-hodge-jr-1
Issaiah Johnson,SO,LB,,issaiah-johnson-1
Malik Reed,FR,LB,,malik-reed-2
Jerry Roberts,JR,LB,,jerry-roberts-2
Dante Smith,SO,LB,,dante-smith-3
Christian Young,JR,LB,,christian-young-2
Ammon Allen,FR,LB,,ammon-allen-1
Jackson Bailey,FR,LB,,jackson-bailey-1
John Burton,FR,LB,,john-burton-1
Kolbe Cage,FR,LB,,kolbe-cage-1
DJ Fryar Jr.,FR,LB,,dj-fryar-jr-1
Kevon Garcia,FR,LB,,kevon-garcia-1
Chandler Kelly,SO,LB,,chandler-kelly-1
Jabar Triplett,FR,LB,,jabar-triplett-1
Matt Weerts,FR,LB,,matt-weerts-1
Victor Zayas,FR,LB,,victor-zayas-1
Mohamed Diallo,SR,DB,,mohamed-diallo-1
Kyle Ostendorp,SO,P,,kyle-ostendorp-1
McKenzie Barnes,JR,CB,,mckenzie-barnes-1
Dalton Johnson,FR,S,,dalton-johnson-1
Gunner Maldonado,FR,S,,gunner-maldonado-1
Isaiah Mays,JR,S,,isaiah-mays-1
Christian Roland-Wallace,SO,CB,,christian-roland-wallace-1
Isaiah Rutherford,SO,CB,,isaiah-rutherford-1
Rhedi Short,JR,S,,rhedi-short-1
Treydan Stukes,FR,CB,,treydan-stukes-1
Isaiah Taylor,FR,S,,isaiah-taylor-2
Jaxen Turner,SO,S,,jaxen-turner-1
Jaydin Young,FR,S,,jaydin-young-1
Javione Carr,FR,CB,,javione-carr-1
Trey Cartledge,FR,S,,trey-cartledge-1
Adama Fall,FR,CB,,adama-fall-1
Anthony Gonzales,FR,S,,anthony-gonzales-1
Malik Hausman,JR,CB,,malik-hausman-1
Kameron Hawkins,FR,LS,,kameron-hawkins-1
Logan Kraut,FR,S,,logan-kraut-1
Seth MacKellar,SO,LS,,seth-mackellar-1
Jakelyn Morgan,FR,CB,,jakelyn-morgan-1
Jeffrey Robinson,FR,CB,,jeffrey-robinson-1
