Player,Class,Pos,Summary,Player-additional
K.J. Jefferson,SO,QB,198 Cmp 294 Att 2676 Yds 21 TD,kj-jefferson-1
Malik Hornsby,FR,QB,5 Cmp 12 Att 46 Yds 0 TD,malik-hornsby-1
John Stephen Jones,JR,QB,0 Cmp 1 Att 0 Yds 0 TD,john-stephen-jones-1
Lucas Coley,FR,QB,,lucas-coley-1
Kade Renfro,FR,QB,,kade-renfro-1
Trelon Smith,SR,RB,119 Att 598 Yds 5.0 Avg,trelon-smith-1
Raheim Sanders,FR,RB,114 Att 578 Yds 5.1 Avg,raheim-sanders-1
Dominique Johnson,SO,RB,97 Att 575 Yds 5.9 Avg,dominique-johnson-2
AJ Green,FR,RB,47 Att 227 Yds 4.8 Avg,aj-green-6
Javion Hunt,FR,RB,4 Att 19 Yds 4.8 Avg,javion-hunt-1
Josh Oglesby,JR,RB,4 Att 19 Yds 4.8 Avg,josh-oglesby-2
T.J. Hammonds,SR,RB,1 Att -1 Yds -1.0 Avg,tj-hammonds-1
Donte Buckner,FR,RB,,donte-buckner-1
Reid Turner,SO,RB,,reid-turner-1
Treylon Burks,JR,WR,66 Rec 1104 Yds 16.7 Avg,treylon-burks-1
De'Vion Warren,SR,WR,16 Rec 252 Yds 15.8 Avg,devion-warren-1
Warren Thompson,JR,WR,19 Rec 304 Yds 16.0 Avg,warren-thompson-2
Tyson Morris,SR,WR,24 Rec 337 Yds 14.0 Avg,tyson-morris-1
Trey Knox,JR,WR,20 Rec 141 Yds 7.1 Avg,trey-knox-1
Ketron Jackson Jr.,FR,WR,5 Rec 97 Yds 19.4 Avg,ketron-jackson-jr-1
Jaquayln Crawford,JR,WR,3 Rec 27 Yds 9.0 Avg,jaquayln-crawford-1
Bryce Stephens,FR,WR,3 Rec 5 Yds 1.7 Avg,bryce-stephens-1
John David White,SO,WR,1 Rec 19 Yds 19.0 Avg,john-david-white-1
Harper Cole,FR,WR,,harper-cole-1
Kendall Catalon,SR,WR,,kendall-catalon-1
Chris Harris,FR,WR,,chris-harris-7
Darin Turner,FR,WR,,darin-turner-2
Jaedon Wilson,FR,WR,,jaedon-wilson-1
Blake Kern,SR,TE,15 Rec 183 Yds 12.2 Avg,blake-kern-1
Hudson Henry,SO,TE,4 Rec 27 Yds 6.8 Avg,hudson-henry-1
Nathan Bax,SO,TE,,nathan-bax-1
Koilan Jackson,SR,TE,,koilan-jackson-1
Nathan Johnson,FR,TE,,nathan-johnson-2
Zach Lee,FR,TE,,zach-lee-2
Erin Outley,FR,TE,,erin-outley-1
Landon Rogers,FR,TE,,landon-rogers-1
Collin Sutherland,FR,TE,,collin-sutherland-1
Shane Clenin,SR,OL,,shane-clenin-1
Austin Nix,JR,OL,,austin-nix-1
Cole Carson,FR,OL,,cole-carson-1
Ty Clary,SR,OL,,ty-clary-1
Ty'kieast Crawford,SO,OL,,tykieast-crawford-1
Myron Cunningham,SR,OL,,myron-cunningham-1
Ray Curry,FR,OL,,ray-curry-2
Marcus Henderson,SO,OL,,marcus-henderson-1
Luke Jones,JR,OL,,luke-jones-1
Brady Latham,SO,OL,,brady-latham-1
Beaux Limmer,SO,OL,,beaux-limmer-1
Devon Manuel,FR,OL,,devon-manuel-1
Dylan Rathcke,SO,OL,,dylan-rathcke-1
Jalen St. John,FR,OL,,jalen-st-john-1
Josh Street,FR,OL,,josh-street-1
Ricky Stromberg,JR,OL,,ricky-stromberg-1
Drew Vest,SO,OL,,drew-vest-1
Dalton Wagner,SR,OL,,dalton-wagner-1
Terry Wells,FR,OL,,terry-wells-1
Ryan Winkel,JR,OL,,ryan-winkel-1
Cam Little,FR,K,,cam-little-1
Vito Calvaruso,SO,K,,vito-calvaruso-1
Matthew Phillips,JR,K,,matthew-phillips-2
Cameron Ball,FR,DL,,cameron-ball-1
Taurean Carter,SO,DL,,taurean-carter-1
Dorian Gerald,SR,DL,,dorian-gerald-1
Eric Gregory,SO,DL,,eric-gregory-1
Marcus Miller,SO,DL,,marcus-miller-2
Isaiah Nichols,JR,DL,,isaiah-nichols-1
John Ridgeway,SR,DL,,john-ridgeway-1
Mataio Soli,JR,DL,,mataio-soli-1
Jashaud Stewart,SO,DL,,jashaud-stewart-1
Eric Thomas Jr.,SO,DL,,eric-thomas-jr-1
Markell Utsey,SR,DL,,markell-utsey-1
Tre' Williams,SR,DL,,tre-williams-3
Zach Williams,JR,DL,,zach-williams-6
Andy Boykin,FR,DL,,andy-boykin-1
Morgan Hanna,SO,DL,,morgan-hanna-1
Jon Hill,FR,DL,,jon-hill-2
Jalen Williams,JR,DL,,jalen-williams-8
Solomon Wright,FR,DL,,solomon-wright-1
Deon Edwards,SR,LB,,deon-edwards-1
Hayden Henry,SR,LB,,hayden-henry-1
Grant Morgan,SR,LB,,grant-morgan-1
Andrew Parker,JR,LB,,andrew-parker-2
Chris Paul Jr.,FR,LB,,chris-paul-jr-1
Bumper Pool,SR,LB,,bumper-pool-1
Jackson Woodard,FR,LB,,jackson-woodard-1
Jake Yurachek,JR,LB,,jake-yurachek-1
Marco Avant,FR,LB,,marco-avant-1
Brooks Both,FR,LB,,brooks-both-1
Kelin Burrle,FR,LB,,kelin-burrle-1
Levi Draper,SR,LB,,levi-draper-1
Jordan Hanna,FR,LB,,jordan-hanna-2
J.T. Towers,FR,LB,,jt-towers-1
McKinley Williams,JR,LB,,mckinley-williams-2
LaDarrius Bishop,JR,DB,,ladarrius-bishop-1
Simeon Blair,JR,DB,,simeon-blair-1
Greg Brooks Jr.,JR,DB,,greg-brooks-jr-1
Montaric Brown,SR,DB,,montaric-brown-1
