Player,Class,Pos,Summary,Player-additional
Jaren Hall,SO,QB,189 Cmp 296 Att 2583 Yds 20 TD,jaren-hall-1
Baylor Romney,SO,QB,56 Cmp 80 Att 779 Yds 6 TD,baylor-romney-1
Jacob Conover,FR,QB,5 Cmp 10 Att 45 Yds 0 TD,jacob-conover-1
Nick Billoups,FR,QB,,nick-billoups-1
Cade Fennegan,FR,QB,,cade-fennegan-1
Jake Jensen,FR,QB,,jake-jensen-1
Sol-Jay Maiava-Peters,FR,QB,,sol-jay-maiava-peters-1
Rhett Reilly,SO,QB,,rhett-reilly-1
Tyler Allgeier,SO,RB,276 Att 1601 Yds 5.8 Avg,tyler-allgeier-1
Lopini Katoa,JR,RB,61 Att 242 Yds 4.0 Avg,lopini-katoa-1
Jackson McChesney,FR,RB,14 Att 64 Yds 4.6 Avg,jackson-mcchesney-1
Hinckley Ropati,SO,RB,4 Att 15 Yds 3.8 Avg,hinckley-ropati-1
Miles Davis,FR,RB,1 Att -7 Yds -7.0 Avg,miles-davis-1
Beau Robinson,FR,RB,,beau-robinson-1
Luc Andrada,FR,RB,,luc-andrada-1
Mason Fakahua,FR,RB,,mason-fakahua-1
Sione Finau,SO,RB,,sione-finau-1
Faka'osi Nasilai,FR,RB,,fakaosi-nasilai-1
Neil Pau'u,JR,WR,46 Rec 526 Yds 11.4 Avg,neil-pauu-1
Puka Nacua,,WR,43 Rec 805 Yds 18.7 Avg,puka-nacua-1
Samson Nacua,SR,WR,21 Rec 329 Yds 15.7 Avg,samson-nacua-1
Chris Jackson,JR,WR,4 Rec 39 Yds 9.8 Avg,chris-jackson-12
Gunner Romney,JR,WR,34 Rec 594 Yds 17.5 Avg,gunner-romney-1
Keanu Hill,FR,WR,18 Rec 343 Yds 19.1 Avg,keanu-hill-2
Talmage Gunther,FR,WR,,talmage-gunther-1
Hobbs Nyberg,FR,WR,,hobbs-nyberg-1
Maguire Anderson,FR,WR,,maguire-anderson-1
Brayden Cosper,SO,WR,,brayden-cosper-1
Kody Epps,FR,WR,,kody-epps-1
Terence Fall,FR,WR,,terence-fall-1
Tevita Ika,SO,WR,,tevita-ika-1
Kade Moore,FR,WR,,kade-moore-1
Chase Roberts,FR,WR,,chase-roberts-2
Tanner Wall,FR,WR,,tanner-wall-1
Masen Wake,SO,TE,14 Rec 148 Yds 10.6 Avg,masen-wake-1
Dallin Holker,SO,TE,14 Rec 200 Yds 14.3 Avg,dallin-holker-1
Isaac Rex,FR,TE,18 Rec 191 Yds 10.6 Avg,isaac-rex-1
Carter Wheat,FR,TE,1 Rec 5 Yds 5.0 Avg,carter-wheat-1
Lokana Enos,FR,TE,,lokana-enos-1
