Player,Class,Pos,Summary,Player-additional
Daniel Richardson,FR,QB,191 Cmp 316 Att 2633 Yds 24 TD,daniel-richardson-1
Jacob Sirmon,SO,QB,73 Cmp 119 Att 734 Yds 6 TD,jacob-sirmon-1
Tyler Pape,FR,QB,2 Cmp 2 Att 12 Yds 0 TD,tyler-pape-1
Jase Bauer,FR,QB,,jase-bauer-1
John Keller,SO,QB,,john-keller-3
Bailey Smith,SO,QB,,bailey-smith-2
Lew Nichols,FR,RB,341 Att 1848 Yds 5.4 Avg,lew-nichols-1
Darius Bracy,JR,RB,36 Att 212 Yds 5.9 Avg,darius-bracy-1
Myles Bailey,FR,RB,30 Att 114 Yds 3.8 Avg,myles-bailey-1
Marion Lukes,FR,RB,22 Att 94 Yds 4.3 Avg,marion-lukes-1
De'Javion Stepney,FR,RB,13 Att 109 Yds 8.4 Avg,dejavion-stepney-1
Jake Tafelski,FR,RB,,jake-tafelski-1
Christian Brown,FR,RB,,christian-brown-2
Kobe Lewis,JR,RB,,kobe-lewis-1
Kalil Pimpleton,JR,WR,62 Rec 960 Yds 15.5 Avg,kalil-pimpleton-1
Ke'Andre Collins,FR,WR,1 Rec 7 Yds 7.0 Avg,keandre-collins-1
JaCorey Sullivan,SR,WR,49 Rec 687 Yds 14.0 Avg,jacorey-sullivan-1
Dallas Dixon,JR,WR,45 Rec 701 Yds 15.6 Avg,dallas-dixon-1
Remi Simmons,SR,WR,16 Rec 163 Yds 10.2 Avg,remi-simmons-1
Levar Gumms,JR,WR,4 Rec 32 Yds 8.0 Avg,levar-gumms-1
Kenny Brewer III,FR,WR,1 Rec 6 Yds 6.0 Avg,kenny-brewer-iii-1
Finn Hogan,FR,WR,,finn-hogan-1
Chris Parker,FR,WR,,chris-parker-5
Alex Arch,JR,WR,,alex-arch-1
Tyler Barkeley,JR,WR,,tyler-barkeley-1
Tyson Davis,FR,WR,,tyson-davis-1
Javon Gantt,FR,WR,,javon-gantt-1
Drayton Law,JR,WR,,drayton-law-1
Matt Miller,FR,WR,,matt-miller-9
Chase Peddie,FR,WR,,chase-peddie-1
Eric Reese,FR,WR,,eric-reese-2
Zahir Swann,FR,WR,,zahir-swann-1
Alec Ward,FR,WR,,alec-ward-1
Joel Wilson,SO,TE,31 Rec 367 Yds 11.8 Avg,joel-wilson-1
Hunter Buczkowski,SR,TE,4 Rec 36 Yds 9.0 Avg,hunter-buczkowski-1
Mitchel Collier,FR,TE,,mitchel-collier-1
Cade Conley,FR,TE,,cade-conley-1
Keegan Cossou,JR,TE,,keegan-cossou-1
Lucas Dailey,FR,TE,,lucas-dailey-1
Michael Hegewald,JR,TE,,michael-hegewald-1
Hunter Marcom,FR,TE,,hunter-marcom-1
Alec Palella,FR,TE,,alec-palella-1
Vashon Bailey,FR,OL,,vashon-bailey-1
Caden Dewald,FR,OL,,caden-dewald-1
