Player,Class,Pos,Summary,Player-additional
Holton Ahlers,JR,QB,256 Cmp 414 Att 3126 Yds 18 TD,holton-ahlers-1
Mason Garcia,FR,QB,2 Cmp 3 Att 21 Yds 1 TD,mason-garcia-1
Alex Flinn,FR,QB,,alex-flinn-1
Walter Simmons III,FR,QB,,walter-simmons-iii-1
Ryan Stubblefield,FR,QB,,ryan-stubblefield-1
Keaton Mitchell,FR,RB,174 Att 1132 Yds 6.5 Avg,keaton-mitchell-1
Rahjai Harris,FR,RB,164 Att 579 Yds 3.5 Avg,rahjai-harris-1
Joseph McKay,FR,RB,4 Att 14 Yds 3.5 Avg,joseph-mckay-1
Maceo Donald,SO,RB,,maceo-donald-1
Lorenzo Dorr,SR,RB,,lorenzo-dorr-1
G'Mone Wilson,FR,RB,,gmone-wilson-1
Derrick Alston Jr.,FR,RB,,derrick-alston-jr-1
Asa Barnes,FR,RB,,asa-barnes-1
Kebin Chambers,FR,RB,,kebin-chambers-1
Tyler Snead,SO,WR,67 Rec 855 Yds 12.8 Avg,tyler-snead-1
Jsi Hatfield,SO,WR,15 Rec 294 Yds 19.6 Avg,jsi-hatfield-1
Audie Omotosho,SR,WR,40 Rec 493 Yds 12.3 Avg,audie-omotosho-1
C.J. Johnson,SO,WR,35 Rec 520 Yds 14.9 Avg,cj-johnson-6
Tyler Savage,FR,WR,1 Rec 13 Yds 13.0 Avg,tyler-savage-1
Taji Hudson,FR,WR,,taji-hudson-1
Troy Lewis,FR,WR,,troy-lewis-3
Cole Burgess,FR,WR,,cole-burgess-1
Cam Burnette,JR,WR,,cam-burnette-1
Terrance Copper Jr.,FR,WR,,terrance-copper-jr-1
Kerry King,FR,WR,,kerry-king-1
T.J. Lockley,FR,WR,,tj-lockley-1
Josh Murphy,FR,WR,,josh-murphy-1
Jhari Patterson,FR,WR,,jhari-patterson-1
Andre Pegues,SO,WR,,andre-pegues-1
Ray Rose,FR,WR,,ray-rose-2
Tyree Saunders,FR,WR,,tyree-saunders-2
Ryan Jones,JR,TE,37 Rec 442 Yds 11.9 Avg,ryan-jones-4
Shane Calhoun,FR,TE,18 Rec 190 Yds 10.6 Avg,shane-calhoun-1
Zech Byrd,JR,TE,,zech-byrd-1
Jacob Coleman,FR,TE,,jacob-coleman-1
Bryan Gagg,FR,TE,,bryan-gagg-1
Aaron Jarman,SR,TE,,aaron-jarman-2
Joseph Samson,FR,TE,,joseph-samson-1
Jaquaez Powell,FR,OL,,jaquaez-powell-1
Sean Bailey,SR,OL,,sean-bailey-2
Nick Bernhard,SO,OL,,nick-bernhard-1
Noah Brown,FR,OL,,noah-brown-4
Justin Chase,SR,OL,,justin-chase-1
Canaan Clark,FR,OL,,canaan-clark-1
Grant Copeland,FR,OL,,grant-copeland-1
John Ross Edwards,FR,OL,,john-ross-edwards-1
Hampton Ergle,FR,OL,,hampton-ergle-1
Keziah Everett,FR,OL,,keziah-everett-1
Isaiah Foote,FR,OL,,isaiah-foote-1
Fernando Frye,SR,OL,,fernando-frye-1
Noah Henderson,SO,OL,,noah-henderson-1
Trent Holler,FR,OL,,trent-holler-1
Collin Jennings,FR,OL,,collin-jennings-1
Avery Jones,SO,OL,,avery-jones-3
Grayson Lewis,FR,OL,,grayson-lewis-1
Bailey Malovic,JR,OL,,bailey-malovic-1
Richard Pearce,FR,OL,,richard-pearce-1
Kyjuan Phillips,FR,OL,,kyjuan-phillips-1
Walt Stribling,FR,OL,,walt-stribling-1
Nishad Strother,FR,OL,,nishad-strother-1
Robin Van Der Laan,JR,OL,,robin-van-der-laan-1
Rick D'Abreu,SO,DL,,rick-dabreu-1
Immanuel Hickman,FR,DL,,immanuel-hickman-1
J'Vian McCray,FR,DL,,jvian-mccray-1
Xavier McIver,FR,DL,,xavier-mciver-1
D'Angelo McKinnie,SO,DL,,dangelo-mckinnie-1
Elijah Morris,FR,DL,,elijah-morris-1
Suirad Ware,FR,DL,,suirad-ware-1
Avery Durham,FR,DL,,avery-durham-1
Traveon Freshwater,FR,DL,,traveon-freshwater-1
Henry Garrison,JR,DL,,henry-garrison-1
Justyn Haynesworth,FR,DL,,justyn-haynesworth-1
Jason Shuford,FR,DL,,jason-shuford-1
Kareem Stinson,FR,DL,,kareem-stinson-1
Zakkai Wilson,FR,DL,,zakkai-wilson-1
Chad Stephens,FR,LB,,chad-stephens-2
Myles Berry,JR,LB,,myles-berry-1
Bruce Bivens,SR,LB,,bruce-bivens-1
Teylor Jackson,FR,LB,,teylor-jackson-1
Jeremy Lewis,SO,LB,,jeremy-lewis-3
Aaron Ramseur,SR,LB,,aaron-ramseur-1
Jasiyah Robinson,FR,LB,,jasiyah-robinson-2
Jacoby Simpson,SO,LB,,jacoby-simpson-1
Xavier Smith,JR,LB,,xavier-smith-7
Wistar Allen,FR,LB,,wistar-allen-1
Eric Doctor,FR,LB,,eric-doctor-1
Trevon Hayes,FR,LB,,trevon-hayes-1
Elijah Robinson,SO,LB,,elijah-robinson-3
Dre'Shuwn Terry,JR,LB,,dreshuwn-terry-1
Luke Larsen,FR,P,,luke-larsen-1
Jonn Young,SR,P,,jonn-young-1
Liam Crowley,FR,LS,,liam-crowley-1
Owen Daffer,FR,PK,,owen-daffer-1
Shawn Dourseau,SO,S,,shawn-dourseau-1
Malik Fleming,SO,CB,,malik-fleming-1
D.J. Ford,SR,S,,dj-ford-1
Damel Hickman,SO,CB,,damel-hickman-1
D'Anta Johnson,FR,DT,,danta-johnson-2
Nolan Johnson,SO,CB,,nolan-johnson-1
Devon King,FR,S,,devon-king-1
Demetrius Mauney,SO,S,,demetrius-mauney-1
Ja'Quan McMillian,SO,CB,,jaquan-mcmillian-1
Ty Moss,FR,S,,ty-moss-1
Juan Powell,FR,S,,juan-powell-1
Warren Saba,SR,S,,warren-saba-1
Gerard Stringer,JR,S,,gerard-stringer-1
Teagan Wilk,FR,S,,teagan-wilk-1
Jireh Wilson,SO,S,,jireh-wilson-1
Julius Wood,SO,S,,julius-wood-2
Jayden Chalmers,FR,CB,,jayden-chalmers-1
Nasir Clerk,FR,CB,,nasir-clerk-1
Jonathan Coleman II,FR,S,,jonathan-coleman-ii-1
C.J. Crump,FR,CB,,cj-crump-1
Dru Dotter,FR,S,,dru-dotter-1
Seth Giles,SO,CB,,seth-giles-1
Sully Hardin,FR,PK,,sully-hardin-1
David Laney,FR,S,,david-laney-1
Laith Marjan,FR,PK,,laith-marjan-1
Kingston McKinstry,SO,S,,kingston-mckinstry-1
Max Parker,FR,LS,,max-parker-1
Daren Perry,FR,S,,daren-perry-1
Slade Roy,FR,LS,,slade-roy-1
Carson Smith,FR,PK,,carson-smith-2
Cruz Temple,FR,S,,cruz-temple-1
Sean Tucker,FR,CB,,sean-tucker-1
Zion Wilson,FR,DE,,zion-wilson-1
