Player,Class,Pos,Summary,Player-additional
Darren Grainger,JR,QB,136 Cmp 228 Att 1715 Yds 19 TD,darren-grainger-1
Cornelious Brown,SO,QB,42 Cmp 81 Att 384 Yds 0 TD,cornelious-brown-1
Mikele Colasurdo,FR,QB,2 Cmp 2 Att 2 Yds 0 TD,mikele-colasurdo-1
Stratton Tripp,FR,QB,,stratton-tripp-1
Tucker Gregg,SR,RB,192 Att 953 Yds 5.0 Avg,tucker-gregg-1
Jamyest Williams,SR,RB,128 Att 859 Yds 6.7 Avg,jamyest-williams-1
Destin Coates,SR,RB,46 Att 186 Yds 4.0 Avg,destin-coates-1
Marcus Carroll,SO,RB,33 Att 116 Yds 3.5 Avg,marcus-carroll-1
Antoine Lane,JR,RB,5 Att 31 Yds 6.2 Avg,antoine-lane-1
Jaquan Dixon,FR,RB,,jaquan-dixon-1
Dawson Hill,JR,RB,,dawson-hill-1
Makari Pruitt,SO,RB,,makari-pruitt-1
Terrance Dixon,SR,WR,20 Rec 194 Yds 9.7 Avg,terrance-dixon-1
Cornelius McCoy,SR,WR,12 Rec 110 Yds 9.2 Avg,cornelius-mccoy-1
Robert Lewis,FR,WR,10 Rec 67 Yds 6.7 Avg,robert-lewis-9
Jamari Thrash,SO,WR,32 Rec 452 Yds 14.1 Avg,jamari-thrash-1
Sam Pinckney,JR,WR,27 Rec 311 Yds 11.5 Avg,sam-pinckney-1
Tailique Williams,FR,WR,1 Rec 66 Yds 66.0 Avg,tailique-williams-1
Ja'Cyais Credle,SO,WR,21 Rec 279 Yds 13.3 Avg,jacyais-credle-1
Donavon Grier,SR,WR,3 Rec 4 Yds 1.3 Avg,donavon-grier-1
Kellan Autenrieth,FR,WR,1 Rec 7 Yds 7.0 Avg,kellan-autenrieth-1
Jacob Freeman,FR,WR,1 Rec 3 Yds 3.0 Avg,jacob-freeman-1
Spencer Gaddis,JR,WR,,spencer-gaddis-1
Matlin Marshall,SR,WR,,matlin-marshall-1
Christian Thomas,FR,WR,,christian-thomas-2
Cadarrius Thompson,JR,WR,,cadarrius-thompson-1
Jaylin Tolbert,FR,WR,,jaylin-tolbert-1
Aubry Payne,SR,TE,25 Rec 251 Yds 10.0 Avg,aubry-payne-1
Roger Carter,SR,TE,20 Rec 323 Yds 16.2 Avg,roger-carter-2
Kris Byrd,FR,TE,,kris-byrd-1
Ahmon Green,SO,TE,,ahmon-green-1
Thomas Jones,FR,TE,,thomas-jones-2
Ezeqiel Marion,FR,TE,,ezeqiel-marion-1
Herman McCray,JR,TE,,herman-mccray-1
Marquez Bargman,FR,OL,,marquez-bargman-1
Trey Bonner,SO,OL,,trey-bonner-1
Jonathan Brown,FR,OL,,jonathan-brown-3
Ben Chukwuma,SR,OL,,ben-chukwuma-1
Mason Cook,FR,OL,,mason-cook-1
Montavious Cunningham,FR,OL,,montavious-cunningham-1
Chandler Durham,FR,OL,,chandler-durham-1
Cameron Dye,FR,OL,,cameron-dye-1
Ronald Folkes,SO,OL,,ronald-folkes-1
Cameron Golden,SO,OL,,cameron-golden-1
Jeffery Clark,SO,DL,,jeffery-clark-1
Tylon Dunlap,FR,DL,,tylon-dunlap-1
Thomas Gore,SO,DL,,thomas-gore-1
Ikenine Ochie,SR,DL,,ikenine-ochie-1
Jeremy Butler,FR,DL,,jeremy-butler-1
Jamarion Ellis,FR,DL,,jamarion-ellis-1
Omarion Hammond,FR,DL,,omarion-hammond-1
Fuches Lewis II,FR,DL,,fuches-lewis-ii-1
Santanna Willis,FR,DL,,santanna-willis-1
Justin Abraham,FR,LB,,justin-abraham-1
Deandre Bowman,SR,LB,,deandre-bowman-1
Blake Carroll,SR,LB,,blake-carroll-1
Jacorey Crawford,SR,LB,,jacorey-crawford-1
Chris Davis Jr.,FR,LB,,chris-davis-jr-2
Zach Dixon,JR,LB,,zach-dixon-1
Terrell Gordon,SO,LB,,terrell-gordon-1
Jontrey Hunter,JR,LB,,jontrey-hunter-1
Jordan Jones,FR,LB,,jordan-jones-6
Joseph Lopez,SO,LB,,joseph-lopez-1
Shamar McCollum,JR,LB,,shamar-mccollum-1
Jamil Muhammad,SO,LB,,jamil-muhammad-1
Jhi'Shawn Taylor,SR,LB,,jhishawn-taylor-1
Jordan Veneziale,JR,LB,,jordan-veneziale-1
Kyle Wright,JR,LB,,kyle-wright-5
Marcus Anderson,SO,LB,,marcus-anderson-6
Markland Davis,JR,LB,,markland-davis-1
Evan Graham,FR,LB,,evan-graham-1
Jay Lepkoske,SO,LB,,jay-lepkoske-1
Chance Singleton,JR,DB,,chance-singleton-1
Tristan Lyon,FR,P,,tristan-lyon-1
Chris Bacon,SR,S,,chris-bacon-1
Pat Bartlett,SR,G,,pat-bartlett-1
Bryquice Brown,SO,CB,,bryquice-brown-1
Keon Carter,SR,S,,keon-carter-1
Ronald Cooper,FR,S,,ronald-cooper-1
Javon Denis,SO,DE,,javon-denis-1
Shamarious Gilmore,SR,G,,shamarious-gilmore-1
Seth Glausier,JR,LS,,seth-glausier-1
Tyler Gore,SR,S,,tyler-gore-1
Tyreke Harrison,SO,S,,tyreke-harrison-1
Michael Hayes,SO,PK,,michael-hayes-4
Jaylon Jones,SR,CB,,jaylon-jones-2
Makkah Jordan,FR,S,,makkah-jordan-1
Antavious Lane,SO,S,,antavious-lane-1
Kade Loggins,FR,PK,,kade-loggins-1
Chris Moore,SR,S,,chris-moore-6
Tre Moore,JR,DE,,tre-moore-2
Jaquez Pennimon,SO,S,,jaquez-pennimon-1
Noel Ruiz,SR,PK,,noel-ruiz-1
Cameron Sims,SO,CB,,cameron-sims-1
