Player,Class,Pos,Summary,Player-additional
Brandon Peters,SR,QB,91 Cmp 169 Att 1170 Yds 7 TD,brandon-peters-1
Artur Sitkowski,SO,QB,74 Cmp 148 Att 704 Yds 6 TD,artur-sitkowski-1
Deuce Spann,FR,QB,,deuce-spann-1
Samari Collier,FR,QB,,samari-collier-1
Ryan Johnson,JR,QB,,ryan-johnson-9
Matt Robinson,SO,QB,,matt-robinson-6
Chase Brown,SO,RB,170 Att 1005 Yds 5.9 Avg,chase-brown-3
Josh McCray,FR,RB,112 Att 549 Yds 4.9 Avg,josh-mccray-1
Reggie Love III,FR,RB,44 Att 158 Yds 3.6 Avg,reggie-love-iii-1
Jakari Norwood,SO,RB,27 Att 120 Yds 4.4 Avg,jakari-norwood-1
Mike Epstein,SR,RB,25 Att 107 Yds 4.3 Avg,mike-epstein-2
Chase Hayden,JR,RB,5 Att 18 Yds 3.6 Avg,chase-hayden-1
Matt Bobak,FR,RB,,matt-bobak-1
Nick Fedanzo,FR,RB,,nick-fedanzo-1
Casey Washington,SO,WR,21 Rec 294 Yds 14.0 Avg,casey-washington-1
Isaiah Williams,FR,WR,47 Rec 525 Yds 11.2 Avg,isaiah-williams-7
Donny Navarro III,JR,WR,17 Rec 167 Yds 9.8 Avg,donny-navarro-iii-1
Pat Bryant,FR,WR,6 Rec 98 Yds 16.3 Avg,pat-bryant-1
Carlos Sandy,SO,WR,4 Rec 16 Yds 4.0 Avg,carlos-sandy-1
Dalevon Campbell,SO,WR,3 Rec 50 Yds 16.7 Avg,dalevon-campbell-1
Jafar Armstrong,JR,WR,,jafar-armstrong-2
Keion Battle,FR,WR,,keion-battle-2
Marquez Beason,FR,WR,,marquez-beason-1
Drew Dan,SR,WR,,drew-dan-1
Owen Hickey,FR,WR,,owen-hickey-1
Brian Hightower,JR,WR,,brian-hightower-1
Ty Lindenman,FR,WR,,ty-lindenman-1
Miles Scott,FR,WR,,miles-scott-1
Khmari Thompson,SO,WR,,khmari-thompson-1
Peyton Vining,JR,WR,,peyton-vining-1
Daniel Barker,JR,TE,18 Rec 202 Yds 11.2 Avg,daniel-barker-1
Luke Ford,JR,TE,15 Rec 114 Yds 7.6 Avg,luke-ford-1
Tip Reiman,FR,TE,3 Rec 43 Yds 14.3 Avg,tip-reiman-1
Michael Marchese,SR,TE,2 Rec 30 Yds 15.0 Avg,michael-marchese-1
Lucas Althaus,FR,TE,,lucas-althaus-1
Michael Cerniglia,FR,TE,,michael-cerniglia-1
Cooper Davis,FR,TE,,cooper-davis-1
Preston Engel,SO,TE,,preston-engel-1
Branden Hohenstien,SR,TE,,branden-hohenstien-1
Griffin Moore,FR,TE,,griffin-moore-1
