 
Player,Class,Pos,Summary,Player-additional
Michael Penix Jr.,JR,QB,87 Cmp 162 Att 939 Yds 4 TD,michael-penix-jr-1
Jack Tuttle,JR,QB,45 Cmp 87 Att 423 Yds 2 TD,jack-tuttle-1
Donaven McCulley,FR,QB,35 Cmp 82 Att 475 Yds 2 TD,donaven-mcculley-1
Grant Gremel,SO,QB,32 Cmp 58 Att 269 Yds 1 TD,grant-gremel-1
Will Jontz,SO,QB,,will-jontz-1
Zach Merrill,SO,QB,,zach-merrill-1
Dexter Williams II,FR,QB,,dexter-williams-ii-1
Stephen Carr,SR,RB,155 Att 600 Yds 3.9 Avg,stephen-carr-2
Davion Ervin-Poindexter,JR,RB,44 Att 227 Yds 5.2 Avg,davion-ervin-poindexter-1
Chris Childers,JR,RB,37 Att 137 Yds 3.7 Avg,chris-childers-2
Tim Baldwin Jr.,SO,RB,28 Att 103 Yds 3.7 Avg,tim-baldwin-jr-1
Charlie Spegal,FR,RB,19 Att 62 Yds 3.3 Avg,charlie-spegal-1
David Holloman,FR,RB,11 Att 34 Yds 3.1 Avg,david-holloman-1
Trent Howland,FR,RB,6 Att 20 Yds 3.3 Avg,trent-howland-1
David Ellis,JR,RB,3 Att 12 Yds 4.0 Avg,david-ellis-2
Malachi Holt-Bennett,FR,WR,1 Rec 29 Yds 29.0 Avg,malachi-holt-bennett-1
Ty Fryfogle,SR,WR,46 Rec 512 Yds 11.1 Avg,ty-fryfogle-1
D.J. Matthews,SR,WR,13 Rec 165 Yds 12.7 Avg,dj-matthews-1
Jacolby Hewitt,JR,WR,8 Rec 47 Yds 5.9 Avg,jacolby-hewitt-1
Miles Marshall,JR,WR,22 Rec 311 Yds 14.1 Avg,miles-marshall-1
Javon Swinton,SO,WR,15 Rec 115 Yds 7.7 Avg,javon-swinton-1
Camron Buckley,SR,WR,3 Rec 20 Yds 6.7 Avg,camron-buckley-1
Christian Harris,SR,WR,,christian-harris-4
David Baker,FR,WR,,david-baker-2
Da'Shaun Brown,SO,WR,,dashaun-brown-1
McCall Ray,SO,WR,,mccall-ray-1
Jaquez Smith,FR,WR,,jaquez-smith-1
Jordyn Williams,FR,WR,,jordyn-williams-1
Peyton Hendershot,SR,TE,46 Rec 543 Yds 11.8 Avg,peyton-hendershot-1
AJ Barner,SO,TE,14 Rec 162 Yds 11.6 Avg,aj-barner-1
Matt Bjorson,SR,TE,8 Rec 69 Yds 8.6 Avg,matt-bjorson-1
Ryan Barnes,JR,TE,,ryan-barnes-1
Sam Daugstrup,FR,TE,,sam-daugstrup-1
Aaron Steinfeldt,FR,TE,,aaron-steinfeldt-1
Khameron Taylor,SR,TE,,khameron-taylor-1
Trey Walker,SO,TE,,trey-walker-1
Caleb Jones,SR,OL,,caleb-jones-2
Mike Katic,SO,OL,,mike-katic-1
Matthew Bedford,JR,OL,,matthew-bedford-1
Kahlil Benson,FR,OL,,kahlil-benson-1
Chris Bradberry,SR,OL,,chris-bradberry-1
