Player,Class,Pos,Summary,Player-additional
Jason Bean,JR,QB,102 Cmp 181 Att 1252 Yds 6 TD,jason-bean-1
Jalon Daniels,SO,QB,81 Cmp 117 Att 860 Yds 7 TD,jalon-daniels-1
Miles Kendrick,SR,QB,12 Cmp 18 Att 106 Yds 2 TD,miles-kendrick-1
Ben Easters,FR,QB,,ben-easters-1
Miles Fallin,SR,QB,,miles-fallin-1
Conrad Hawley,FR,QB,,conrad-hawley-1
Jordan Preston,SO,QB,,jordan-preston-1
Devin Neal,FR,RB,158 Att 707 Yds 4.5 Avg,devin-neal-3
Amauri Pesek-Hickson,FR,RB,60 Att 218 Yds 3.6 Avg,amauri-pesek-hickson-1
Velton Gardner,JR,RB,29 Att 56 Yds 1.9 Avg,velton-gardner-1
Malik Johnson,FR,RB,,malik-johnson-1
Gayflor Flomo,SR,RB,,gayflor-flomo-1
Jack Codwell,FR,RB,,jack-codwell-1
Rob Fiorentino,JR,RB,,rob-fiorentino-1
Daniel Hishaw Jr.,SO,RB,,daniel-hishaw-jr-1
DeAndre Thomas Jr.,FR,RB,,deandre-thomas-jr-1
Torry Locklin,SO,WR,3 Rec 24 Yds 8.0 Avg,torry-locklin-1
Trevor Wilson,SO,WR,27 Rec 364 Yds 13.5 Avg,trevor-wilson-1
Steven McBride,SO,WR,15 Rec 88 Yds 5.9 Avg,steven-mcbride-1
Kwamie Lassiter II,SR,WR,59 Rec 653 Yds 11.1 Avg,kwamie-lassiter-ii-1
Lawrence Arnold,FR,WR,27 Rec 316 Yds 11.7 Avg,lawrence-arnold-2
Luke Grimm,SO,WR,22 Rec 349 Yds 15.9 Avg,luke-grimm-1
Tristan Golightly,SO,WR,1 Rec 9 Yds 9.0 Avg,tristan-golightly-1
Jamahl Horne,JR,WR,,jamahl-horne-1
Kyler Pearson,FR,WR,,kyler-pearson-1
Quentin Skinner,FR,WR,,quentin-skinner-2
Jordan Brown,FR,WR,,jordan-brown-7
Jordan Medley,SO,WR,,jordan-medley-1
Majik Rector,FR,WR,,majik-rector-1
Kelan Robinson,FR,WR,,kelan-robinson-1
Tanaka Scott,FR,WR,,tanaka-scott-1
Kevin Terry,JR,WR,,kevin-terry-1
Mason Fairchild,JR,TE,13 Rec 128 Yds 9.8 Avg,mason-fairchild-1
Trevor Kardell,FR,TE,5 Rec 86 Yds 17.2 Avg,trevor-kardell-1
Mac Copeland,JR,TE,,mac-copeland-1
Mason Brotherton,FR,TE,,mason-brotherton-1
Will Huggins,FR,TE,,will-huggins-2
Mack Moeller,FR,TE,,mack-moeller-1
Armaj Adams-Reed,SO,OL,,armaj-adams-reed-1
Earl Bostick Jr.,SR,OL,,earl-bostick-jr-1
Bryce Cabeldue,FR,OL,,bryce-cabeldue-1
Malik Clark,SR,OL,,malik-clark-1
Jake Eisenhauer,FR,OL,,jake-eisenhauer-1
Michael Ford Jr.,FR,OL,,michael-ford-jr-1
Joseph Gilbertson,SR,OL,,joseph-gilbertson-1
Colin Grunhard,JR,OL,,colin-grunhard-1
Chris Hughes,SR,OL,,chris-hughes-2
Garrett Jones,FR,OL,,garrett-jones-2
Hank Kelly,FR,OL,,hank-kelly-1
Joe Krause,FR,OL,,joe-krause-1
Adagio Lopeti,SR,OL,,adagio-lopeti-1
Nicholas Martinez,FR,OL,,nicholas-martinez-1
Mike Novitsky,JR,OL,,mike-novitsky-1
Corey Robinson II,FR,OL,,corey-robinson-ii-1
Danny Robinson,FR,OL,,danny-robinson-2
Jackson Satterwhite,FR,OL,,jackson-satterwhite-1
Ronaldo Sigers,FR,OL,,ronaldo-sigers-1
De'Kedrick Sterns,FR,OL,,dekedrick-sterns-1
Jack Werner,SO,OL,,jack-werner-1
Nick Williams,JR,OL,,nick-williams-8
Larson Workman,FR,OL,,larson-workman-1
Jacob Borcila,SO,K,,jacob-borcila-1
Tabor Allen,SO,K,,tabor-allen-1
Jelani Arnold,SR,DL,,jelani-arnold-1
Sam Burt,SR,DL,,sam-burt-2
Kenean Caldwell,SO,DL,,kenean-caldwell-1
Malcolm Lee,SR,DL,,malcolm-lee-1
Ronald McGee,SR,DL,,ronald-mcgee-1
Jereme Robinson,SO,DL,,jereme-robinson-1
Caleb Sampson,SR,DL,,caleb-sampson-1
Caleb Taylor,FR,DL,,caleb-taylor-3
Eddie Wilson,SR,DL,,eddie-wilson-2
Tommy Dunn Jr.,FR,DL,,tommy-dunn-jr-1
D.J. Withers,FR,DL,,dj-withers-1
Taiwan Berryhill,SO,LB,,taiwan-berryhill-1
Nate Betts,SR,LB,,nate-betts-1
Nick Channel,JR,LB,,nick-channel-1
Jay Dineen,SR,LB,,jay-dineen-1
Dylan Downing,SO,LB,,dylan-downing-1
Rich Miller,JR,LB,,rich-miller-3
Gavin Potter,JR,LB,,gavin-potter-1
Cornell Wheeler,FR,LB,,cornell-wheeler-1
Krishawn Brown,FR,LB,,krishawn-brown-1
Cole Mondi,FR,LB,,cole-mondi-1
Alonso Person,FR,LB,,alonso-person-1
Cole Petrus,FR,LB,,cole-petrus-1
James Wright,FR,LB,,james-wright-7
Reis Vernon,SO,P,,reis-vernon-1
Grayden Addison,FR,P,,grayden-addison-1
Jared Casey,FR,FB,,jared-casey-2
Cobee Bryant,FR,CB,,jacobee-bryant-1
O.J. Burroughs,FR,S,,oj-burroughs-1
Cam'Ron Dabney,FR,CB,,camron-dabney-1
Zion Debose,SR,DE,,zion-debose-1
Ra'Mello Dotson,FR,CB,,ramello-dotson-1
Jayson Gilliom,FR,S,,jayson-gilliom-1
Hayden Hatcher,SR,DE,,hayden-hatcher-1
Luke Hosford,SO,LS,,luke-hosford-1
Kyron Johnson,SR,DE,,kyron-johnson-3
Kwinton Lassiter,JR,CB,,kwinton-lassiter-1
Johnquai Lewis,FR,S,,johnquai-lewis-1
Kenny Logan Jr.,JR,S,,kenny-logan-jr-1
Duece Mayberry,SO,CB,,duece-mayberry-1
Steven Parker,SO,DE,,steven-parker-2
Ricky Thomas,SR,S,,ricky-thomas-4
Jeremy Webb,SR,CB,,jeremy-webb-1
Edwin White-Schultz,FR,S,,edwin-white-schultz-1
D'Marion Alexander,FR,DE,,dmarion-alexander-1
Donovan Gaines,FR,CB,,donovan-gaines-1
Ben Miles,SR,FB,,ben-miles-1
Landon Nelson,FR,S,,landon-nelson-1
Jaden Robinson,FR,CB,,jaden-robinson-2
Spencer Roe,JR,FB,,spencer-roe-1
Takulve Williams,SR,S,,takulve-williams-1
DeVonte Wilson,FR,CB,,devonte-wilson-1
