Player,Class,Pos,Summary,Player-additional
Will Levis,JR,QB,233 Cmp 353 Att 2826 Yds 24 TD,will-levis-1
Beau Allen,SO,QB,8 Cmp 12 Att 92 Yds 0 TD,beau-allen-2
Patrick Delahunty,JR,QB,,patrick-delahunty-1
Nik Scalzo,SO,QB,,nik-scalzo-1
Kaiya Sheron,FR,QB,,kaiya-sheron-1
Christopher Rodriguez Jr.,JR,RB,225 Att 1378 Yds 6.1 Avg,christopher-rodriguez-jr-1
Kavosiey Smoke,JR,RB,81 Att 416 Yds 5.1 Avg,kavosiey-smoke-1
Jutahn McClain,SO,RB,34 Att 165 Yds 4.9 Avg,jutahn-mcclain-1
La'Vell Wright,FR,RB,9 Att 118 Yds 13.1 Avg,lavell-wright-1
Tyler Markray,JR,RB,2 Att 10 Yds 5.0 Avg,tyler-markray-1
Travis Tisdale,SO,RB,1 Att 4 Yds 4.0 Avg,travis-tisdale-1
Torrance Davis,SO,RB,,torrance-davis-1
Chaucey Magwood,FR,WR,1 Rec 17 Yds 17.0 Avg,chaucey-magwood-1
Wan'Dale Robinson,JR,WR,104 Rec 1334 Yds 12.8 Avg,wandale-robinson-1
Michael Drennen II,SO,WR,2 Rec 3 Yds 1.5 Avg,michael-drennen-ii-1
Josh Ali,SR,WR,41 Rec 601 Yds 14.7 Avg,josh-ali-1
Izayah Cummings,SO,WR,14 Rec 195 Yds 13.9 Avg,izayah-cummings-1
DeMarcus Harris,SO,WR,12 Rec 150 Yds 12.5 Avg,demarcus-harris-1
Isaiah Epps,SR,WR,11 Rec 171 Yds 15.5 Avg,isaiah-epps-1
Rashaan Lewis,JR,WR,2 Rec 4 Yds 2.0 Avg,rashaan-lewis-1
Tae Tae Crumes,SO,WR,1 Rec 10 Yds 10.0 Avg,tae-tae-crumes-1
Kaleb Cheek,SO,WR,,kaleb-cheek-1
Dekel Crowdus,FR,WR,,dekel-crowdus-1
Trey Dennis,FR,WR,,trey-dennis-1
Darren Edmond,SR,WR,,darren-edmond-1
Luke Leeper,SO,WR,,luke-leeper-1
Chris Lewis,FR,WR,,chris-lewis-7
Tre'von Morgan,SO,WR,,trevon-morgan-1
Devonte Ross,FR,WR,,devonte-ross-1
Earnest Sanders IV,FR,WR,,earnest-sanders-iv-1
Clevan Thomas,SR,WR,,clevan-thomas-2
Justin Rigg,SR,TE,20 Rec 189 Yds 9.5 Avg,justin-rigg-1
Brenden Bates,JR,TE,11 Rec 70 Yds 6.4 Avg,brenden-bates-1
Jordan Dingle,FR,TE,2 Rec 54 Yds 27.0 Avg,jordan-dingle-1
Parker Estes,FR,TE,,parker-estes-1
Keaton Upshaw,JR,TE,,keaton-upshaw-1
Jai Williams,FR,TE,,jai-williams-2
Jonathan Berry,FR,OL,,jonathan-berry-2
Jager Burton,FR,OL,,jager-burton-1
Jeremy Flax,SO,OL,,jeremy-flax-1
Josh Jones,FR,OL,,josh-jones-6
Lucas Padgett,FR,OL,,lucas-padgett-1
Jake Pope,SO,OL,,jake-pope-1
Paul Rodriguez,FR,OL,,paul-rodriguez-2
Dare Rosenthal,JR,OL,,dare-rosenthal-1
