Player,Class,Pos,Summary,Player-additional
Austin Kendall,SR,QB,148 Cmp 243 Att 1884 Yds 13 TD,austin-kendall-1
JD Head,FR,QB,47 Cmp 88 Att 559 Yds 6 TD,jd-head-1
Aaron Allen,SO,QB,50 Cmp 77 Att 620 Yds 2 TD,aaron-allen-1
Luke Anthony,SR,QB,,luke-anthony-1
Caleb Holstein,FR,QB,,caleb-holstein-1
Marcus Williams Jr.,SR,RB,194 Att 787 Yds 4.1 Avg,marcus-williams-12
Greg Garner,JR,RB,54 Att 216 Yds 4.0 Avg,greg-garner-1
Keyon Brooks,SO,RB,27 Att 86 Yds 3.2 Avg,keyon-brooks-1
Harlan Dixon,FR,RB,25 Att 112 Yds 4.5 Avg,harlan-dixon-1
Kevin Dominique,SR,RB,10 Att 49 Yds 4.9 Avg,kevin-dominique-1
Keyon Henry-Brooks,SO,RB,5 Att 23 Yds 4.6 Avg,keyon-henry-brooks-1
Marquis Crosby,FR,RB,,marquis-crosby-1
Bub Means,FR,WR,24 Rec 470 Yds 19.6 Avg,bub-means-1
Tahj Magee,SO,WR,3 Rec 40 Yds 13.3 Avg,tahj-magee-1
Kyle Maxwell,FR,WR,9 Rec 119 Yds 13.2 Avg,kyle-maxwell-2
Smoke Harris,SO,WR,71 Rec 756 Yds 10.6 Avg,smoke-harris-1
Solomon Lewis,FR,WR,,solomon-lewis-1
Tre Harris,FR,WR,40 Rec 562 Yds 14.1 Avg,tre-harris-1
Griffin Hebert,JR,WR,27 Rec 289 Yds 10.7 Avg,griffin-hebert-1
Isaiah Graham,SR,WR,20 Rec 283 Yds 14.2 Avg,isaiah-graham-3
Samuel Emilus,SR,WR,17 Rec 257 Yds 15.1 Avg,samuel-emilus-1
Praise Okorie,SR,WR,1 Rec 4 Yds 4.0 Avg,praise-okorie-1
Matthew McCallister,FR,WR,,matthew-mccallister-1
Jawaun Johnson,JR,WR,,jawaun-johnson-1
CJ McWilliams,FR,WR,,cj-mcwilliams-2
Jerrod Means,FR,WR,,jerrod-means-1
Joseph Walker,FR,WR,,joseph-walker-1
Ivan Thomas,SO,TE,,ivan-thomas-2
Abraham Delfin,JR,OL,,abraham-delfin-1
Bert Hale,FR,OL,,bert-hale-1
Kenneth Bannister,FR,OL,,kenneth-bannister-1
Erron Bean,FR,OL,,erron-bean-1
Jonah Brewster,FR,OL,,jonah-brewster-1
Carson Bruno,FR,OL,,carson-bruno-1
Chris Fournier,SR,OL,,chris-fournier-1
