Player,Class,Pos,Summary,Player-additional
Grant Wells,FR,QB,295 Cmp 444 Att 3535 Yds 16 TD,grant-wells-1
Luke Zban,SO,QB,26 Cmp 39 Att 249 Yds 2 TD,luke-zban-1
Cam Fancher,FR,QB,3 Cmp 6 Att 46 Yds 0 TD,cam-fancher-1
Cade Cunningham,FR,QB,,cade-cunningham-1
Seth Smith,FR,QB,,seth-smith-3
Ty Tarpley,FR,QB,,ty-tarpley-1
Rasheen Ali,FR,RB,250 Att 1401 Yds 5.6 Avg,rasheen-ali-1
Sheldon Evans,JR,RB,69 Att 303 Yds 4.4 Avg,sheldon-evans-1
Ethan Payne,FR,RB,20 Att 89 Yds 4.5 Avg,ethan-payne-1
Knowledge McDaniel,SO,RB,13 Att 107 Yds 8.2 Avg,knowledge-mcdaniel-1
Kevin Henderson,JR,RB,,kevin-henderson-3
Lawrence Papillon,SO,RB,,lawrence-papillon-1
Arthur Rodgers,FR,RB,,arthur-rodgers-1
Willie Johnson,SR,WR,32 Rec 625 Yds 19.5 Avg,willie-johnson-5
Corey Gammage,SO,WR,78 Rec 869 Yds 11.1 Avg,corey-gammage-1
Shadeed Ahmed,SO,WR,38 Rec 463 Yds 12.2 Avg,shadeed-ahmed-1
Jayden Harrison,SO,WR,24 Rec 269 Yds 11.2 Avg,jayden-harrison-1
Talik Keaton,SO,WR,19 Rec 268 Yds 14.1 Avg,talik-keaton-1
Stone Scarcelle,JR,WR,8 Rec 122 Yds 15.3 Avg,stone-scarcelle-1
EJ Horton,FR,WR,4 Rec 59 Yds 14.8 Avg,ej-horton-1
Caleb McMillan,SO,WR,4 Rec 50 Yds 12.5 Avg,caleb-mcmillan-1
Ethan Hahn,FR,WR,2 Rec 20 Yds 10.0 Avg,ethan-hahn-1
Caleb Coombs,FR,WR,1 Rec 17 Yds 17.0 Avg,caleb-coombs-1
Timothy Allen,JR,WR,,timothy-allen-1
Charles Montgomery,FR,WR,,charles-montgomery-1
Ethan Parsons,FR,WR,,ethan-parsons-1
Jack Stakem,SO,WR,,jack-stakem-1
Miles Williams,FR,WR,,miles-williams-3
Xavier Gaines,SR,TE,42 Rec 483 Yds 11.5 Avg,xavier-gaines-2
Devin Miller,JR,TE,10 Rec 89 Yds 8.9 Avg,devin-miller-1
Garet Morrell,SR,TE,2 Rec 29 Yds 14.5 Avg,garet-morrell-1
Hayden Hagler,SO,TE,,hayden-hagler-1
Amir Richardson,FR,TE,,amir-richardson-1
Cooper Thunell,FR,TE,,cooper-thunell-1
Alex Mollette,SR,OL,,alex-mollette-1
Kendrick Sartor,JR,OL,,kendrick-sartor-1
Tristen Bittner,FR,OL,,tristen-bittner-1
Ethan Driskell,FR,OL,,ethan-driskell-1
Chris Everhart,FR,OL,,chris-everhart-1
Steven Faucheux,SO,OL,,steven-faucheux-1
Chris Graham,FR,OL,,chris-graham-2
Garrett Green,FR,OL,,garrett-green-4
Emmanuel Haefele,JR,OL,,emmanuel-haefele-1
Tyshawn Hurst,SO,OL,,tyshawn-hurst-1
Ethan Ingram,FR,OL,,ethan-ingram-1
Xavier Ingram,JR,OL,,xavier-ingram-1
Jacob Kirkendoll,JR,OL,,jacob-kirkendoll-1
James Magee,JR,OL,,james-magee-3
Eric Meeks,FR,OL,,eric-meeks-1
Jack Murphy,FR,OL,,jack-murphy-4
Logan Osborn,FR,OL,,logan-osborn-1
Billy Ross,SR,OL,,billy-ross-1
Alex Salguero,SR,OL,,alex-salguero-1
Dalton Tucker,SO,OL,,dalton-tucker-1
Will Ulmer,SR,OL,,will-ulmer-1
Shane Ciucci,SO,K,,shane-ciucci-1
Avery Musick,FR,K,,avery-musick-1
Andrew Sanders,SR,K,,andrew-sanders-1
