Player,Class,Pos,Summary,Player-additional
Seth Henigan,FR,QB,235 Cmp 393 Att 3322 Yds 25 TD,seth-henigan-1
Peter Parrish,SO,QB,31 Cmp 48 Att 215 Yds 0 TD,peter-parrish-1
Keilon Brown,FR,QB,,keilon-brown-1
Grant Gunnell,JR,QB,,grant-gunnell-1
Hunter Hulsey,SO,QB,,hunter-hulsey-1
Rodrigues Clark,JR,RB,79 Att 387 Yds 4.9 Avg,rodrigues-clark-1
Gabriel Rogers,SR,RB,15 Rec 179 Yds 11.9 Avg,gabriel-rogers-1
Brandon Thomas,FR,RB,116 Att 669 Yds 5.8 Avg,brandon-thomas-5
Marquavius Weaver,SR,RB,48 Att 165 Yds 3.4 Avg,marquavius-weaver-1
Asa Martin,JR,RB,34 Att 108 Yds 3.2 Avg,asa-martin-1
Kylan Watkins,SR,RB,15 Att 51 Yds 3.4 Avg,kylan-watkins-1
Cameron Fleming,JR,RB,1 Rec 14 Yds 14.0 Avg,cameron-fleming-2
An'darius Coffey,FR,RB,,andarius-coffey-1
Tharon Davis,FR,RB,,tharon-davis-1
JP Martin,FR,RB,,jp-martin-1
Calvin Austin III,SR,WR,74 Rec 1149 Yds 15.5 Avg,calvin-austin-iii-1
Jason Ivory,SO,WR,29 Rec 413 Yds 14.2 Avg,jason-ivory-1
Eddie Lewis,JR,WR,22 Rec 349 Yds 15.9 Avg,eddie-lewis-2
Koby Drake,FR,WR,8 Rec 125 Yds 15.6 Avg,koby-drake-1
Marcayll Jones,FR,WR,8 Rec 94 Yds 11.8 Avg,marcayll-jones-1
Roc Taylor,FR,WR,8 Rec 117 Yds 14.6 Avg,roc-taylor-1
Khi Mathieu,FR,WR,3 Rec 46 Yds 15.3 Avg,khi-mathieu-1
Cameron Wright,FR,WR,1 Rec 31 Yds 31.0 Avg,cameron-wright-2
Braxton Crouse,FR,WR,,braxton-crouse-1
Brandon Harris,FR,WR,,brandon-harris-12
Miles Ingram,SO,WR,,miles-ingram-1
Diego Martinez,SO,WR,,diego-martinez-2
Shamar Nash,SO,WR,,shamar-nash-1
Jeremiah Oatsvall,SR,WR,,jeremiah-oatsvall-1
Ka'dedrick Richardson,JR,WR,,kadedrick-richardson-1
Jeremy Tate Jr.,JR,WR,,jeremy-tate-1
Kobe Webster,FR,WR,,kobe-webster-1
Sean Dykes,SR,TE,48 Rec 657 Yds 13.7 Avg,sean-dykes-2
Caden Prieskorn,SO,TE,4 Rec 46 Yds 11.5 Avg,caden-prieskorn-1
Drew Martin,SO,TE,,drew-martin-2
Davin Dyal,SO,TE,,davin-dyal-1
Reid Flanagan,FR,TE,,reid-flanagan-1
John Hassell,SR,TE,,john-hassell-1
Hunter Higdon,FR,TE,,hunter-higdon-1
Errington McRae,FR,TE,,errington-mcrae-1
Evan Fields,JR,OL,,evan-fields-2
Jonah Gambill,FR,OL,,jonah-gambill-1
Brackston Alford,FR,OL,,brackston-alford-1
Conner Coleman,FR,OL,,conner-coleman-1
Matt Dale,SR,OL,,matt-dale-1
Michael Denson,JR,OL,,michael-denson-2
Devonte Dobbs,SO,OL,,devonte-dobbs-1
Isaac Ellis,JR,OL,,isaac-ellis-1
Mitchell Gildehaus,FR,OL,,mitchell-gildehaus-1
Jacob Likes,SO,OL,,jacob-likes-1
Tim Marmino,FR,OL,,tim-marmino-1
Austin Myers,SR,OL,,austin-myers-1
Rodney Newsom,FR,OL,,rodney-newsom-1
Dylan Parham,SR,OL,,dylan-parham-2
Makylan Pounders,FR,OL,,makylan-pounders-1
Jakari Robinson,JR,OL,,jakari-robinson-1
Cade Taylor,FR,OL,,cade-taylor-1
Noah Upchurch,FR,OL,,noah-upchurch-1
Royce White,FR,OL,,royce-white-1
David Kemp,FR,K,,david-kemp-1
Noah Grant,FR,K,,noah-grant-1
Caleb Hawkins,FR,K,,caleb-hawkins-1
Jaylon Allen,JR,DL,,jaylon-allen-1
Zy Brockington,FR,DL,,zy-brockington-1
John Cartwright,JR,DL,,john-cartwright-2
Wardalis Ducksworth,SR,DL,,wardalis-duckworth-1
Camron Jackson,FR,DL,,camron-jackson-1
Morris Joseph Jr.,SR,DL,,morris-joseph-jr-1
Meonta Kimbrough,SO,DL,,meonta-kimbrough-1
Kajuan Robinson,FR,DL,,kajuan-robinson-1
John Tate,SR,DL,,john-tate-1
Maurice White,SR,DL,,maurice-white-3
Cameron Blaylock,FR,DL,,cameron-blaylock-1
Greg Emerson,JR,DL,,greg-emerson-1
Javon Nelson,FR,DL,,javon-nelson-1
Kayode Oladele,JR,DL,,kayode-oladele-1
Hank Pearson,FR,DL,,hank-pearson-1
Devon Robinson,JR,DL,,devon-robinson-1
James Stewart,FR,DL,,james-stewart-7
Johnny Westbrook,JR,DL,,johnny-westbrook-1
William Whitlow Jr.,FR,DL,,william-whitlow-jr-1
Keith Brown Jr.,SR,LB,,keith-brown-jr-1
Jalil Clemons,JR,LB,,jalil-clemons-1
Xavier Cullens,SR,LB,,xavier-cullens-1
Cincir Evans,JR,LB,,cincir-evans-1
Cole Mashburn,SO,LB,,cole-mashburn-1
Thomas Pickens,SR,LB,,thomas-pickens-1
JJ Russell,SR,LB,,jj-russell-1
Ja'Len Sims,SO,LB,,jalen-sims-1
Jaylen Dollar,FR,LB,,jaylen-dollar-1
Bryce Edmondson,FR,LB,,bryce-edmondson-1
Andrew Jones,FR,LB,,andrew-jones-7
Rush Lansdell,FR,LB,,rush-lansdell-1
Davian Mayo,FR,LB,,davian-mayo-1
Jared Nedd,FR,LB,,jared-nedd-1
Spencer Rich,FR,LB,,spencer-rich-1
Dedrick Smith,FR,LB,,dedrick-smith-1
Braunson White,FR,LB,,braunson-white-1
Julian Barnett,SO,DB,,julian-barnett-1
Sanchez Blake Jr.,SR,DB,,sanchez-blake-jr-1
Jacobi Francis,SR,DB,,jacobi-francis-1
Joshua Hastings,FR,DB,,joshua-hastings-1
Quindell Johnson,JR,DB,,quindell-johnson-1
Tyrez Lindsey,SR,DB,,tyrez-lindsey-1
Sylvonta Oliver,SR,DB,,sylvonta-oliver-1
Rodney Owens,SR,DB,,rodney-owens-1
