Player,Class,Pos,Summary,Player-additional
Brett Gabbert,SO,QB,178 Cmp 299 Att 2648 Yds 26 TD,brett-gabbert-1
AJ Mayer,SO,QB,68 Cmp 125 Att 946 Yds 6 TD,aj-mayer-1
Aveon Smith,FR,QB,,aveon-smith-1
Alec Bornhorst,SO,QB,,alec-bornhorst-1
Orin Edwards,FR,QB,,orin-edwards-1
Henry Hesson,FR,QB,,henry-hesson-1
Kamell Smith,FR,QB,,kamell-smith-1
Ben Tarpey,FR,QB,,ben-tarpey-1
Keyon Mozee,FR,RB,123 Att 557 Yds 4.5 Avg,keyon-mozee-1
Kevin Davis,FR,RB,61 Att 341 Yds 5.6 Avg,kevin-davis-8
Kenny Tracy,FR,RB,55 Att 305 Yds 5.5 Avg,kenny-tracy-1
Tyre Shelton,SO,RB,54 Att 245 Yds 4.5 Avg,tyre-shelton-1
David Afari,FR,RB,31 Att 151 Yds 4.9 Avg,david-afari-1
Jaylon Bester,SR,RB,13 Att 44 Yds 3.4 Avg,jaylon-bester-1
Darez Snider,FR,RB,9 Att 28 Yds 3.1 Avg,darez-snider-1
Davion Johnson,JR,RB,,davion-johnson-2
Quadre Nicholson,FR,RB,,quadre-nicholson-1
Jalen Walker,JR,WR,31 Rec 398 Yds 12.8 Avg,jalen-walker-2
Jack Sorenson,SR,WR,76 Rec 1406 Yds 18.5 Avg,jack-sorenson-1
Mac Hippenhammer,JR,WR,48 Rec 786 Yds 16.4 Avg,mac-hippenhammer-1
Devon Dorsey,FR,WR,3 Rec 34 Yds 11.3 Avg,devon-dorsey-1
Jeremiah Batiste,FR,WR,1 Rec 5 Yds 5.0 Avg,jeremiah-batiste-1
James Burns,SO,WR,1 Rec 17 Yds 17.0 Avg,james-burns-2
Chris Cavalaris,SO,WR,,chris-cavalaris-1
Austin Robinson,SO,WR,,austin-robinson-2
James Besett,FR,WR,,james-besett-1
Angelo Butts,FR,WR,,angelo-butts-1
Nick Manson,FR,WR,,nick-manson-1
Matthew Reardon,FR,WR,,matthew-reardon-1
Harrison Truitt,FR,WR,,harrison-truitt-1
Jace Williams,FR,WR,,jace-williams-1
Jack DeJarld,FR,TE,1 Rec 7 Yds 7.0 Avg,jack-dejarld-1
Jack Coldiron,FR,TE,16 Rec 293 Yds 18.3 Avg,jack-coldiron-1
Andrew Homer,SR,TE,13 Rec 158 Yds 12.2 Avg,andrew-homer-1
Nate Muersch,FR,TE,5 Rec 81 Yds 16.2 Avg,nate-muersch-1
Rhett Williams,FR,TE,3 Rec 45 Yds 15.0 Avg,rhett-williams-1
Derek Paulson,FR,TE,,derek-paulson-1
Haakon Van Beynen,FR,TE,,haakon-van-beynen-1
Rusty Feth,SO,OL,,rusty-feth-1
David Redding,JR,OL,,david-redding-1
Evan Azzara,FR,OL,,evan-azzara-1
Kolby Borders,FR,OL,,kolby-borders-1
Brody Carper,SO,OL,,brody-carper-1
Bennett Clark,SO,OL,,bennett-clark-1
Dominic Collado,FR,OL,,dominic-collado-1
Reid Holskey,FR,OL,,reid-holskey-1
Ben Jackson,FR,OL,,ben-jackson-1
Will Jados,FR,OL,,will-jados-1
Charlie Nank,FR,OL,,charlie-nank-1
Pete Nank,JR,OL,,pete-nank-1
Ryan O'Hair,FR,OL,,ryan-ohair-1
Caleb Shaffer,SO,OL,,caleb-shaffer-1
Caleb Siech,FR,OL,,caleb-siech-1
Andrew Todd,SO,OL,,andrew-todd-1
Sam Vaughan,FR,OL,,sam-vaughan-1
Alec Bevelhimer,FR,K,,alec-bevelhimer-1
Dom Dzioban,FR,K,,dom-dzioban-1
Henry Beckett,FR,K,,henry-beckett-1
Kyle Bryant,FR,DL,,kyle-bryant-3
Kameron Butler,JR,DL,,kameron-butler-1
Anthony Collier,FR,DL,,anthony-collier-1
Marlon Dawson Jr.,FR,DL,,marlon-dawson-jr-1
Austin Ertl,SO,DL,,austin-ertl-1
Terran Hearn,FR,DL,,terran-hearn-1
Kobe Hilton,FR,DL,,kobe-hilton-1
Ben Kimpler,SR,DL,,ben-kimpler-1
Josh Maize,JR,DL,,josh-maize-1
Ryan Newton,JR,DL,,ryan-newton-1
Lonnie Phelps,SO,DL,,lonnie-phelps-1
Dominique Robinson,SR,DL,,dominique-robinson-1
Jacob Snell,FR,DL,,jacob-snell-1
CJ Ware IV,FR,DL,,cj-ware-iv-1
Nasir Washington,FR,DL,,nasir-washington-1
Caiden Woullard,FR,DL,,caiden-woullard-1
Zach Hummel,FR,DL,,zach-hummel-1
Dalton Norris,FR,DL,,dalton-norris-1
Luke Bolden,SO,LB,,luke-bolden-1
Carson Daniels,FR,LB,,carson-daniels-1
Ryan McWood,SR,LB,,ryan-mcwood-1
Dominic Nardone,FR,LB,,dominic-nardone-1
Ivan Pace Jr.,SO,LB,,ivan-pace-jr-1
Camden Rogers,FR,LB,,camden-rogers-1
Edward Warinner,FR,LB,,edward-warinner-1
Jackson Boras,FR,LB,,jackson-boras-1
Corban Hondru,FR,LB,,corban-hondru-1
Daylan Long,FR,LB,,daylan-long-1
