Player,Class,Pos,Summary,Player-additional
Cade McNamara,JR,QB,210 Cmp 327 Att 2576 Yds 15 TD,cade-mcnamara-1
J.J. McCarthy,FR,QB,34 Cmp 59 Att 516 Yds 5 TD,jj-mccarthy-1
Alan Bowman,SR,QB,2 Cmp 4 Att 9 Yds 0 TD,alan-bowman-1
Dan Villari,SO,QB,1 Cmp 3 Att 26 Yds 0 TD,dan-villari-1
Jesse Madden,FR,QB,,jesse-madden-1
Peyton Smith,SO,QB,,peyton-smith-1
Davis Warren,FR,QB,,davis-warren-1
Donovan Edwards,FR,RB,35 Att 174 Yds 5.0 Avg,donovan-edwards-1
Hassan Haskins,SR,RB,270 Att 1327 Yds 4.9 Avg,hassan-haskins-1
Blake Corum,SO,RB,144 Att 952 Yds 6.6 Avg,blake-corum-1
Leon Franklin,JR,RB,8 Att 33 Yds 4.1 Avg,leon-franklin-1
Tavierre Dunlap,FR,RB,7 Att 51 Yds 7.3 Avg,tavierre-dunlap-1
Issiah Gash,SO,RB,6 Att 17 Yds 2.8 Avg,issiah-gash-1
Danny Hughes,JR,RB,,danny-hughes-1
Christian Bolvin,FR,RB,1 Att 2 Yds 2.0 Avg,christian-boivin-1
Lucas Andrighetto,SR,RB,,lucas-andrighetto-1
Joe Taylor,FR,RB,,joe-taylor-4
Nico Tiberia,SO,RB,,nico-tiberia-1
A.J. Henning,SO,WR,10 Rec 79 Yds 7.9 Avg,aj-henning-1
Cornelius Johnson,JR,WR,40 Rec 627 Yds 15.7 Avg,cornelius-johnson-1
Roman Wilson,SO,WR,25 Rec 420 Yds 16.8 Avg,roman-wilson-1
Mike Sainristil,JR,WR,21 Rec 305 Yds 14.5 Avg,mike-sainristil-1
Andrel Anthony,FR,WR,12 Rec 248 Yds 20.7 Avg,andrel-anthony-1
Daylen Baldwin,SR,WR,17 Rec 256 Yds 15.1 Avg,daylen-baldwin-1
Ronnie Bell,SR,WR,1 Rec 76 Yds 76.0 Avg,ronnie-bell-3
Cristian Dixon,FR,WR,1 Rec 7 Yds 7.0 Avg,cristian-dixon-1
Will Rolapp,SO,WR,1 Rec 26 Yds 26.0 Avg,will-rolapp-1
Matt Torey,SR,WR,,matt-torey-1
Christian Bartholomew,SO,WR,,christian-bartholomew-1
Jake Friedman,FR,WR,,jake-friedman-1
Mathew Harrison,JR,WR,,mathew-harrison-1
Peyton O'Leary,FR,WR,,peyton-oleary-1
Sam Staruch,SO,WR,,sam-staruch-1
Jake Thaw,SO,WR,,jake-thaw-1
Erick All,JR,TE,38 Rec 437 Yds 11.5 Avg,erick-all-1
Luke Schoonmaker,SR,TE,17 Rec 165 Yds 9.7 Avg,luke-schoonmaker-1
Joel Honigford,SR,TE,1 Rec 10 Yds 10.0 Avg,joel-honigford-1
Carter Selzer,SR,TE,1 Rec 6 Yds 6.0 Avg,carter-selzer-1
Josh Beetham,SO,TE,,josh-beetham-1
Max Bredeson,FR,TE,,max-bredeson-1
Luke Buckman,SR,TE,,luke-buckman-1
Louis Hansen,FR,TE,,louis-hansen-1
Matthew Hibner,SO,TE,,matthew-hibner-1
Noah Howes,FR,TE,,noah-howes-1
Hunter Neff,JR,TE,,hunter-neff-1
Raheem Anderson,FR,OL,,raheem-anderson-1
Reese Atteberry,SO,OL,,reece-atteberry-1
Karsen Barnhart,JR,OL,,karsen-barnhart-1
Tristan Bounds,FR,OL,,tristan-bounds-1
Kraig Corell,SR,OL,,kraig-corell-1
Greg Crippen,FR,OL,,greg-crippen-1
Chuck Filiaga,SR,OL,,chuck-filiaga-1
Luke Fisher,JR,OL,,luke-fisher-2
Mica Gelb,JR,OL,,mica-gelb-1
Ryan Hayes,SR,OL,,ryan-hayes-1
Mahdi Hazime,JR,OL,,mahdi-hazime-1
Trente Jones,JR,OL,,trente-jones-1
Trevor Keegan,JR,OL,,trevor-keegan-1
Griffin Korican,SR,OL,,griffin-korican-1
Jeffrey Persi,SO,OL,,jeffrey-persi-1
Nolan Rumler,JR,OL,,nolan-rumler-1
Peter Simmons,FR,OL,,peter-simmons-1
Noah Stewart,SO,OL,,noah-stewart-1
Andrew Stueber,SR,OL,,andrew-stueber-1
Andrew Vastardis,SR,OL,,andrew-vastardis-1
Zak Zinter,SO,OL,,zak-zinter-1
Jake Moody,SR,K,,jake-moody-1
Rhett Andersen,SR,K,,rhett-andersen-1
Tommy Doman,FR,K,,tommy-doman-1
Cole Hussung,SO,K,,cole-hussung-1
Rayshaun Benny,FR,DL,,rayshaun-benny-1
Joey George,SR,DL,,joey-george-1
Jaylen Harrell,SO,DL,,jaylen-harrell-1
Christopher Hinton,JR,DL,,christopher-hinton-1
Aidan Hutchinson,SR,DL,,aidan-hutchinson-1
Kris Jenkins,SO,DL,,kris-jenkins-1
Donovan Jeter,SR,DL,,donovan-jeter-1
Braiden McGregor,SO,DL,,braiden-mcgregor-1
Mike Morris,JR,DL,,mike-morris-5
Mazi Smith,JR,DL,,mazi-smith-1
Jess Speight,SR,DL,,jess-speight-1
Julius Welschof,SR,DL,,julius-welschof-1
Dominick Giudice,FR,DL,,dominick-giudice-1
Ike Iwunnah,FR,DL,,ike-iwunnah-1
Elijah Pierre,SR,DL,,elijah-pierre-1
George Rooks,FR,DL,,george-rooks-2
Jack Stewart,JR,DL,,jack-stewart-1
Jordan Whittley,SR,DL,,jordan-whittley-1
Michael Barrett,SR,LB,,michael-barrett-1
Junior Colson,FR,LB,,junior-colson-1
Nikhai Hill-Green,SO,LB,,nikhai-hill-green-1
Jaydon Hood,FR,LB,,jaydon-hood-1
Kalel Mullings,SO,LB,,kalel-mullings-1
