Player,Class,Pos,Summary,Player-additional
Payton Thorne,SO,QB,235 Cmp 389 Att 3232 Yds 27 TD,payton-thorne-1
Anthony Russo,SR,QB,7 Cmp 9 Att 43 Yds 0 TD,anthony-russo-3
Hamp Fay,FR,QB,,hamp-fay-1
Zach Gillespie,FR,QB,,zach-gillespie-1
Noah Kim,FR,QB,,noah-kim-1
Andrew Schorfaar,FR,QB,,andrew-schorfaar-1
Kenneth Walker III,JR,RB,263 Att 1636 Yds 6.2 Avg,kenneth-walker-iii-1
Jordon Simmons,SO,RB,70 Att 278 Yds 4.0 Avg,jordon-simmons-1
Elijah Collins,JR,RB,18 Att 102 Yds 5.7 Avg,elijah-collins-1
Harold Joiner,JR,RB,13 Att 43 Yds 3.3 Avg,harold-joiner-1
Donovan Eaglin,FR,RB,6 Att 33 Yds 5.5 Avg,donovan-eaglin-1
Davion Primm,FR,RB,,davion-primm-1
Caleb Wolf,JR,RB,,caleb-wolf-1
Jayden Reed,JR,WR,59 Rec 1026 Yds 17.4 Avg,jayden-reed-1
Tre Mosley,SO,WR,35 Rec 530 Yds 15.1 Avg,tre-mosley-1
Jalen Nailor,JR,WR,37 Rec 695 Yds 18.8 Avg,jalen-nailor-1
Montorie Foster,SO,WR,12 Rec 164 Yds 13.7 Avg,montorie-foster-1
Keon Coleman,FR,WR,7 Rec 50 Yds 7.1 Avg,keon-coleman-1
Terry Lockett Jr.,SO,WR,3 Rec 18 Yds 6.0 Avg,terry-lockett-jr-1
Christian Fitzpatrick,FR,WR,2 Rec 3 Yds 1.5 Avg,christian-fitzpatrick-1
Ian Stewart,FR,WR,1 Rec 8 Yds 8.0 Avg,ian-stewart-1
Cade McDonald,SO,WR,,cade-mcdonald-1
Sebastian Brown,FR,WR,,sebastian-brown-1
Aubrey Dawkins,FR,WR,,aubrey-dawkins-1
Nick Hunter,SO,WR,,nick-hunter-1
Joseph Martinez,FR,WR,,joseph-martinez-1
Jahz Watts,SR,WR,,jahz-watts-1
Ricky White,FR,WR,,ricky-white-2
