Player,Class,Pos,Summary,Player-additional
Chase Cunningham,JR,QB,110 Cmp 176 Att 1318 Yds 16 TD,chase-cunningham-1
Nicholas Vattiato,FR,QB,115 Cmp 171 Att 1047 Yds 7 TD,nicholas-vattiato-1
Bailey Hockman,JR,QB,41 Cmp 66 Att 463 Yds 4 TD,bailey-hockman-1
Mike Diliello,SO,QB,29 Cmp 49 Att 267 Yds 1 TD,mike-diliello-1
Stone Frost,FR,QB,,stone-frost-1
Shane Mclaughlin,JR,QB,,shane-mclaughlin-1
Alec Ogden,JR,QB,,alec-ogden-1
Martell Pettaway,SR,RB,81 Att 372 Yds 4.6 Avg,martell-pettaway-1
Frank Peasant,FR,RB,79 Att 303 Yds 3.8 Avg,frank-peasant-1
Chaton Mobley,JR,RB,53 Att 241 Yds 4.5 Avg,chaton-mobley-1
Amir Rasul,SR,RB,46 Att 110 Yds 2.4 Avg,amir-rasul-1
Brad Anderson,SR,RB,24 Att 103 Yds 4.3 Avg,brad-anderson-3
Jalen Montgomery,FR,RB,7 Att 19 Yds 2.7 Avg,jalen-montgomery-2
Terry Wilkins,FR,RB,1 Att 5 Yds 5.0 Avg,terry-wilkins-1
Darius James,JR,RB,,darius-james-3
JaMichael Thompson,FR,WR,9 Rec 72 Yds 8.0 Avg,jamichael-thompson-1
Jaylin Lane,FR,WR,42 Rec 466 Yds 11.1 Avg,jaylin-lane-1
DJ England-Chisolm,SO,WR,28 Rec 295 Yds 10.5 Avg,dj-england-chisolm-1
Yusuf Ali,JR,WR,45 Rec 472 Yds 10.5 Avg,yusuf-ali-1
Micaleous Elder,SO,WR,,micaleous-elder-1
Bryce Bailey,FR,WR,,bryce-bailey-2
Jimmy Marshall,SR,WR,45 Rec 510 Yds 11.3 Avg,jimmy-marshall-2
Jarrin Pierce,SR,WR,43 Rec 523 Yds 12.2 Avg,jarrin-pierce-1
CJ Windham,SR,WR,26 Rec 236 Yds 9.1 Avg,cj-windham-1
Izaiah Gathings,JR,WR,24 Rec 302 Yds 12.6 Avg,izaiah-gathings-1
Elijah Metcalf,FR,WR,4 Rec 52 Yds 13.0 Avg,elijah-metcalf-1
Marquel Tinsley,FR,WR,2 Rec 18 Yds 9.0 Avg,marquel-tinsley-1
Tyler Sweet,JR,WR,1 Rec 5 Yds 5.0 Avg,tyler-sweet-1
Ja'shawn Sheffield,FR,WR,,jashawn-sheffield-2
Landon Burrell,FR,WR,,landon-burrell-1
Jonathan Haynes,SO,WR,,jonathan-haynes-2
Hayden Neighbors,FR,WR,,hayden-neighbors-1
Javonte Sherman,FR,WR,,javonte-sherman-1
Taharin Sudderth,FR,TE,,taharin-sudderth-1
Eric Magwood,SR,OL,,eric-magwood-1
Jordan Palmer,JR,OL,,jordan-palmer-2
Jamari Williams,FR,OL,,jamari-williams-1
J'Shun Bodiford,SO,OL,,jshun-bodiford-1
Adam Derry,FR,OL,,adam-derry-1
Tyler Falvey,SO,OL,,tyler-falvey-1
Jacqui Graham,SO,OL,,jacqui-graham-1
Marcus Greer,SO,OL,,marcus-greer-1
Conner Griffin,FR,OL,,conner-griffin-1
Dorian Hinton,FR,OL,,dorian-hinton-1
Netori Johnson,JR,OL,,netori-johnson-1
Alex Jones,FR,OL,,alex-jones-3
Wilson Kelly,FR,OL,,wilson-kelly-1
Jacob King,SO,OL,,jacob-king-2
Steven Losoya III,FR,OL,,steven-losoya-iii-1
Lance Robinson,FR,OL,,lance-robinson-2
Jahlil Ryles,SO,OL,,jahlil-ryles-1
Jordan Branch,SO,DL,,jordan-branch-1
Vincent Dinkins,FR,DL,,vincent-dinkins-1
Langston Cross,,DL,,langston-cross-1
Damonte Smith,FR,DL,,damonte-smith-1
Jonathan Butler,JR,LB,,jonathan-butler-1
Devyn Curtis,FR,LB,,devyn-curtis-1
Jalen Davis,FR,LB,,jalen-davis-2
Jurriente Davis,SO,LB,,jurriente-davis-1
Drew Francis,FR,LB,,drew-francis-1
Raquan Hartley,FR,LB,,raquan-hartley-1
Andrew Leak,FR,LB,,andrew-leak-1
Wayne Parks,JR,LB,,wayne-parks-1
Cody Smith,JR,LB,,cody-smith-1
DQ Thomas,SR,LB,,dq-thomas-1
Jarek Campbell,SO,LB,,jarek-campbell-1
Zabrien Harden,FR,LB,,zabrien-harden-1
Terrell Pack,FR,LB,,terrell-pack-1
Caden Williams,FR,LB,,caden-williams-2
Raheme Fuller,JR,DB,,raheme-fuller-1
Davon Martin,FR,DB,,davon-martin-1
Miles Tillman,FR,P,,miles-tillman-1
Kyle Ulbrich,JR,P,,kyle-ulbrich-1
Jordan Ferguson,JR,DE,,jordan-ferguson-1
Zaylin Wood,FR,DT,,zaylin-wood-1
JR Bivens,FR,DE,,jr-bivens-1
Reed Blankenship,SR,S,,reed-blankenship-1
Brody Butler,FR,LS,,brody-butler-1
Marley Cook,FR,DT,,marley-cook-1
Tra Fluellen,SO,S,,tra-fluellen-1
Will Gilchrist,SR,HB,,will-gilchrist-1
Gregory Grate Jr.,JR,S,,gregory-grate-jr-1
Jalen Jackson,FR,CB,,jalen-jackson-5
Richard Kinley,FR,DE,,richard-kinley-1
Marcus Lafrance,FR,S,,marcus-lafrance-1
Ralph Mency,FR,DE,,ralph-mency-1
Decorian Patterson,SO,CB,,decorian-patterson-1
Robert Payne,FR,PK,,robert-payne-1
Zeke Rankin,FR,PK,,zeke-rankin-1
Quincy Riley,FR,CB,,quincy-riley-1
Teldrick Ross,SO,S,,teldrick-ross-1
James Shellman IV,FR,S,,james-shellman-iv-1
Deidrick Stanley II,FR,CB,,deidrick-stanley-ii-1
Deonte Stanley,FR,CB,,deonte-stanley-1
Jorden Starling,SO,DE,,jorden-starling-1
Alex Usry,JR,PK,,alex-usry-1
Ja'Kerrius Wyatt,JR,DT,,jakerrius-wyatt-1
Luke Bolger,FR,HB,,luke-bolger-1
Jai'Brian Bouye,FR,CB,,jaibrian-bouye-1
Thomas Burks,SO,PK,,thomas-burks-1
Quindarius Dunnigan,FR,DE,,quindarius-dunnigan-1
Tyrece Edwards,FR,DT,,tyrece-edwards-1
Carson Garrison,FR,LS,,carson-garrison-1
Daj'eun Gibson,FR,CB,,dajeun-gibson-1
Joseph Honeysucker,SO,DE,,joseph-honeysucker-1
Parker Hughes,FR,S,,parker-hughes-1
Chris Johnson,FR,CB,,chris-johnson-24
Kyle Kee,SO,S,,kyle-kee-1
Jacob Mahoney,SO,HB,,jacob-mahoney-1
Aran Mohamad-Ali,FR,HB,,aran-mohamad-ali-1
Marvae Myers-Glover,FR,S,,marvae-myers-glover-1
Joeseph Sewell,JR,HB,,joeseph-sewell-1
Charlie Shalley,FR,LS,,charlie-shalley-1
Sam Tardits,JR,HB,,sam-tardits-1
Jakobe Thomas,FR,S,,jakobe-thomas-1
Darius Williams,FR,DE,,darius-williams-4
