Player,Class,Pos,Summary,Player-additional
Tanner Morgan,SR,QB,149 Cmp 250 Att 2044 Yds 10 TD,tanner-morgan-2
Cole Kramer,SO,QB,3 Cmp 3 Att 62 Yds 2 TD,cole-kramer-1
Zack Annexstad,JR,QB,,zack-annexstad-1
Jacob Clark,SO,QB,,jacob-clark-3
Lonenoa Faoa,FR,QB,,lonenoa-faoa-1
Athan Kaliakmanis,FR,QB,,athan-kaliakmanis-1
Samuel Pickerign,SR,QB,,samuel-pickerign-1
Ky Thomas,FR,RB,166 Att 824 Yds 5.0 Avg,ky-thomas-1
Bucky Irving,FR,RB,133 Att 699 Yds 5.3 Avg,markeise-irving-1
Treyson Potts,SO,RB,112 Att 552 Yds 4.9 Avg,treyson-potts-1
Bryce Williams,JR,RB,37 Att 186 Yds 5.0 Avg,bryce-williams-4
Mohamed Ibrahim,SR,RB,30 Att 163 Yds 5.4 Avg,mohamed-ibrahim-1
Cam Wiley,SO,RB,6 Att 4 Yds 0.7 Avg,cam-wiley-1
Prestron Jelen,JR,RB,,prestron-jelen-1
Kendall Moore,FR,RB,,kendall-moore-4
Chris Autman-Bell,SR,WR,36 Rec 506 Yds 14.1 Avg,chris-autman-bell-1
Daniel Jackson,SO,WR,25 Rec 267 Yds 10.7 Avg,daniel-jackson-5
Mike Brown-Stephens,SO,WR,23 Rec 392 Yds 17.0 Avg,mike-brown-stephens-1
Dylan Wright,SO,WR,18 Rec 365 Yds 20.3 Avg,dylan-wright-1
Brady Boyd,FR,WR,2 Rec 18 Yds 9.0 Avg,brady-boyd-1
Brock Annexstad,SR,WR,,brock-annexstad-1
Nnamdi Adim-Madumere,SO,WR,,nnamdi-adim-madumere-1
Lemeke Brockington,FR,WR,,lemeke-brockington-1
Douglas Emilien,FR,WR,,douglas-emilien-1
Clay Geary,SR,WR,,clay-geary-1
Dylan Hillard-McGill,FR,WR,,dylan-hillard-mcgill-1
Dino Kaliakmanis,FR,WR,,dino-kaliakmanis-1
Jonathan Mann,FR,WR,,jonathan-mann-1
Quentin Redding,FR,WR,,quentin-redding-1
Peter Udoibok,SO,WR,,peter-udoibok-1
Larry Wright,SO,WR,,larry-wright-3
Brevyn Spann-Ford,JR,TE,23 Rec 296 Yds 12.9 Avg,brevyn-spann-ford-1
Ko Kieft,SR,TE,7 Rec 101 Yds 14.4 Avg,ko-kieft-1
Nick Kallerup,SO,TE,,nick-kallerup-1
Jameson Geers,FR,TE,,jameson-geers-1
Austin Henderson,FR,TE,,austin-henderson-1
Wyatt Schroeder,FR,TE,,wyatt-schroeder-1
Bryce Witham,SR,TE,,bryce-witham-1
Daniel Faalele,SR,OL,,daniel-faalele-1
Blaise Andreis,SR,OL,,blaise-andreis-1
Karter Shaw,JR,OL,,karter-shaw-1
Austin Beier,JR,OL,,austin-beier-1
Nathan Boe,JR,OL,,nathan-boe-1
Tyler Cooper,SO,OL,,tyler-cooper-2
Curtis Dunlap Jr.,JR,OL,,curtis-dunlap-jr-1
Aireontae Ersery,FR,OL,,aireontae-ersery-1
JJ Guedet,SO,OL,,jj-guedet-1
Jackson Hunter,FR,OL,,jackson-hunter-1
Cameron James,FR,OL,,cameron-james-1
Tyrell Lawrence,FR,OL,,tyrell-lawrence-1
Martes Lewis,FR,OL,,martes-lewis-1
Saia Mapakaito,FR,OL,,saia-mapakaito-1
Conner Olson,SR,OL,,conner-olson-1
Logan Purcell,FR,OL,,logan-purcell-1
Axel Ruschmeyer,SR,OL,,axel-ruschmeyer-1
Jackson Ruschmeyer,FR,OL,,jackson-ruschmeyer-1
Sam Schlueter,SR,OL,,sam-schlueter-1
John Michael Schmitz,SR,OL,,john-michael-schmitz-1
Dragan Kesich,SO,K,,dragan-kesich-1
Matthew Trickett,SR,K,,matthew-trickett-1
Will Mobley,SR,K,,will-mobley-1
Brock Walker,JR,K,,brock-walker-1
