Player,Class,Pos,Summary,Player-additional
Tai Lavatai,SO,QB,34 Cmp 61 Att 449 Yds 5 TD,tai-lavatai-1
Xavier Arline,SO,QB,7 Cmp 18 Att 142 Yds 1 TD,xavier-arline-1
Maasai Maynor,JR,QB,6 Cmp 13 Att 74 Yds 0 TD,maasai-maynor-1
Zachary Branam,FR,QB,,zachary-branam-1
Cam Jordan,FR,QB,,cam-jordan-1
Isaiah Knowles,FR,QB,,isaiah-knowles-1
Luke Morley,FR,QB,,luke-morley-1
Jayden Umbarger,SO,WR,6 Rec 60 Yds 10.0 Avg,jayden-umbarger-1
Mychal Cooper,SR,WR,11 Rec 219 Yds 19.9 Avg,mychal-cooper-1
Mark Walker,JR,WR,7 Rec 63 Yds 9.0 Avg,mark-walker-5
Marcell Gleaton,SR,WR,,marcell-gleaton-1
Martel Carruthers,FR,WR,,martel-carruthers-1
Christian Hutchinson,JR,WR,,christian-hutchinson-1
Zachary Kuhlman,JR,WR,,zachary-kuhlman-1
Cal Long,SR,WR,,cal-long-1
John Meagher,SO,WR,,john-meagher-1
Michael Naze,JR,WR,,michael-naze-1
Dashaun Peele,FR,WR,,dashaun-peele-1
Matthew Peters,SO,WR,,matthew-peters-1
Michael Salisbury,SR,WR,,michael-salisbury-1
Regis Velez,FR,WR,,regis-velez-1
Camari Williams,SO,WR,,camari-williams-1
Bijan Nichols,JR,K,,bijan-nichols-1
Kevin Thibodeaux,SO,K,,kevin-thibodeaux-1
Evan Warren,SO,K,,evan-warren-1
Diego Fagot,SR,LB,,diego-fagot-1
Terrell Adams,JR,LB,,terrell-adams-1
Marcus Bleazard,FR,LB,,marcus-bleazard-1
Tyler Fletcher,FR,LB,,tyler-fletcher-1
Will Harbour,SO,LB,,will-harbour-1
Johnny Hodges,JR,LB,,johnny-hodges-1
John Kelly III,SR,LB,,john-kelly-lll-1
John Marshall,JR,LB,,john-marshall-2
Xavier McDonald,SO,LB,,xavier-mcdonald-1
Colin Ramos,FR,LB,,colin-ramos-1
Max Sandlin,JR,LB,,max-sandlin-1
Nick Straw,JR,LB,,nick-straw-1
Jianni Woodson-Brooks,FR,LB,,jianni-woodson-brooks-1
Jared Behrens,FR,LB,,jared-behrens-1
JD Bengeston,FR,LB,,jd-bengeston-1
Jackson Boyer,SO,LB,,jackson-boyer-2
Chaisen Buckner,SO,LB,,chaisen-buckner-1
Khalil Crawford,SO,LB,,khalil-crawford-1
Ajani Cuevas-Gillis,SO,LB,,ajani-cuevas-gillis-1
Aaron Davis,SO,LB,,aaron-davis-9
RJ Davis,FR,LB,,rj-davis-1
D.J. Donovan,FR,LB,,dj-donovan-1
Tausili Fiatoa,SO,LB,,tausili-fiatoa-1
Keandre' Harper,SO,LB,,keandre-harper-1
Kyle Jacob,FR,LB,,kyle-jacob-3
Trace Jewell,FR,LB,,trace-jewell-1
Mitchell Johns,SR,LB,,mitchell-johns-1
Semaj Johnson,FR,LB,,semaj-johnson-1
Akalea Kapono,SO,LB,,akalea-kapono-1
Elijah Perry,FR,LB,,elijah-perry-2
Nazir Rogers,FR,LB,,nazir-rogers-1
Jordan Sanders,FR,LB,,jordan-sanders-1
Thomas Scully,FR,LB,,thomas-scully-1
Trent Shiraki,JR,LB,,trent-shiraki-1
Turner Stepp,FR,LB,,turner-stepp-1
Luke Thiemann,FR,LB,,luke-thiemann-1
Tama Tuitele,JR,LB,,tama-tuitele-1
Patrick Turner,FR,LB,,patrick-turner-2
Riley Riethman,FR,P,,riley-riethman-1
Kellen Grave-De,FR,P,,kellen-grave-de-1
Duke Paane,SO,P,,duke-paane-1
Daniel Davies,JR,P,,daniel-davies-1
Ben Fee,SR,P,,ben-fee-1
Chance Warren,SR,SB,,chance-warren-1
Tyger Goslin,SR,SB,,tyger-goslin-1
Isaac Ruoss,SR,FB,,isaac-ruoss-1
James Harris II,SR,FB,,james-harris-ll-1
Carlinos Acie,SR,SB,,carlinos-acie-1
Kai Puailoa-Rojas,SO,SB,,kai-puailoa-rojas-2
Daniel Jones,SO,SB,,daniel-jones-5
Maquel Haywood,FR,SB,,maquel-haywood-1
Anton Hall,FR,FB,,anton-hall-1
Michael Mauai,JR,SB,,michael-mauai-1
Joshua Adams,JR,S,,joshua-adams-2
Donald Berniard Jr.,SO,G,,donald-berniard-jr-1
Kevin Brennan,SR,S,,kevin-brennan-2
Jacob Busic,SO,DE,,jacob-busic-1
Willie Collins V,SO,S,,willie-collins-v-1
