Player,Class,Pos,Summary,Player-additional
Carson Strong,JR,QB,366 Cmp 522 Att 4175 Yds 36 TD,carson-strong-1
Nate Cox,SR,QB,26 Cmp 43 Att 279 Yds 2 TD,nate-cox-1
Clay Millen,FR,QB,1 Cmp 2 Att 2 Yds 0 TD,clay-millen-1
Jacob Barlage,JR,QB,,jacob-barlage-1
Jonah Chong,SO,QB,,jonah-chong-1
Hamish McClure,JR,QB,,hamish-mcclure-1
Drew Scolari,FR,QB,,drew-scolari-1
Devonte Lee,SR,RB,85 Att 331 Yds 3.9 Avg,devonte-lee-1
Toa Taua,SR,RB,150 Att 732 Yds 4.9 Avg,toa-taua-1
Avery Morrow,SO,RB,11 Att 121 Yds 11.0 Avg,avery-morrow-1
Wesley Kommer,SO,RB,,wesley-kommer-1
Dylan Overstreet,FR,RB,3 Att 5 Yds 1.7 Avg,dylan-overstreet-1
Jacques Badolato-Birdsell,FR,RB,,jacques-badolato-birdsell-1
Ty Collins,FR,RB,,ty-collins-1
Terrell Johnson,SR,RB,,terrell-johnson-6
Tory Horton,SO,WR,52 Rec 659 Yds 12.7 Avg,tory-horton-1
Romeo Doubs,SR,WR,80 Rec 1109 Yds 13.9 Avg,romeo-doubs-1
Melquan Stovall,JR,WR,56 Rec 643 Yds 11.5 Avg,melquan-stovall-1
Jamaal Bell,SO,WR,14 Rec 119 Yds 8.5 Avg,jamaal-bell-1
Justin Lockhart,JR,WR,35 Rec 470 Yds 13.4 Avg,justin-lockhart-1
Elijah Cooks,SR,WR,13 Rec 157 Yds 12.1 Avg,elijah-cooks-1
Harry Ballard III,SR,WR,6 Rec 127 Yds 21.2 Avg,harry-ballard-iii-1
Tyrese Mack,FR,WR,2 Rec 27 Yds 13.5 Avg,tyrese-mack-2
Carson Walters,JR,WR,2 Rec 4 Yds 2.0 Avg,carson-walters-1
Jeshua Fixel,SO,WR,,jeshua-fixel-1
Jeremiah Gradowitz,SO,WR,,jeremiah-gradowitz-1
Dazure Paggett,FR,WR,,dazure-paggett-1
Aaron Smith,SO,WR,,aaron-smith-6
