Player,Class,Pos,Summary,Player-additional
Sam Howell,JR,QB,217 Cmp 347 Att 3056 Yds 24 TD,sam-howell-1
Jacolby Criswell,SO,QB,13 Cmp 21 Att 179 Yds 1 TD,jacolby-criswell-1
Drake Maye,FR,QB,7 Cmp 10 Att 89 Yds 1 TD,drake-maye-1
Jefferson Boaz,FR,QB,,jefferson-boaz-1
Russell Tabor,FR,QB,,russell-tabor-1
Ty Chandler,SR,RB,182 Att 1092 Yds 6.0 Avg,ty-chandler-1
D.J. Jones,SO,RB,60 Att 253 Yds 4.2 Avg,dj-jones-6
British Brooks,SR,RB,31 Att 295 Yds 9.5 Avg,british-brooks-1
Caleb Hood,FR,RB,22 Att 97 Yds 4.4 Avg,caleb-hood-1
Elijah Green,FR,RB,11 Att 39 Yds 3.5 Avg,elijah-green-1
Josh Henderson,JR,RB,5 Att 21 Yds 4.2 Avg,josh-henderson-2
Kamarro Edmonds,FR,RB,,kamarro-edmonds-1
Josh Downs,SO,WR,101 Rec 1335 Yds 13.2 Avg,josh-downs-2
Antoine Green,SR,WR,31 Rec 612 Yds 19.7 Avg,antoine-green-1
Emery Simmons,JR,WR,11 Rec 243 Yds 22.1 Avg,emery-simmons-1
Justin Olson,SO,WR,9 Rec 143 Yds 15.9 Avg,justin-olson-1
J.J. Jones,FR,WR,4 Rec 67 Yds 16.8 Avg,jj-jones-5
Stephen Gosnell,SO,WR,2 Rec 11 Yds 5.5 Avg,stephen-gosnell-1
Khafre Brown,SO,WR,1 Rec 75 Yds 75.0 Avg,khafre-brown-1
Gavin Blackwell,FR,WR,,gavin-blackwell-1
Carson Burgess,JR,WR,,carson-burgess-1
Beau Corrales,SR,WR,,beau-corrales-1
Tylee Craft,SO,WR,,tylee-craft-1
Thomas Flynn,FR,WR,,thomas-flynn-1
Gray Goodwyn,JR,WR,,gray-goodwyn-1
Brooks Miller,FR,WR,,brooks-miller-2
Kobe Paysour,FR,WR,,kobe-paysour-1
Cyrus Rogers,FR,WR,,cyrus-rogers-1
Jeffrey Saturday,SO,WR,,jeffrey-saturday-1
Landon Stevens,FR,WR,,landon-stevens-1
Garrett Walston,SR,TE,18 Rec 184 Yds 10.2 Avg,garrett-walston-1
Kamari Morales,SO,TE,24 Rec 220 Yds 9.2 Avg,kamari-morales-1
Bryson Nesbit,FR,TE,7 Rec 154 Yds 22.0 Avg,bryson-nesbit-1
John Copenhaver,FR,TE,2 Rec 9 Yds 4.5 Avg,john-copenhaver-1
Will Crowley,SO,TE,,will-crowley-1
Kendall Karr,FR,TE,,kendall-karr-1
Cayden Baker,SO,OL,,cayden-baker-1
Jonathan Adorno,SO,OL,,jonathan-adorno-1
Brian Anderson,SR,OL,,brian-anderson-7
Wisdom Asaboro,SO,OL,,wisdom-asaboro-1
William Barnes,JR,OL,,william-barnes-2
Noland Brown,SO,OL,,noland-brown-1
Chance Carroll,FR,OL,,chance-carroll-1
Joshua Ezeudu,JR,OL,,joshua-ezeudu-1
Quiron Johnson,SR,OL,,quiron-johnson-1
Carter Kulka,FR,OL,,carter-kulka-1
Nick Makovic,JR,OL,,nick-makovic-1
Malik McGowan,FR,OL,,malik-mcgowan-1
Marcus McKethan,SR,OL,,marcus-mckethan-1
Ed Montilus,JR,OL,,ed-montilus-1
Diego Pounds,FR,OL,,diego-pounds-1
Asim Richards,JR,OL,,asim-richards-1
Hunter Shope,SO,OL,,hunter-shope-1
Eli Sutton,FR,OL,,eli-sutton-1
Jordan Tucker,SR,OL,,jordan-tucker-1
Wyatt Tunall,SO,OL,,wyatt-tunall-1
Trey Zimmerman,FR,OL,,trey-zimmerman-1
Tomari Fox,JR,DL,,tomari-fox-1
Kevin Hester Jr.,SO,DL,,kevin-hester-jr-1
Myles Murphy,SO,DL,,myles-murphy-2
Clyde Pinder Jr.,SO,DL,,clyde-pinder-jr-1
Jahvaree Ritzie,FR,DL,,jahvaree-ritzie-1
Keeshawn Silver,FR,DL,,keeshawn-silver-1
Jahlil Taylor,JR,DL,,jahlil-taylor-1
Kristian Varner,SO,DL,,kristian-varner-1
Raymond Vohasek,SR,DL,,raymond-vohasek-1
Kedrick Bingley-Jones,FR,DL,,kedrick-bingley-jones-1
Colby Doreen,FR,DL,,colby-doreen-1
Eugene Asante,JR,LB,,eugene-asante-1
Chris Collins,JR,LB,,chris-collins-6
Raneiria Dillworth,FR,LB,,raneiria-dillworth-1
Power Echols,FR,LB,,power-echols-1
Desmond Evans,SO,LB,,desmond-evans-1
Tomon Fox,SR,LB,,tomon-fox-1
Jeremiah Gemmel,SR,LB,,jeremiah-gemmel-1
Cedric Gray,SO,LB,,cedric-gray-1
Tyrone Hopper,SR,LB,,tyrone-hopper-1
Alex Nobles,JR,LB,,alex-nobles-1
Kaimon Rucker,SO,LB,,kaimon-rucker-1
Jalen Brooks,FR,LB,,jalen-brooks-3
Jake Harkleroad,SO,LB,,jake-harkleroad-1
Braden Hunter,FR,LB,,braden-hunter-1
Gibson Macrae,FR,LB,,gibson-macrae-1
Gabe Stephens,FR,LB,,gabe-stephens-1
Trevion Stevenson,FR,LB,,trevion-stevenson-1
Ethan West,FR,LB,,ethan-west-2
Giovanni Biggers,JR,DB,,giovanni-biggers-1
DeAndre Boykins,FR,DB,,deandre-boykins-1
Don Chapman,JR,DB,,don-chapman-1
Ja'Qurious Conley,SO,DB,,jaqurious-conley-1
Storm Duck,SO,DB,,storm-duck-1
Obi Egbuna,JR,DB,,obi-egbuna-1
