Player,Class,Pos,Summary,Player-additional
Rocky Lombardi,JR,QB,200 Cmp 343 Att 2597 Yds 15 TD,rocky-lombardi-1
Ethan Hampton,FR,QB,4 Cmp 10 Att 23 Yds 0 TD,ethan-hampton-1
Dustin Fletcher,FR,QB,,dustin-fletcher-1
Jeffrey Lomax,FR,QB,,jeffrey-lomax-1
Ryan Yost,SO,QB,,ryan-yost-1
Clint Ratkovich,SR,RB,105 Att 461 Yds 4.4 Avg,clint-ratkovich-1
Jevyon Ducker,FR,RB,218 Att 1184 Yds 5.4 Avg,jevyon-ducker-1
Harrison Waylee,FR,RB,101 Att 574 Yds 5.7 Avg,harrison-waylee-1
Antario Brown,FR,RB,81 Att 538 Yds 6.6 Avg,antario-brown-1
Mason Blakemore,FR,RB,17 Att 67 Yds 3.9 Avg,mason-blakemore-1
Erin Collins,JR,RB,6 Att 10 Yds 1.7 Avg,erin-collins-2
Braxton Chapman,JR,RB,,braxton-chapman-1
Julius Bolden,FR,RB,,julius-bolden-1
Tajheem Lawson,FR,RB,,tajheem-lawson-1
Trayvon Rudolph,FR,WR,51 Rec 892 Yds 17.5 Avg,trayvon-rudolph-1
Tyrice Richie,SR,WR,44 Rec 540 Yds 12.3 Avg,tyrice-richie-1
Cole Tucker,JR,WR,41 Rec 575 Yds 14.0 Avg,cole-tucker-1
Messiah Travis,FR,WR,13 Rec 165 Yds 12.7 Avg,messiah-travis-1
Mohamed Toure,FR,WR,4 Rec 34 Yds 8.5 Avg,mohamed-toure-2
Billy Dozier,FR,WR,2 Rec 4 Yds 2.0 Avg,billy-dozier-1
Fabian McCray,FR,WR,2 Rec 14 Yds 7.0 Avg,fabian-mccray-1
Tyler Brueckner,FR,WR,,tyler-brueckner-1
Muhammad Jammeh,FR,WR,,muhammad-jammeh-1
Trey Urwiler,FR,WR,,trey-urwiler-1
Isaiah Bragg,FR,WR,,isaiah-bragg-1
Alex Crawford,FR,WR,,alex-crawford-2
Jeremiah Howard,FR,WR,,jeremiah-howard-2
Mason Pierre-Antione,FR,WR,,mason-pierre-antione-1
Drew Cassens,FR,TE,,drew-cassens-1
Miles Joiner,JR,TE,16 Rec 133 Yds 8.3 Avg,miles-joiner-1
Tristen Tewes,FR,TE,10 Rec 101 Yds 10.1 Avg,tristen-tewes-1
Liam Soraghan,JR,TE,4 Rec 24 Yds 6.0 Avg,liam-soraghan-1
Brett Bostad,SO,TE,,brett-bostad-1
George Gumbs,FR,TE,,george-gumbs-1
Blake Kosin,FR,TE,,blake-kosin-1
Luke Mallette,SR,TE,,luke-mallette-1
Jake Novotny,FR,TE,,jake-novotny-1
Izuchkwu Ozoh,FR,TE,,izuchkwu-ozoh-1
Nolan Potter,SO,OL,,nolan-potter-1
Logan Zschernitz,FR,OL,,logan-zschernitz-1
Evan Buss,FR,OL,,evan-buss-1
Brendan Carr,FR,OL,,brendan-carr-2
John Champe,FR,OL,,john-champe-1
Marques Cox,SO,OL,,marques-cox-1
Leif Engstrand,FR,OL,,leif-engstrand-1
Marko Gbedo,FR,OL,,marko-gbedo-1
J.J. Lippe,FR,OL,,jj-lippe-1
Brandon MacKinnon,FR,OL,,brandon-mackinnon-1
Pete Nygra,FR,OL,,pete-nygra-1
Brayden Patton,SR,OL,,brayden-patton-1
Luke Pinnick,FR,OL,,luke-pinnick-1
Tyler Pitcel,FR,OL,,tyler-pitcel-1
Matt Schooley,FR,OL,,matt-schooley-1
Seth Thompson,FR,OL,,seth-thompson-2
Anthony Vacula,FR,OL,,anthony-vacula-1
Jack Wilty,FR,OL,,jack-wilty-1
John Richardson,SO,K,,john-richardson-1
Kanon Woodill,FR,K,,kanon-woodill-1
Jalen Pinkney,JR,DL,,jalen-pinkney-1
Lance Deveaux Jr.,SR,LB,,lance-deveaux-jr-1
Jaden Dolphin,FR,LB,,jaden-dolphin-1
Anthony Hernandez,FR,LB,,anthony-hernandez-1
Brock Lampe,FR,LB,,brock-lampe-1
Makhi Nelson-Douglas,FR,LB,,makhi-nelson-douglas-1
Kyle Pugh,SR,LB,,kyle-pugh-1
Nick Rattin,SO,LB,,nick-rattin-1
Daveren Rayner,FR,LB,,daveren-rayner-1
Dayven Shinhoster,FR,LB,,dayven-shinhoster-1
Akanimo Asuquo,FR,LB,,akanimo-asuquo-1
Elijah Hamm,FR,LB,,elijah-hamm-1
Eddie Jackson,FR,LB,,eddie-jackson-7
Ryan King,FR,LB,,ryan-king-3
Ryan Mann,FR,LB,,ryan-mann-2
Brain Whitsey,FR,LB,,brain-whitsey-1
Ronde Worrels,FR,LB,,ronde-worrels-1
Matt Ference,SR,P,,matt-ference-1
Tom Foley,FR,P,,tom-foley-1
Erik Abrell,JR,LS,,erik-abrell-1
CJ Brown,FR,S,,cj-brown-2
Javaughn Byrd,FR,CB,,javaughn-byrd-1
Ivan Davis,FR,DE,,ivan-davis-1
Joshua Earl,SO,S,,joshua-earl-1
James Ester,FR,DT,,james-ester-1
Louis Frye,FR,S,,louis-frye-1
Jordan Gandy,SO,CB,,jordan-gandy-1
Jeffery Griffin Jr.,SO,DT,,jeffery-griffin-jr-1
Cade Haberman,FR,DT,,cade-haberman-1
Jordan Hansen,FR,S,,jordan-hansen-1
Jack Hugunin,FR,DT,,jack-hugunin-1
Michael Kennedy,JR,DE,,michael-kennedy-1
Devin Lafayette,FR,S,,devin-lafayette-1
Zhamaine March,JR,CB,,zhamaine-march-1
Myles McGee,FR,CB,,myles-mcgee-1
Ty Myles,FR,CB,,ty-myles-1
Devonte O'Malley,FR,DT,,devonte-omalley-1
Pierce Oppong,FR,DE,,pierce-oppong-1
Jashon Prophete,FR,S,,jashon-prophete-1
Eric Rogers,FR,CB,,eric-rogers-3
Demond Taylor,FR,DT,,demond-taylor-1
Dillon Thomas,JR,CB,,dillon-thomas-1
Raishein Thomas,FR,DE,,raishein-thomas-1
Nate Valcarel,FR,S,,nate-valcarel-1
Jacob Waskow,FR,DT,,jacob-waskow-1
Tony Agyapong,FR,DE,,tony-agyapong-1
Emmanuel Harris,FR,CB,,emmanuel-harris-2
Malik Harvey,FR,CB,,malik-harvey-1
Isaac Hatfield,FR,LS,,isaac-hatfield-1
Drew Hoth,FR,T,,drew-hoth-1
Trevon Jordan,FR,DE,,trevon-jordan-1
Wetu Kalomo,FR,CB,,wetu-kalomo-1
Trevor Laffin,FR,S,,trevor-laffin-1
Cyrus McGarrell,FR,CB,,cyrus-mcgarrell-1
James Ongtengco,FR,DT,,james-ongtengco-1
Liam Rempel,FR,DE,,liam-rempel-1
David Watson Jr.,FR,CB,,david-watson-jr-1
Jallonie Williams,FR,DT,,jallonie-williams-1
Jaden Wilson,FR,DE,,jaden-wilson-1
