Player,Class,Pos,Summary,Player-additional
C.J. Stroud,FR,QB,317 Cmp 441 Att 4435 Yds 44 TD,cj-stroud-1
Kyle McCord,FR,QB,25 Cmp 38 Att 416 Yds 2 TD,kyle-mccord-1
Jack Miller III,FR,QB,7 Cmp 14 Att 101 Yds 0 TD,jack-miller-iii-1
J.P. Andrade,JR,QB,,jp-andrade-1
Jagger Laroe,SR,QB,,jagger-laroe-1
TreVeyon Henderson,FR,RB,183 Att 1248 Yds 6.8 Avg,treveyon-henderson-1
Miyan Williams,FR,RB,71 Att 508 Yds 7.2 Avg,miyan-williams-1
Master Teague,JR,RB,67 Att 355 Yds 5.3 Avg,master-teague-1
Evan Pryor,FR,RB,21 Att 98 Yds 4.7 Avg,evan-pryor-1
Marcus Crowley,SO,RB,20 Att 103 Yds 5.2 Avg,marcus-crowley-1
Robert Cope,SR,RB,2 Att 4 Yds 2.0 Avg,robert-cope-1
Cayden Saunders,FR,RB,,cayden-saunders-1
Garrett Wilson,JR,WR,70 Rec 1058 Yds 15.1 Avg,garrett-wilson-2
Jaxon Smith-Njigba,SO,WR,95 Rec 1606 Yds 16.9 Avg,jaxon-smith-njigba-1
Chris Olave,SR,WR,65 Rec 936 Yds 14.4 Avg,chris-olave-1
Julian Fleming,SO,WR,12 Rec 86 Yds 7.2 Avg,julian-fleming-1
Marvin Harrison Jr.,FR,WR,11 Rec 139 Yds 12.6 Avg,marvin-harrison-jr-1
Emeka Egbuka,FR,WR,9 Rec 191 Yds 21.2 Avg,emeka-egbuka-1
Chris Booker,SR,WR,2 Rec 27 Yds 13.5 Avg,chris-booker-2
Sam Wiglusz,SR,WR,2 Rec 14 Yds 7.0 Avg,sam-wiglusz-1
Jayden Ballard,FR,WR,1 Rec 4 Yds 4.0 Avg,jayden-ballard-1
Xavier Johnson,JR,WR,,xavier-johnson-2
Kamryn Babb,JR,WR,,kamryn-babb-1
Marvin Davies,SO,WR,,marvin-davies-1
Austin Kutscher,SR,WR,,austin-kutscher-1
Joop Mitchell,FR,WR,,joop-mitchell-1
Reis Stocksdale,FR,WR,,reis-stocksdale-1
Jeremy Ruckert,SR,TE,26 Rec 309 Yds 11.9 Avg,jeremy-ruckert-1
Gee Scott Jr.,SO,TE,5 Rec 42 Yds 8.4 Avg,gee-scott-jr-1
Cade Stover,SO,TE,5 Rec 76 Yds 15.2 Avg,cade-stover-1
Mitch Rossi,SR,TE,4 Rec 28 Yds 7.0 Avg,mitch-rossi-1
Joe Royer,FR,TE,1 Rec 9 Yds 9.0 Avg,joe-royer-1
Patrick Gurd,SO,TE,,patrick-gurd-1
Sam Hart,FR,TE,,sam-hart-2
Zak Herbstreit,FR,TE,,zak-herbstreit-1
Corey Rau,SR,TE,,corey-rau-1
Paris Johnson Jr.,SO,OL,,paris-johnson-jr-1
Ben Christman,FR,OL,,ben-christman-1
Jack Forsman,FR,OL,,jack-forsman-1
Josh Fryar,FR,OL,,josh-fryar-1
Donovan Jackson,FR,OL,,donovan-jackson-1
Jakob James,FR,OL,,jakob-james-1
Jack Jamieson,SR,OL,,jack-jamieson-1
Dawand Jones,JR,OL,,dawand-jones-1
Matthew Jones,JR,OL,,matthew-jones-2
Tre Leroux,FR,OL,,tre-leroux-1
Zen Michalski,FR,OL,,zen-michalski-1
Harry Miller,JR,OL,,harry-miller-1
Thayer Munford,SR,OL,,thayer-munford-1
Ryan Smith,JR,OL,,ryan-smith-12
Zach Stevenson,JR,OL,,zach-stevenson-1
Grant Toutant,FR,OL,,grant-toutant-1
Enokk Vimahi,SO,OL,,enokk-vimahi-1
Toby Wilson,FR,OL,,toby-wilson-2
Luke Wypler,FR,OL,,luke-wypler-1
Dominic DiMaccio,SR,K,,dominic-dimaccio-1
Noah Ruggles,SR,K,,noah-ruggles-1
Jake Seibert,FR,K,,jake-seibert-1
Garrison Smith,FR,K,,garrison-smith-2
Jacolbe Cowan,FR,DL,,jacolbe-cowan-1
Cormontae Hamilton,SO,DL,,cormontae-hamilton-1
Darrion Henry-Young,FR,DL,,darrion-henry-young-1
Noah Potter,SO,DL,,noah-potter-1
Bryce Prater,FR,DL,,bryce-prater-1
Zach Prater,FR,DL,,zach-prater-1
Ryan Batsch,SR,LB,,ryan-batsch-1
Reid Carrico,FR,LB,,reid-carrico-1
Steele Chambers,SO,LB,,steele-chambers-1
Tommy Eichenberg,SO,LB,,tommy-eichenberg-1
Dallas Gant,SR,LB,,dallas-gant-1
Palaie Gaoteote IV,SR,LB,,palaie-gaoteote-iv-1
Cade Kacherski,SR,LB,,cade-kacherski-1
Teradja Mitchell,SR,LB,,teradja-mitchell-1
K'Vaughan Pope,SR,LB,,kvaughan-pope-1
Cody Simon,SO,LB,,cody-simon-1
Craig Young,SO,LB,,craig-young-2
Jackson Kuwatch,FR,LB,,jackson-kuwatch-1
Mitchell Melton,FR,LB,,mitchell-melton-1
Jalen Pace,FR,LB,,jalen-pace-1
Cameron Kittle,SO,DB,,cameron-kittle-1
Andrew Moore,FR,DB,,andrew-moore-3
Jesse Mirco,FR,P,,jesse-mirco-1
Michael O'Shaughnessy,JR,P,,michael-oshaughnessy-1
Sevyn Banks,SR,CB,,sevyn-banks-1
Cameron Brown,JR,CB,,cameron-brown-2
Denzel Burke,FR,CB,,denzel-burke-1
Jerron Cage,SR,DT,,jerron-cage-1
Lejond Cavazos,FR,CB,,lejond-cavazos-1
Haskell Garrett,SR,DT,,haskell-garrett-1
Michael Hall Jr.,FR,DT,,michael-hall-jr-1
Ty Hamilton,SO,DT,,ty-hamilton-2
Jordan Hancock,FR,CB,,jordan-hancock-1
Zach Harrison,JR,DE,,zach-harrison-1
Ronnie Hickman,SO,S,,ronnie-hickman-1
Marcus Hooker,JR,S,,marcus-hooker-1
Antwuan Jackson Jr.,SR,DT,,antwuan-jackson-jr-1
Javontae Jean-Baptiste,JR,DE,,javontae-jean-baptiste-1
Jakailin Johnson,FR,CB,,jakailin-johnson-1
Jaylen Johnson,FR,S,,jaylen-johnson-4
Cameron Martinez,FR,S,,cameron-martinez-1
Demario McCall,SR,CB,,demario-mccall-1
Jaden McKenzie,SO,DT,,jaden-mckenzie-1
Josh Proctor,SR,S,,josh-proctor-1
Lathan Ransom,SO,S,,lathan-ransom-1
Jack Sawyer,FR,DE,,jack-sawyer-2
Bryson Shaw,SO,S,,bryson-shaw-1
Tyreke Smith,SR,DE,,tyreke-smith-1
J.T. Tuimoloau,FR,DE,,jt-tuimoloau-1
Taron Vincent,JR,DT,,taron-vincent-1
Ryan Watts,FR,CB,,ryan-watts-1
