Player,Class,Pos,Summary,Player-additional
Aidan O'Connell,SR,QB,315 Cmp 440 Att 3712 Yds 28 TD,aidan-oconnell-1
Jack Plummer,JR,QB,87 Cmp 127 Att 864 Yds 7 TD,jack-plummer-1
Austin Burton,SR,QB,5 Cmp 7 Att 44 Yds 0 TD,austin-burton-1
Jack Albers,SO,QB,0 Cmp 1 Att 0 Yds 0 TD,jack-albers-1
Michael Alaimo,FR,QB,,michael-alaimo-1
Christian Gelov,FR,QB,,christian-gelov-1
Andrew Hobson,FR,QB,,andrew-hobson-1
King Doerue,JR,RB,135 Att 533 Yds 3.9 Avg,king-doerue-1
Alexander Horvath,SR,RB,91 Att 320 Yds 3.5 Avg,alexander-horvath-1
Dylan Downing,FR,RB,44 Att 178 Yds 4.0 Avg,dylan-downing-2
Ja'Quez Cross,FR,RB,13 Att 27 Yds 2.1 Avg,jaquez-cross-1
Will Chapman,SO,RB,,will-chapman-1
Sampson James,SO,RB,,sampson-james-1
Caleb Lahey,FR,RB,,caleb-lahey-1
Devin Mockobee,FR,RB,,devin-mockobee-1
Jackson Anthrop,SR,WR,53 Rec 570 Yds 10.8 Avg,jackson-anthrop-1
David Bell,JR,WR,93 Rec 1286 Yds 13.8 Avg,david-bell-6
Milton Wright,JR,WR,57 Rec 732 Yds 12.8 Avg,milton-wright-1
Deion Burks,FR,WR,1 Rec 26 Yds 26.0 Avg,deion-burks-1
Marcellus Moore,FR,WR,1 Rec 11 Yds 11.0 Avg,marcellus-moore-1
TJ Sheffield,SO,WR,36 Rec 325 Yds 9.0 Avg,tj-sheffield-1
Broc Thompson,JR,WR,30 Rec 457 Yds 15.2 Avg,broc-thompson-1
Mershawn Rice,SO,WR,6 Rec 69 Yds 11.5 Avg,mershawn-rice-1
Abdur-Rahmaan Yaseen,FR,WR,5 Rec 93 Yds 18.6 Avg,abdur-rahmaan-yaseen-1
Andrew Sowinski,FR,WR,2 Rec 15 Yds 7.5 Avg,andrew-sowinski-1
Alex Maxwell,FR,WR,1 Rec 9 Yds 9.0 Avg,alex-maxwell-1
Collin Sullivan,FR,WR,1 Rec 4 Yds 4.0 Avg,collin-sullivan-1
Camdyn Childers,SO,WR,,camdyn-childers-1
Hayden Parise,FR,WR,,hayden-parise-1
Kory Taylor,JR,WR,,kory-taylor-1
Preston Terrell,FR,WR,,preston-terrell-1
Ben Van Noord,FR,WR,,ben-van-noord-1
Payne Durham,JR,TE,45 Rec 467 Yds 10.4 Avg,payne-durham-1
Garrett Miller,SO,TE,20 Rec 174 Yds 8.7 Avg,garrett-miller-2
Paul Piferi,SO,TE,4 Rec 52 Yds 13.0 Avg,paul-piferi-1
Kyle Bilodeau,SO,TE,2 Rec 7 Yds 3.5 Avg,kyle-bilodeau-1
Jack Cravaack,JR,TE,1 Rec 7 Yds 7.0 Avg,jack-cravaack-1
Drew Biber,FR,TE,,drew-biber-1
Ben Buechel,FR,TE,,ben-buechel-1
Spencer Holstege,SO,OL,,spencer-holstege-1
Cam Craig,SO,OL,,cam-craig-1
Gus Hartwig,SO,OL,,gus-hartwig-1
Eric Miller,JR,OL,,eric-miller-6
D.J. Washington,SR,OL,,dj-washington-1
Tyler Witt,SR,OL,,tyler-witt-1
Jaelin Alstott-VanDeVanter,FR,OL,,jaelin-alstott-vandevanter-1
Jared Bycznski,FR,OL,,jared-bycznski-1
Nalin Fox,FR,OL,,nalin-fox-1
Sam Garvin,SR,OL,,sam-garvin-1
Gus German,FR,OL,,gus-german-1
Josh Kaltenberger,FR,OL,,josh-kaltenberger-1
Ben Kuhns,SO,OL,,ben-kuhns-1
Greg Long,SR,OL,,greg-long-2
