Player,Class,Pos,Summary,Player-additional
Timmy Mcclain,FR,QB,145 Cmp 262 Att 1888 Yds 5 TD,timmy-mcclain-1
Cade Fortin,JR,QB,25 Cmp 48 Att 183 Yds 0 TD,cade-fortin-1
Katravis Marsh,SO,QB,20 Cmp 41 Att 231 Yds 1 TD,katravis-marsh-1
Ridge Jacobs,FR,QB,,ridge-jacobs-1
Jarren Williams,SO,QB,,jarren-williams-1
Jaren Mangham,JR,RB,160 Att 671 Yds 4.2 Avg,jaren-mangham-1
Kelley Joiner Jr.,JR,RB,78 Att 480 Yds 6.2 Avg,kelley-joiner-jr-1
Brian Battie,SO,RB,58 Att 324 Yds 5.6 Avg,brian-battie-1
Darrian Felix,SR,RB,33 Att 103 Yds 3.1 Avg,darrian-felix-1
Yasias Young,SO,RB,8 Att 36 Yds 4.5 Avg,yasias-young-1
Mychael Hamilton,JR,RB,5 Att 8 Yds 1.6 Avg,mychael-hamilton-1
Leonard Parker,SO,RB,,leonard-parker-2
K'wan Powell,FR,RB,,kwan-powell-1
Xavier Weaver,JR,WR,41 Rec 715 Yds 17.4 Avg,xavier-weaver-1
Jimmy Horn Jr.,FR,WR,30 Rec 408 Yds 13.6 Avg,jimmy-horn-jr-1
Omarion Dollison,SO,WR,27 Rec 218 Yds 8.1 Avg,omarion-dollison-1
Bryce Miller,SR,WR,12 Rec 110 Yds 9.2 Avg,bryce-miller-1
Demarcus Gregory,JR,WR,11 Rec 169 Yds 15.4 Avg,demarcus-gregory-1
Latrell Williams,SR,WR,7 Rec 57 Yds 8.1 Avg,latrell-williams-1
Sean Atkins,SO,WR,6 Rec 67 Yds 11.2 Avg,sean-atkins-1
Yusuf Terry,SO,WR,6 Rec 62 Yds 10.3 Avg,yusuf-terry-1
Holden Willis,SO,WR,2 Rec 43 Yds 21.5 Avg,holden-willis-1
Logan Berryhill,SO,WR,,logan-berryhill-1
Sincere Brown,SO,WR,,sincere-brown-1
Michael Cucci,SO,WR,,michael-cucci-1
Christian Helms,SO,WR,,christian-helms-1
Garret Reynolds,SO,WR,,garret-reynolds-1
Nickolas Tshivuadi,FR,WR,,nickolas-tshivuadi-1
Mitchell Brinkman,SR,TE,14 Rec 173 Yds 12.4 Avg,mitchell-brinkman-1
Chris Carter,JR,TE,7 Rec 50 Yds 7.1 Avg,chris-carter-8
Gunnar Greenwald,FR,TE,,gunnar-greenwald-1
Flaubert Akepeu,SO,TE,,flaubert-akepeu-1
Thomas Nance,SO,TE,,thomas-nance-1
Dustyn Hall,SO,OL,,dustyn-hall-1
Demetris Harris,SR,OL,,demetris-harris-1
Patrick Manconi,SO,OL,,patrick-manconi-1
