Player,Class,Pos,Summary,Player-additional
Tanner McKee,SO,QB,206 Cmp 315 Att 2327 Yds 15 TD,tanner-mckee-1
Jack West,SR,QB,20 Cmp 30 Att 135 Yds 0 TD,jack-west-4
Ari Patu,FR,QB,8 Cmp 16 Att 48 Yds 1 TD,ari-patu-1
Isaiah Sanders,SR,QB,3 Cmp 6 Att 46 Yds 0 TD,isaiah-sanders-1
Dylan Plautz,SR,QB,2 Cmp 5 Att 26 Yds 0 TD,dylan-plautz-1
Beau Nelson,SO,QB,,beau-nelson-1
Austin Jones,JR,RB,107 Att 378 Yds 3.5 Avg,austin-jones-6
Nathaniel Peat,JR,RB,79 Att 404 Yds 5.1 Avg,nathaniel-peat-1
E.J. Smith,SO,RB,26 Att 133 Yds 5.1 Avg,ej-smith-2
Casey Filkins,SO,RB,11 Att 44 Yds 4.0 Avg,casey-filkins-1
Brendon Barrow,FR,RB,,brendon-barrow-1
Dorian Maddox,SR,RB,,dorian-maddox-1
Cameron McFarlane,SR,RB,,cameron-mcfarlane-1
Caleb Robinson,SO,RB,,caleb-robinson-1
Justus Woods,SR,RB,,justus-woods-1
Bryce Farrell,SO,WR,14 Rec 131 Yds 9.4 Avg,bryce-farrell-1
Elijah Higgins,JR,WR,45 Rec 500 Yds 11.1 Avg,elijah-higgins-1
John Humphreys,SO,WR,21 Rec 287 Yds 13.7 Avg,john-humphreys-2
Brycen Tremayne,SR,WR,19 Rec 240 Yds 12.6 Avg,brycen-tremayne-1
Michael Wilson,SR,WR,19 Rec 185 Yds 9.7 Avg,michael-wilson-3
Silas Starr,SO,WR,6 Rec 54 Yds 9.0 Avg,silas-starr-1
Colby Bowman,JR,WR,,colby-bowman-1
Marcus Graham,JR,WR,,marcus-graham-1
David Kasemervisz,FR,WR,,david-kasemervisz-1
Danny McFadden,FR,WR,,danny-mcfadden-1
Jayson Raines,FR,WR,,jayson-raines-1
Benjamin Yurosek,SO,TE,43 Rec 658 Yds 15.3 Avg,benjamin-yurosek-1
Bradley Archer,JR,TE,3 Rec 32 Yds 10.7 Avg,bradley-archer-1
Lukas Ungar,SO,TE,2 Rec 13 Yds 6.5 Avg,lukas-ungar-1
Tucker Fisk,SR,TE,,tucker-fisk-1
Joshua Karty,SO,K,,joshua-karty-1
Emmet Kenney,FR,K,,emmet-kenney-1
Diego Preciado,JR,K,,diego-preciado-1
Levani Damuni,JR,LB,,levani-damuni-1
Aeneas Dicosmo,JR,LB,,aeneas-dicosmo-1
Ese Dubre,FR,LB,,ese-dubre-1
Andres Fox,SR,LB,,andres-fox-1
Jordan Fox,SR,LB,,jordan-fox-1
Stephen Herron,JR,LB,,stephen-herron-1
Spencer Jorgensen,JR,LB,,spencer-jorgensen-1
Tangaloa Kaufusi,SR,LB,,tangaloa-kaufusi-1
Jason Kaul,JR,LB,,jason-kaul-1
Caleb Kelly,SR,LB,,caleb-kelly-3
Lance Keneley,SO,LB,,lance-keneley-1
Jake Lynch,SR,LB,,jake-lynch-1
Jacob Mangum-Farrar,SR,LB,,jacob-mangum-farrar-1
Ricky Miezan,SR,LB,,ricky-miezan-1
Gabe Reid,SR,LB,,gabe-reid-1
Tristan Sinclair,JR,LB,,tristan-sinclair-1
Wilfredo Aybar,FR,LB,,wilfredo-aybar-1
Thunder Keck,SR,LB,,thunder-keck-1
Kiersten Lee,SO,LB,,kiersten-lee-1
Duke Reeder,FR,LB,,duke-reeder-1
William Stockwell,FR,LB,,william-stockwell-1
Ryan Sanborn,JR,P,,ryan-sanborn-1
Alexander Thorpe,JR,P,,alexander-thorpe-1
Connor Weselman,FR,P,,connor-weselman-1
Jay Symonds,SR,FB,,jay-symonds-1
Houston Heimuli,SR,FB,,houston-heimuli-1
Aaron Armitage,FR,DE,,aaron-armitage-1
Ethan Bonner,SR,CB,,ethan-bonner-1
Thomas Booker,SR,DE,,thomas-booker-1
Branson Bragg,JR,G,,branson-bragg-1
Anthony Franklin,FR,DE,,anthony-franklin-1
Alaka'i Gilman,SO,S,,alakai-gilman-1
Ryan Johnson,SR,DE,,ryan-johnson-8
Kyu Blu Kelly,JR,CB,,kyu-blu-kelly-1
Mitch Leigber,FR,S,,mitch-leigber-1
Donjae Logan,SR,CB,,donjae-logan-1
Zahran Manley,JR,CB,,zahran-manley-1
Jonathan McGill,JR,S,,jonathan-mcgill-1
Bailey Parsons,SO,LS,,bailey-parsons-1
Tobin Phillips,SO,DT,,tobin-phillips-1
Jaden Slocum,FR,CB,,jaden-slocum-1
Nicolas Toomer,JR,CB,,nicolas-toomer-1
Salim Turner-Muhammad,JR,CB,,salim-turner-muhammad-1
Dalyn Wade-Perry,SR,DT,,dalyn-wade-perry-1
Noah Williams,SR,S,,noah-williams-1
Kendall Williamson,SR,S,,kendall-williamson-1
Jimmy Wyrick,FR,CB,,jimmy-wyrick-2
Jason Amsler,FR,T,,jason-amsler-1
Logan Berzins,SO,G,,logan-berzins-1
Zach Buckey,FR,DE,,zach-buckey-1
Caleb Ellis,FR,S,,caleb-ellis-1
Will Gibson,FR,G,,will-gibson-1
Myles Hinton,SO,T,,myles-hinton-1
Jake Hornibrook,JR,G,,jake-hornibrook-1
Evan Jackson,FR,CB,,evan-jackson-1
Brandon Jones,SO,CB,,brandon-jones-17
Max Kalny,SO,G,,max-kalny-1
Jacob Katona,FR,DE,,jacob-katona-1
Trey Labounty,SR,DE,,trey-labounty-1
Zephron Lester,SO,DT,,zephron-lester-1
Jack Leyrer,FR,T,,jack-leyrer-1
Coco Lukrich,FR,FB,,coco-lukrich-1
Connor McLaughlin,SO,T,,connor-mclaughlin-1
Matthew Merritt,SO,DE,,matthew-merritt-1
Drake Metcalf,SO,C,,drake-metcalf-1
Barrett Miller,JR,G,,barrett-miller-1
Drake Nugent,JR,C,,drake-nugent-1
Kyle Petrucci,SR,LS,,kyle-petrucci-1
James Pogorelc,SO,T,,james-pogorelc-1
Omari Porter,SO,S,,omari-porter-1
Levi Rogers,SO,G,,levi-rogers-1
Walter Rouse,JR,T,,walter-rouse-1
Aristotle Taylor,FR,DE,,aristotle-taylor-1
Shield Taylor,FR,FB,,shield-taylor-1
Austin Uke,FR,T,,austin-uke-1
