Player,Class,Pos,Summary,Player-additional
Hendon Hooker,SR,QB,206 Cmp 303 Att 2945 Yds 31 TD,hendon-hooker-1
Joe Milton,JR,QB,32 Cmp 62 Att 375 Yds 2 TD,joe-milton-2
Harrison Bailey,SO,QB,3 Cmp 7 Att 16 Yds 0 TD,harrison-bailey-1
Gaston Moore,FR,QB,2 Cmp 2 Att 6 Yds 0 TD,gaston-moore-1
Brian Maurer,SO,QB,,brian-maurer-1
Sully McDermott,FR,QB,,sully-mcdermott-1
Spencer Smith,SO,QB,,spencer-smith-7
Jabari Small,SO,RB,141 Att 796 Yds 5.6 Avg,jabari-small-1
Jaylen Wright,FR,RB,85 Att 409 Yds 4.8 Avg,jaylen-wright-1
Tiyon Evans,JR,RB,81 Att 525 Yds 6.5 Avg,tiyon-evans-1
Len'Neth Whitehead,FR,RB,32 Att 207 Yds 6.5 Avg,lenneth-whitehead-1
Marcus Pierce,SR,RB,32 Att 130 Yds 4.1 Avg,marcus-pierce-1
Dee Beckwith,FR,RB,1 Att 2 Yds 2.0 Avg,dee-beckwith-1
Tee Hodge,FR,RB,,tee-hodge-1
Antonio Malone,FR,RB,,antonio-malone-2
Fred Orr,SO,RB,,fred-orr-1
Patrick Wilk,FR,RB,,patrick-wilk-1
Velus Jones Jr.,SR,WR,62 Rec 807 Yds 13.0 Avg,velus-jones-jr-1
Jalin Hyatt,SO,WR,21 Rec 226 Yds 10.8 Avg,jalin-hyatt-1
JaVonta Payton,SR,WR,18 Rec 413 Yds 22.9 Avg,javonta-payton-1
Cedric Tillman,JR,WR,64 Rec 1081 Yds 16.9 Avg,cedric-tillman-1
Ramel Keyton,JR,WR,7 Rec 72 Yds 10.3 Avg,ramel-keyton-1
Jimmy Calloway,SO,WR,5 Rec 84 Yds 16.8 Avg,jimmy-calloway-1
Walker Merrill,FR,WR,5 Rec 52 Yds 10.4 Avg,walker-merrill-1
Grant Frerking,SR,WR,2 Rec 8 Yds 4.0 Avg,grant-frerking-1
Andison Coby,SO,WR,1 Rec 5 Yds 5.0 Avg,andison-coby-1
Jimmy Holiday,SO,WR,1 Rec 5 Yds 5.0 Avg,jimmy-holiday-1
Michael Bittner,SO,WR,,michael-bittner-1
Lucien Brunetti,FR,WR,,lucien-brunetti-1
Tanner Dobrucky,SR,WR,,tanner-dobrucky-1
Jack Jancek,FR,WR,,jack-jancek-1
Nigel Lanier,FR,WR,,nigel-lanier-1
Kaemen Marley,FR,WR,,kaemen-marley-1
J.T. Siekerman,SR,WR,,jt-siekerman-1
Princeton Fant,SR,TE,16 Rec 220 Yds 13.8 Avg,princeton-fant-1
Jacob Warren,JR,TE,18 Rec 179 Yds 9.9 Avg,jacob-warren-1
Hunter Salmon,SO,TE,3 Rec 7 Yds 2.3 Avg,hunter-salmon-1
Miles Campbell,FR,TE,,miles-campbell-1
Trinity Bell,FR,TE,,trinity-bell-1
Julian Nixon,FR,TE,,julian-nixon-1
Jerome Carvin,SR,OL,,jerome-carvin-1
Dayne Davis,SO,OL,,dayne-davis-1
Cade Mays,SR,OL,,cade-mays-1
Cooper Mays,SO,OL,,cooper-mays-1
Javontez Spraggins,SO,OL,,javontez-spraggins-1
Darnell Wright,JR,OL,,darnell-wright-1
Chris Akporoghene,SO,OL,,chris-akporoghene-1
Parker Ball,SO,OL,,parker-ball-1
K'Rojhn Calbert,SR,OL,,krojhn-calbert-1
Jeremiah Crawford,JR,OL,,jeremiah-crawford-1
Nick Edwards,FR,OL,,nick-edwards-1
Kingston Harris,JR,OL,,kingston-harris-1
Braeden Krivosh,FR,OL,,braeden-krivosh-1
Jackson Lampley,SO,OL,,jackson-lampley-1
Ollie Lane,JR,OL,,ollie-lane-1
William Parker,FR,OL,,william-parker-2
RJ Perry,FR,OL,,rj-perry-1
James Robinson,FR,OL,,james-robinson-5
Dominic Bailey,FR,DL,,dominic-bailey-2
Ja'Quain Blakely,SR,DL,,jaquain-blakely-1
LaTrell Bumphus,SR,DL,,latrell-bumphus-1
Matthew Butler,SR,DL,,matthew-butler-1
Kurott Garland,JR,DL,,kurott-garland-1
Isaac Green,SO,DL,,isaac-green-1
Elijah Simmons,SO,DL,,elijah-simmons-1
Maurese Smith,SR,DL,,maurese-smith-1
Aubrey Solomon,SR,DL,,aubrey-solomon-1
DaJon Terry,SO,DL,,dajon-terry-1
Omari Thomas,SO,DL,,omari-thomas-1
Caleb Tremblay,SR,DL,,caleb-tremblay-1
Byron Young,JR,DL,,byron-young-2
Jaxon Adams,FR,DL,,jaxon-adams-1
Amari McNeill,FR,DL,,amari-mcneill-1
Luke Stum,FR,DL,,luke-stum-1
Jeremy Banks,JR,LB,,jeremy-banks-2
Tyler Baron,SO,LB,,tyler-baron-1
Aaron Beasley,JR,LB,,aaron-beasley-2
Bryson Eason,SO,LB,,bryson-eason-1
Kwauze Garland,SO,LB,,kwauze-garland-1
Roman Harrison,JR,LB,,roman-harrison-1
Nick Humphrey,SR,LB,,nick-humphrey-1
Morven Joseph,SO,LB,,morven-joseph-1
Juwan Mitchell,SR,LB,,juwan-mitchell-1
William Mohan,FR,LB,,william-mohan-1
Solon Page III,SR,LB,,solon-page-iii-1
West Shuler,SO,LB,,west-shuler-1
Aaron Willis,FR,LB,,aaron-willis-1
Matt Gaca,SO,LB,,matt-gaca-1
Donovan Slates,SR,LB,,donovan-slates-1
Eunique Valentine,FR,LB,,eunique-valentine-1
Hayden Wilhelm,FR,LB,,hayden-wilhelm-1
Warren Burrell,JR,DB,,warren-burrell-1
Christian Charles,FR,DB,,christian-charles-1
Trevon Flowers,SR,DB,,trevon-flowers-1
Kenneth George Jr.,SR,DB,,kenneth-george-jr-1
Kamal Hadden,SO,DB,,kamal-hadden-1
Theo Jackson,SR,DB,,theo-jackson-1
Cheyenne Labruzza,SR,DB,,cheyenne-labruzza-1
Jaylen McCollough,JR,DB,,jaylen-mccollough-1
Tamarion McDonald,SO,DB,,tamarion-mcdonald-1
