Player,Class,Pos,Summary,Player-additional
Henry Colombi,SR,QB,96 Cmp 149 Att 1291 Yds 5 TD,henry-colombi-1
Donovan Smith,FR,QB,85 Cmp 139 Att 1181 Yds 7 TD,donovan-smith-2
Tyler Shough,JR,QB,64 Cmp 92 Att 872 Yds 6 TD,tyler-shough-1
Behren Morton,FR,QB,1 Cmp 3 Att 0 Yds 0 TD,behren-morton-1
Maverick Mcivor,SO,QB,,maverick-mcivor-1
Parker McNeil,JR,QB,,parker-mcneil-1
SaRodorick Thompson,JR,RB,107 Att 500 Yds 4.7 Avg,sarodorick-thompson-1
Tahj Brooks,SO,RB,87 Att 568 Yds 6.5 Avg,tahj-brooks-1
Xavier White,JR,RB,68 Att 310 Yds 4.6 Avg,xavier-white-1
Chadarius Townsend,SR,RB,10 Att 65 Yds 6.5 Avg,chadarius-townsend-1
Cam'Ron Valdez,FR,RB,6 Att 16 Yds 2.7 Avg,camron-valdez-1
Ronnie Hart,SO,RB,,ronnie-hart-2
Chux Nwabuko III,SO,RB,,chux-nwabuko-iii-1
Kaylon Geiger,SR,WR,43 Rec 533 Yds 12.4 Avg,kaylon-geiger-1
Myles Price,SO,WR,38 Rec 523 Yds 13.8 Avg,myles-price-1
Erik Ezukanma,JR,WR,48 Rec 705 Yds 14.7 Avg,erik-ezukanma-1
McLane Mannix,SR,WR,6 Rec 101 Yds 16.8 Avg,mclane-mannix-1
Nehemiah Martinez,FR,WR,,nehemiah-martinez-1
Dalton Rigdon,SR,WR,12 Rec 155 Yds 12.9 Avg,dalton-rigdon-1
Trey Cleveland,SO,WR,11 Rec 141 Yds 12.8 Avg,trey-cleveland-1
Loic Fouonji,SO,WR,8 Rec 168 Yds 21.0 Avg,loic-fouonji-1
J.J. Sparkman,FR,WR,7 Rec 86 Yds 12.3 Avg,jj-sparkman-1
Jerand Bradley,FR,WR,5 Rec 99 Yds 19.8 Avg,jerand-bradley-1
Jake Bishop,SO,WR,,jake-bishop-1
Austin Brougham,JR,WR,,austin-brougham-1
Cameron Cantrell,SO,WR,,cameron-cantrell-1
Ben Gair,FR,WR,,ben-gair-1
Sterling Galban,JR,WR,,sterling-galban-1
Cole Kirkpatrick,FR,WR,,cole-kirkpatrick-1
Jalen McCoslin,FR,WR,,jalen-mccoslin-1
Henry Teeter,JR,TE,2 Rec 14 Yds 7.0 Avg,henry-teeter-1
Travis Koontz,SR,TE,21 Rec 306 Yds 14.6 Avg,travis-koontz-1
Mason Tharp,FR,TE,14 Rec 198 Yds 14.1 Avg,mason-tharp-1
Jed Castles,FR,TE,1 Rec 17 Yds 17.0 Avg,jed-castles-1
John Holcomb,SO,TE,,john-holcomb-2
Jason Lloyd,SO,TE,,jason-lloyd-1
Jayden York,FR,TE,,jayden-york-1
Josh Burger,SR,OL,,josh-burger-1
Dawson Deaton,SR,OL,,dawson-deaton-1
Brett Cains,FR,OL,,brett-cains-1
Ethan Carde,JR,OL,,ethan-carde-1
Aaron Castro,SO,OL,,aaron-castro-1
Clayton Franks,JR,OL,,clayton-franks-1
Jacoby Jackson,FR,OL,,jacoby-jackson-1
Matt Keeler,FR,OL,,matt-keeler-1
Larry Moore,FR,OL,,larry-moore-5
Landon Peterson,SO,OL,,landon-peterson-1
