Player,Class,Pos,Summary,Player-additional
Dorian Thompson-Robinson,SR,QB,176 Cmp 283 Att 2409 Yds 21 TD,dorian-thompson-robinson-1
Ethan Garbers,FR,QB,31 Cmp 51 Att 305 Yds 2 TD,ethan-garbers-1
Chase Artopoeus,SO,QB,,chase-artopoeus-1
Chase Griffin,SO,QB,,chase-griffin-1
Kajiya Hollawayne,FR,QB,,kajiya-hollawayne-1
Blake Kirshner,SO,QB,,blake-kirshner-1
Parker McQuarrie,FR,QB,,parker-mcquarrie-1
Zach Charbonnet,JR,RB,203 Att 1137 Yds 5.6 Avg,zach-charbonnet-1
Brittain Brown,SR,RB,102 Att 615 Yds 6.0 Avg,brittain-brown-1
Keegan Jones,SO,RB,26 Att 66 Yds 2.5 Avg,keegan-jones-1
Ethan Fernea,SR,RB,10 Att 83 Yds 8.3 Avg,ethan-fernea-1
Kazmeir Allen,JR,RB,17 Rec 255 Yds 15.0 Avg,kazmeir-allen-1
Brian Kowall,FR,RB,5 Att 24 Yds 4.8 Avg,brian-kowall-1
Christian Grubb,SO,RB,,christian-grubb-1
Deshun Murrell,FR,RB,,deshun-murrell-1
Kyle Philips,JR,WR,59 Rec 739 Yds 12.5 Avg,kyle-philips-4
Chase Cota,SR,WR,18 Rec 286 Yds 15.9 Avg,chase-cota-1
Kam Brown,SO,WR,17 Rec 247 Yds 14.5 Avg,kam-brown-1
Josiah Norwood,JR,WR,4 Rec 32 Yds 8.0 Avg,josiah-norwood-1
Logan Loya,SO,WR,2 Rec 22 Yds 11.0 Avg,logan-loya-1
Matt Sykes,SO,WR,1 Rec 9 Yds 9.0 Avg,matt-sykes-1
DJ Justice,FR,WR,,dj-justice-1
Colson Yankoff,JR,WR,,colson-yankoff-1
Ashton Authement,SO,WR,,ashton-authement-1
Devanti Dillard,FR,WR,,devanti-dillard-1
Delon Hurt,SR,WR,,delon-hurt-1
Keontez Lewis,FR,WR,,keontez-lewis-1
Bradley Schlom,FR,WR,,bradley-schlom-1
Ezavier Staples,FR,WR,,ezavier-staples-1
Greg Dulcich,JR,TE,42 Rec 725 Yds 17.3 Avg,greg-dulcich-1
Michael Ezeike,SR,TE,3 Rec 45 Yds 15.0 Avg,michael-ezeike-1
Michael Churich,SO,TE,,michael-churich-1
Lucas Egurbide,FR,TE,,lucas-egurbide-1
Hudson Habermehl,SO,TE,,hudson-habermehl-1
Mike Martinez,JR,TE,,mike-martinez-2
Grant Norberg,FR,TE,,grant-norberg-1
David Priebe,JR,TE,,david-priebe-1
Sam Summa,FR,TE,,sam-summa-1
Alec Anderson,JR,OL,,alec-anderson-2
Baraka Beckett,JR,OL,,baraka-beckett-1
Josh Carlin,SO,OL,,josh-carlin-1
Duke Clemens,JR,OL,,duke-clemens-1
Thomas Cole,FR,OL,,thomas-cole-4
Garrett DiGiorgio,FR,OL,,garrett-digiorgio-1
Bruno Fina,FR,OL,,bruno-fina-1
Jon Gaines,JR,OL,,jon-gaines-1
Lucas Gramlick,JR,OL,,lucas-gramlick-1
Paul Grattan,SR,OL,,paul-grattan-1
Siale Liku,SO,OL,,siale-liku-1
Atonio Mafi,SR,OL,,atonio-mafi-1
Taka Mahe,FR,OL,,taka-mahe-1
Sam Marrazzo,SR,OL,,sam-marrazzo-1
Noah Pulealii,FR,OL,,noah-pulealii-1
Sean Rhyan,JR,OL,,sean-rhyan-1
Benjamin Roy Jr.,FR,OL,,benjamin-roy-jr-1
Patrick Selna,FR,OL,,patrick-selna-1
Siale Taupaki,SO,OL,,siale-taupaki-1
Beau Taylor,SO,OL,,beau-taylor-1
Brad Whitworth,SO,OL,,brad-whitworth-1
Justin Williams,FR,OL,,justin-williams-7
Luke Young,SO,OL,,luke-young-1
Luke Akers,SO,K,,luke-akers-1
Nicholas Barr-Mira,SO,K,,nicholas-barr-mira-1
RJ Lopez,SO,K,,rj-lopez-1
Ari Libenson,FR,K,,ari-libenson-1
Martin Andrus,SR,DL,,martin-andrus-1
Odua Isibo,SR,DL,,odua-isibo-1
Datona Jackson,SR,DL,,datona-jackson-1
Tyler Manoa,SR,DL,,tyler-manoa-1
Otito Ogbonnia,SR,DL,,otito-ogbonnia-1
Tia Savea,FR,DL,,tia-savea-1
