Player,Class,Pos,Summary,Player-additional
Cameron Rising,SO,QB,204 Cmp 320 Att 2493 Yds 20 TD,cameron-rising-1
Charlie Brewer,SR,QB,48 Cmp 79 Att 484 Yds 3 TD,charlie-brewer-1
Bryson Barnes,FR,QB,2 Cmp 2 Att 23 Yds 1 TD,bryson-barnes-1
Ja'Quinden Jackson,FR,QB,,jaquinden-jackson-1
Peter Costelli,FR,QB,,peter-costelli-1
Tavion Thomas,SO,RB,204 Att 1108 Yds 5.4 Avg,tavion-thomas-1
T.J. Pledger,JR,RB,104 Att 694 Yds 6.7 Avg,tj-pledger-1
Micah Bernard,FR,RB,87 Att 523 Yds 6.0 Avg,micah-bernard-1
Chris Curry,SO,RB,14 Att 55 Yds 3.9 Avg,chris-curry-2
Faysal Aden,FR,RB,,faysal-aden-1
Ricky Parks,FR,RB,,ricky-parks-2
Elvis Vakapuna,FR,RB,,elvis-vakapuna-1
Charlie Vincent,FR,RB,,charlie-vincent-1
Braedon Wissler,FR,RB,,braedon-wissler-1
Britain Covey,JR,WR,52 Rec 514 Yds 9.9 Avg,britain-covey-1
Jaylen Dixon,JR,WR,5 Rec 76 Yds 15.2 Avg,jaylen-dixon-1
Devaughn Vele,FR,WR,23 Rec 389 Yds 16.9 Avg,devaughn-vele-1
Solomon Enis,JR,WR,22 Rec 248 Yds 11.3 Avg,solomon-enis-1
Theo Howard,SR,WR,10 Rec 140 Yds 14.0 Avg,theo-howard-1
Connor O'Toole,FR,WR,1 Rec 5 Yds 5.0 Avg,connor-otoole-1
Money Parks,FR,WR,1 Rec 12 Yds 12.0 Avg,money-parks-1
Bryson Reeves,FR,WR,,bryson-reeves-1
Kyrese Rowan,FR,WR,,kyrese-rowan-1
Zach Vaughn,FR,WR,,zach-vaughn-1
Noah Bennee,FR,WR,,noah-bennee-1
Makai Cope,FR,WR,,makai-cope-1
Maxwell Cotton,FR,WR,,maxwell-cotton-1
Masaki Kudo,FR,WR,,masaki-kudo-1
Munir McClain,SO,WR,,munir-mcclain-1
Pierre Moudourou,JR,WR,,pierre-moudourou-1
Dawson Tanner,FR,WR,,dawson-tanner-1
Dominique Thompson,SO,WR,,dominique-thompson-1
Brant Kuithe,JR,TE,50 Rec 611 Yds 12.2 Avg,brant-kuithe-1
Dalton Kincaid,JR,TE,36 Rec 510 Yds 14.2 Avg,dalton-kincaid-1
Thomas Yassmin,SO,TE,1 Rec 6 Yds 6.0 Avg,thomas-yassmin-1
Cole Fotheringham,JR,TE,15 Rec 128 Yds 8.5 Avg,cole-fotheringham-1
Branden Anderson,FR,TE,,branden-anderson-1
Hayden Erickson,FR,TE,,hayden-erickson-1
Deven Johnson,FR,TE,,deven-johnson-1
Ali'i Niumatalolo,SR,TE,,alii-niumatalolo-1
Taniela Pututau,FR,TE,,taniela-pututau-1
Soa Rosales,FR,TE,,soa-rosales-1
Isaac Vaha,FR,TE,,isaac-vaha-1
Sire Woods,SR,TE,,sire-woods-1
Braedon E. Daniels,SO,OL,,braedon-e-daniels-1
Nick Ford,JR,OL,,nick-ford-2
Keaton Bills,FR,OL,,keaton-bills-1
Kolinu'u Faaiu,FR,OL,,kolinuu-faaiu-1
Luke Felix-Fualalo,FR,OL,,luke-felix-fualalo-1
Jaxon Garcia,FR,OL,,jaxon-garcia-1
Alex Harrison,FR,OL,,alex-harrison-1
Falcon Kaumatule,FR,OL,,falcon-kaumatule-1
Jaren Kump,FR,OL,,jaren-kump-1
Sataoa Laumea,FR,OL,,sataoa-laumea-1
Hunter Lotulelei,FR,OL,,hunter-lotulelei-1
Johnny Maea,SO,OL,,johnny-maea-1
Paul Maile,SO,OL,,paul-maile-1
Shintaro Mann,FR,OL,,shintaro-mann-1
Simi Moala,SO,OL,,simi-moala-1
Michael Mokofisi,FR,OL,,michael-mokofisi-1
Bamidele Olaseni,SR,OL,,bamidele-olaseni-1
Marist Talavou,FR,OL,,marist-talavou-1
Zereoue Williams,FR,OL,,zereoue-williams-1
Jordan Noyles,FR,K,,jordan-noyles-1
Jadon Redding,SO,K,,jadon-redding-1
Jori Benson,FR,DL,,jori-benson-1
Jonah Elliss,FR,LB,,jonah-elliss-1
Hayden Furey,SO,LB,,hayden-furey-1
Devin Lloyd,JR,LB,,devin-lloyd-1
Andrew Mata'afa,SO,LB,,andrew-mataafa-1
Karene Reid,FR,LB,,karene-reid-1
Trey Reynolds,FR,LB,,trey-reynolds-1
Nephi Sewell,JR,LB,,nephi-sewell-1
Rob Bonar,FR,LB,,rob-bonar-1
Dylan Brooks,FR,LB,,dylan-brooks-2
Ethan Calvert,FR,LB,,ethan-calvert-1
Josh Calvert,FR,LB,,josh-calvert-2
Carson Danner,FR,LB,,carson-danner-1
Lolani Langi,FR,LB,,lolani-langi-1
Jeremy Mercier,JR,LB,,jeremy-mercier-1
Mason Tufaga,FR,LB,,mason-tufaga-1
Sione Tuha,FR,LB,,sione-tuha-1
Michael Williams,SO,P,,michael-williams-15
Cameron Peasley,FR,P,,cameron-peasley-1
Cole Bishop,FR,S,,cole-bishop-1
Jatravis Broughton,SO,CB,,jatravis-broughton-1
Xavier Carlton,FR,DE,,xavier-carlton-1
Vonte Davis,SR,S,,vonte-davis-1
Van Fillinger,FR,DE,,van-fillinger-1
Devin Kaufusi,JR,DT,,devin-kaufusi-1
Kamo'i Latu,FR,S,,kamoi-latu-1
Aaron Lowe,SO,CB,,aaron-lowe-1
Faybian Marks,FR,CB,,faybian-marks-1
Malone Mataele,SO,CB,,malone-mataele-1
Brandon McKinney,SR,S,,brandon-mckinney-3
Viane Moala,SR,DT,,viane-moala-1
Clark Phillips III,FR,CB,,clark-phillips-iii-1
LaCarea Pleasant-Johnson,FR,CB,,lacarea-pleasant-johnson-1
Fua Pututau,SO,DT,,fua-pututau-1
Hauati Pututau,SR,DT,,hauati-pututau-1
Tennessee Pututau,FR,DT,,tennessee-pututau-1
Caine Savage,FR,CB,,caine-savage-1
Miki Suguturaga,FR,DE,,miki-suguturaga-1
Mika Tafua,JR,DE,,mika-tafua-1
Junior Tafuna,FR,DT,,junior-tafuna-1
Zemaiah Vaughn,FR,S,,zemaiah-vaughn-1
Aliki Vimahi,FR,DT,,aliki-vimahi-1
Kennan Aiono,FR,DE,,kennan-aiono-1
Stone Azarcon,JR,S,,stone-azarcon-1
Jonny Fanaika,FR,DE,,jonny-fanaika-1
David Fotu,SO,DT,,david-fotu-1
JT Greep,FR,LS,,jt-greep-1
Nick Howe,FR,CB,,nick-howe-2
R.J. Hubert,JR,S,,rj-hubert-1
Taka Lautaha,FR,DT,,taka-lautaha-1
Kenzel Lawler,FR,CB,,kenzel-lawler-1
Elisha Lloyd,FR,CB,,elisha-lloyd-1
Joe Ludwig,JR,FB,,joe-ludwig-1
Keegan Markgraf,SR,LS,,keegan-markgraf-1
Jordan McMillan,SO,S,,jordan-mcmillan-1
Shuhei Mitsumoto,FR,DE,,shuhei-mitsumoto-1
Gavin Nawahine,FR,DE,,gavin-nawahine-1
Tevita Pahulu,FR,DT,,tevita-pahulu-1
Simote Pepa,FR,DT,,simonte-pepa-1
Drew Rawls,FR,CB,,drew-rawls-1
Ben Renfro,FR,S,,ben-renfro-1
Elijah Shelton,SO,DE,,elijah-shelton-1
Tyrone Smith,SR,S,,tyrone-smith-4
Darrien Stewart,FR,S,,darrien-stewart-1
Tanoa Togiai,FR,DT,,tanoa-togiai-1
Tyler Wegis,FR,DE,,tyler-wegis-1
